"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1966:2023"
"3","Sources (Journals, Books, etc)","668"
"4","Documents","4957"
"5","Annual Growth Rate %","10.11"
"6","Document Average Age","10.9"
"7","Average citations per doc","34.18"
"8","Average citations per year per doc","2.5"
"9","References","109559"
"10","DOCUMENT TYPES",""
"11","article","4005"
"12","article; book chapter","3"
"13","article; early access","610"
"14","article; proceedings paper","119"
"15","article; retracted publication","2"
"16","book review","2"
"17","editorial material","15"
"18","editorial material; early access","3"
"19","meeting abstract","37"
"20","note","5"
"21","reprint","1"
"22","review","130"
"23","review; book chapter","2"
"24","review; early access","23"
"25","DOCUMENT CONTENTS",""
"26","Keywords Plus (ID)","6325"
"27","Author's Keywords (DE)","6863"
"28","AUTHORS",""
"29","Authors","10798"
"30","Author Appearances","17278"
"31","Authors of single-authored docs","309"
"32","AUTHORS COLLABORATION",""
"33","Single-authored docs","383"
"34","Documents per Author","0.459"
"35","Co-Authors per Doc","3.49"
"36","International co-authorships %","23.3"
"37","",""
