"","Paper         ","DOI","TC","TCperYear","NTC"
"1","LUCK SJ, 1997, NATURE                     ","10.1038/36846                         ","2789","99.61","26.12"
"2","CHUN MM, 1998, COGNITIVE PSYCHOL          ","10.1006/cogp.1998.0681                ","1422","52.67","16.74"
"3","VOGEL EK, 2004, NATURE                    ","10.1038/nature02447                   ","1279","60.90","12.32"
"4","BADDELEY A, 2003, J COMMUN DISORD         ","10.1016/S0021-9924(03)00019-4         ","1157","52.59","13.44"
"5","TODD JJ, 2004, NATURE                     ","10.1038/nature02466                   ","1087","51.76","10.47"
"6","MILLER EK, 1996, J NEUROSCI               ","NA                                    ","1074","37.03","14.52"
"7","SVOBODA E, 2006, NEUROPSYCHOLOGIA         ","10.1016/j.neuropsychologia.2006.05.023"," 926","48.74","12.32"
"8","ALVAREZ GA, 2004, PSYCHOL SCI             ","10.1111/j.0963-7214.2004.01502006.x   "," 903","43.00"," 8.70"
"9","VOGEL EK, 2001, J EXP PSYCHOL HUMAN       ","10.1037/0096-1523.27.1.92             "," 774","32.25"," 8.56"
"10","WHEELER ME, 2002, J EXP PSYCHOL GEN       ","10.1037//0096-3445.131.1.48           "," 722","31.39"," 7.47"
"11","VANDERKOLK BA, 1995, J TRAUMA STRESS      ","10.1002/jts.2490080402                "," 717","23.90"," 9.01"
"12","BAYS PM, 2009, J VISION                   ","10.1167/9.10.7                        "," 670","41.88","12.91"
"13","DE FOCKERT JW, 2001, SCIENCE              ","10.1126/science.1056496               "," 662","27.58"," 7.32"
"14","LUCK SJ, 2013, TRENDS COGN SCI            ","10.1016/j.tics.2013.06.006            "," 643","53.58","18.51"
"15","ONTON J, 2005, NEUROIMAGE                 ","10.1016/j.neuroimage.2005.04.014      "," 607","30.35"," 8.52"
"16","OREGAN JK, 1992, CAN J PSYCHOL            ","10.1037/h0084327                      "," 601","18.21"," 8.94"
"17","JONIDES J, 2008, ANNU REV PSYCHOL         ","10.1146/annurev.psych.59.103006.093615"," 597","35.12"," 9.59"
"18","CLARK RE, 2000, J NEUROSCI                ","NA                                    "," 596","23.84"," 6.42"
"19","AWH E, 2006, NEUROSCIENCE                 ","10.1016/j.neuroscience.2005.08.023    "," 574","30.21"," 7.64"
"20","SLOTNICK SD, 2003, COGNITIVE BRAIN RES    ","10.1016/S0926-6410(03)00082-X         "," 570","25.91"," 6.62"
"21","MATHER M, 2011, PERSPECT PSYCHOL SCI      ","10.1177/1745691611400234              "," 565","40.36","12.16"
"22","CHELAZZI L, 1998, J NEUROPHYSIOL          ","10.1152/jn.1998.80.6.2918             "," 535","19.81"," 6.30"
"23","CORBETTA M, 2002, J COGNITIVE NEUROSCI    ","10.1162/089892902317362029            "," 526","22.87"," 5.44"
"24","AWH E, 2007, PSYCHOL SCI                  ","10.1111/j.1467-9280.2007.01949.x      "," 510","28.33"," 8.23"
"25","OLIVERS CNL, 2011, TRENDS COGN SCI        ","10.1016/j.tics.2011.05.004            "," 500","35.71","10.76"
"26","GANIS G, 2004, COGNITIVE BRAIN RES        ","10.1016/j.cogbrainres.2004.02.012     "," 476","22.67"," 4.58"
"27","LUCIANA M, 1998, NEUROPSYCHOLOGIA         ","10.1016/S0028-3932(97)00109-7         "," 467","17.30"," 5.50"
"28","OWEN AM, 1995, NEUROPSYCHOLOGIA           ","10.1016/0028-3932(94)00098-A          "," 459","15.30"," 5.77"
"29","JIANG YH, 2000, J EXP PSYCHOL LEARN       ","10.1037/0278-7393.26.3.683            "," 448","17.92"," 4.83"
"30","HOLLINGWORTH A, 2002, J EXP PSYCHOL HUMAN ","10.1037//0096-1523.28.1.113           "," 445","19.35"," 4.60"
"31","AMEDI A, 2003, NAT NEUROSCI               ","10.1038/nn1072                        "," 435","19.77"," 5.05"
"32","DOWNING PE, 2000, PSYCHOL SCI             ","10.1111/1467-9280.00290               "," 431","17.24"," 4.64"
"33","OLIVERS CNL, 2006, J EXP PSYCHOL HUMAN    ","10.1037/0096-1523.32.5.1243           "," 427","22.47"," 5.68"
"34","HOROWITZ TS, 1998, NATURE                 ","10.1038/29068                         "," 392","14.52"," 4.61"
"35","CONWAY MA, 2009, NEUROPSYCHOLOGIA         ","10.1016/j.neuropsychologia.2009.02.003"," 382","23.88"," 7.36"
"36","DELLA SALA S, 1999, NEUROPSYCHOLOGIA      ","10.1016/S0028-3932(98)00159-6         "," 378","14.54"," 8.46"
"37","GOLARAI G, 2007, NAT NEUROSCI             ","10.1038/nn1865                        "," 378","21.00"," 6.10"
"38","GAIS S, 2000, NAT NEUROSCI                ","10.1038/81881                         "," 376","15.04"," 4.05"
"39","ZOLA SM, 2000, J NEUROSCI                 ","10.1523/JNEUROSCI.20-01-00451.2000    "," 366","14.64"," 3.94"
"40","BRADY TF, 2011, J VISION                  ","10.1167/11.5.4                        "," 340","24.29"," 7.32"
"41","HO YC, 2003, NEUROPSYCHOLOGY              ","10.1037/0894-4105.17.3.439            "," 340","15.45"," 3.95"
"42","GAZZALEY A, 2008, P NATL ACAD SCI USA     ","10.1073/pnas.0806074105               "," 335","19.71"," 5.38"
"43","VOGEL EK, 2006, J EXP PSYCHOL HUMAN       ","10.1037/0096-1523.32.6.1436           "," 329","17.32"," 4.38"
"44","ALLEN RJ, 2006, J EXP PSYCHOL GEN         ","10.1037/0096-3445.135.2.298           "," 323","17.00"," 4.30"
"45","BUTLER PD, 2008, BIOL PSYCHIAT            ","10.1016/j.biopsych.2008.03.023        "," 320","18.82"," 5.14"
"46","SLIGTE IG, 2008, PLOS ONE                 ","10.1371/journal.pone.0001699          "," 319","18.76"," 5.12"
"47","CHUN MM, 2003, J EXP PSYCHOL LEARN        ","10.1037/0278-7393.29.2.224            "," 319","14.50"," 3.71"
