"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LUCK SJ           ","50","HOLLINGWORTH A    ","19.57"
"2","WOODMAN GF        ","47","WOODMAN GF        ","18.49"
"3","COWAN N           ","39","LUCK SJ           ","17.09"
"4","SHEN MW           ","39","COWAN N           ","14.25"
"5","OLIVERS CNL       ","38","OLIVERS CNL       ","14.08"
"6","VOGEL EK          ","38","VOGEL EK          ","13.39"
"7","HOLLINGWORTH A    ","37","MAKOVSKI T        ","13.33"
"8","GAO ZF            ","32","WOLFE JM          ","12.28"
"9","ALLEN RJ          ","31","BAYS PM           ","12.17"
"10","BAYS PM           ","31","OBERAUER K        ","11.28"
"11","BRADY TF          ","31","BRADY TF          ","10.60"
"12","HITCH GJ          ","31","KERZEL D          ","10.25"
"13","BADDELEY AD       ","28","KRISTJÁNSSON A    "," 9.95"
"14","MAKOVSKI T        ","28","EIMER M           "," 9.78"
"15","MÜLLER HJ         ","28","SAIKI J           "," 9.50"
"16","NOBRE AC          ","28","ZHANG WW          "," 9.28"
"17","HUSAIN M          ","27","MOREY CC          "," 9.07"
"18","THEEUWES J        ","27","SOUZA AS          "," 9.00"
"19","WOLFE JM          ","27","ALLEN RJ          "," 8.88"
"20","LOGIE RH          ","26","HITCH GJ          "," 8.73"
"21","LURIA R           ","25","THEEUWES J        "," 8.72"
"22","OBERAUER K        ","24","NOBRE AC          "," 8.60"
"23","VAN DER STIGCHEL S","24","BADDELEY AD       "," 8.57"
"24","SOTO D            ","22","LURIA R           "," 8.52"
"25","ZHANG WW          ","22","WOOD JN           "," 8.00"
"26","JOLICOEUR P       ","21","SHEN MW           "," 7.80"
"27","KRISTJÁNSSON A    ","21","LOGIE RH          "," 7.77"
"28","ALVAREZ GA        ","20","MAGNUSSEN S       "," 7.76"
"29","EIMER M           ","20","HUANG LQ          "," 7.67"
"30","FOUGNIE D         ","20","ZIMMER HD         "," 7.67"
"31","MOREY CC          ","20","FOUGNIE D         "," 7.42"
"32","SOUZA AS          ","20","ALVAREZ GA        "," 7.37"
"33","HUMPHREYS GW      ","19","VAN DER STIGCHEL S"," 7.13"
"34","MAGNUSSEN S       ","19","MÜLLER HJ         "," 6.90"
"35","AWH E             ","18","KENSINGER EA      "," 6.83"
"36","DELLA SALA S      ","17","PAN Y             "," 6.82"
"37","FUKUDA K          ","17","GAO ZF            "," 6.75"
"38","KERZEL D          ","17","SOTO D            "," 6.53"
"39","FERBER S          ","16","XU YD             "," 6.50"
"40","KENSINGER EA      ","16","HUSAIN M          "," 6.33"
"41","LIU Q             ","16","XIE WZ            "," 6.29"
"42","SAIKI J           ","16","HUMPHREYS GW      "," 6.12"
"43","XIE WZ            ","16","JIANG YH          "," 6.00"
"44","ZIMMER HD         ","16","OLSON IR          "," 5.82"
"45","AL-AIDROOS N      ","15","MERCER T          "," 5.78"
"46","DREW T            ","15","EL HAJ M          "," 5.65"
"47","EMRICH SM         ","15","JOLICOEUR P       "," 5.63"
"48","OLSON IR          ","15","AWH E             "," 5.45"
"49","PAN Y             ","15","SLOTNICK SD       "," 5.33"
"50","RYAN JD           ","15","RICKER TJ         "," 5.28"
"51","BECK MR           ","14","IRWIN DE          "," 5.20"
"52","BROCKMOLE JR      ","14","SCHURGIN MW       "," 5.20"
"53","OAKES LM          ","14","SWANSON HL        "," 5.17"
"54","PARRA MA          ","14","BROCKMOLE JR      "," 5.17"
"55","POSTLE BR         ","14","FUKUDA K          "," 5.15"
"56","PRATT J           ","14","RUBIN DC          "," 5.08"
"57","RICKER TJ         ","14","DREW T            "," 5.03"
"58","SCHACTER DL       ","14","MORIYA J          "," 5.00"
