"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","1695","0.348121","1488","207","0.122"
"2","UNITED KINGDOM "," 599","0.123023"," 435","164","0.274"
"3","GERMANY        "," 359","0.073732"," 267"," 92","0.256"
"4","CHINA          "," 309","0.063463"," 220"," 89","0.288"
"5","CANADA         "," 280","0.057507"," 205"," 75","0.268"
"6","NETHERLANDS    "," 208","0.042719"," 136"," 72","0.346"
"7","FRANCE         "," 155","0.031834"," 114"," 41","0.265"
"8","AUSTRALIA      "," 148","0.030396"," 104"," 44","0.297"
"9","JAPAN          "," 137","0.028137"," 118"," 19","0.139"
"10","ITALY          "," 131","0.026905","  80"," 51","0.389"
"11","ISRAEL         "," 105","0.021565","  78"," 27","0.257"
"12","SPAIN          ","  87","0.017868","  58"," 29","0.333"
"13","SWITZERLAND    ","  82","0.016841","  56"," 26","0.317"
"14","BELGIUM        ","  61","0.012528","  33"," 28","0.459"
"15","KOREA          ","  45","0.009242","  33"," 12","0.267"
"16","FINLAND        ","  39","0.008010","  28"," 11","0.282"
"17","SWEDEN         ","  35","0.007188","  22"," 13","0.371"
"18","NORWAY         ","  34","0.006983","  21"," 13","0.382"
"19","DENMARK        ","  32","0.006572","  26","  6","0.188"
"20","BRAZIL         ","  29","0.005956","  17"," 12","0.414"
"21","RUSSIA         ","  24","0.004929","  13"," 11","0.458"
"22","PORTUGAL       ","  20","0.004108","   9"," 11","0.550"
"23","TURKEY         ","  19","0.003902","  14","  5","0.263"
"24","AUSTRIA        ","  18","0.003697","  11","  7","0.389"
"25","ICELAND        ","  17","0.003491","   3"," 14","0.824"
"26","NEW ZEALAND    ","  17","0.003491","  12","  5","0.294"
"27","HUNGARY        ","  16","0.003286","  10","  6","0.375"
"28","IRELAND        ","  16","0.003286","  12","  4","0.250"
"29","POLAND         ","  13","0.002670","   7","  6","0.462"
"30","INDIA          ","  12","0.002465","  10","  2","0.167"
"31","IRAN           ","  12","0.002465","   7","  5","0.417"
"32","ARGENTINA      ","  11","0.002259","   7","  4","0.364"
"33","CYPRUS         ","  11","0.002259","   2","  9","0.818"
"34","CZECH REPUBLIC ","  10","0.002054","  10","  0","0.000"
"35","GREECE         ","  10","0.002054","   8","  2","0.200"
"36","SINGAPORE      ","  10","0.002054","   5","  5","0.500"
"37","MEXICO         ","   9","0.001848","   6","  3","0.333"
"38","U ARAB EMIRATES","   7","0.001438","   3","  4","0.571"
"39","CHILE          ","   6","0.001232","   5","  1","0.167"
"40","ROMANIA        ","   5","0.001027","   4","  1","0.200"
"41","CROATIA        ","   4","0.000822","   2","  2","0.500"
"42","SLOVENIA       ","   4","0.000822","   3","  1","0.250"
"43","SOUTH AFRICA   ","   4","0.000822","   4","  0","0.000"
"44","COLOMBIA       ","   3","0.000616","   1","  2","0.667"
"45","ESTONIA        ","   3","0.000616","   3","  0","0.000"
"46","MALAYSIA       ","   3","0.000616","   2","  1","0.333"
"47","BULGARIA       ","   2","0.000411","   2","  0","0.000"
"48","HONG KONG      ","   2","0.000411","   2","  0","0.000"
"49","SLOVAKIA       ","   2","0.000411","   2","  0","0.000"
"50","THAILAND       ","   2","0.000411","   0","  2","1.000"
"51","BOSNIA         ","   1","0.000205","   1","  0","0.000"
"52","COSTA RICA     ","   1","0.000205","   1","  0","0.000"
"53","CUBA           ","   1","0.000205","   0","  1","1.000"
"54","GEORGIA        ","   1","0.000205","   1","  0","0.000"
"55","MALTA          ","   1","0.000205","   0","  1","1.000"
"56","PHILIPPINES    ","   1","0.000205","   0","  1","1.000"
"57","TANZANIA       ","   1","0.000205","   1","  0","0.000"
