"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","WORKING MEMORY              ","882","SHORT-TERM-MEMORY       ","1149"
"2","VISUAL WORKING MEMORY       ","707","ATTENTION               "," 869"
"3","MEMORY                      ","570","CAPACITY                "," 841"
"4","ATTENTION                   ","460","WORKING-MEMORY          "," 818"
"5","VISUAL MEMORY               ","336","INFORMATION             "," 736"
"6","VISUAL SEARCH               ","313","PERCEPTION              "," 498"
"7","VISUAL SHORT-TERM MEMORY    ","219","REPRESENTATIONS         "," 482"
"8","SHORT-TERM MEMORY           ","208","INDIVIDUAL-DIFFERENCES  "," 449"
"9","VISUAL ATTENTION            ","174","STORAGE                 "," 352"
"10","EPISODIC MEMORY             ","164","PERFORMANCE             "," 350"
"11","EYE MOVEMENTS               ","148","RECOGNITION             "," 348"
"12","AGING                       ","119","FEATURES                "," 327"
"13","LONG-TERM MEMORY            ","119","SEARCH                  "," 304"
"14","FMRI                        ","108","RECOGNITION MEMORY      "," 293"
"15","AUTOBIOGRAPHICAL MEMORY     ","104","PREFRONTAL CORTEX       "," 284"
"16","CHANGE DETECTION            ","103","MECHANISMS              "," 267"
"17","EMOTION                     ","101","MODEL                   "," 254"
"18","RECOGNITION MEMORY          ","100","OBJECTS                 "," 240"
"19","VISUAL PERCEPTION           "," 98","SELECTIVE ATTENTION     "," 234"
"20","HIPPOCAMPUS                 "," 84","INTERFERENCE            "," 231"
"21","SPATIAL MEMORY              "," 78","EYE-MOVEMENTS           "," 228"
"22","SCHIZOPHRENIA               "," 77","CORTEX                  "," 220"
"23","COGNITION                   "," 69","RETRIEVAL               "," 217"
"24","BINDING                     "," 61","NEURAL MECHANISMS       "," 201"
"25","INDIVIDUAL DIFFERENCES      "," 60","DEFICITS                "," 198"
"26","EVENT-RELATED POTENTIALS    "," 58","EPISODIC MEMORY         "," 195"
"27","VISUAL                      "," 57","TASK                    "," 195"
"28","CHILDREN                    "," 56","CHILDREN                "," 191"
"29","RECOGNITION                 "," 56","BRAIN                   "," 187"
"30","FALSE MEMORY                "," 55","INTEGRATION             "," 172"
"31","PERCEPTION                  "," 55","NUMBER                  "," 149"
"32","ALZHEIMER'S DISEASE         "," 54","MAINTENANCE             "," 147"
"33","VERBAL MEMORY               "," 54","MEMORY                  "," 145"
"34","CAPACITY                    "," 53","TIME                    "," 142"
"35","ENCODING                    "," 52","BINDING                 "," 141"
"36","VISION                      "," 52","RECALL                  "," 141"
"37","LEARNING                    "," 50","ACTIVATION              "," 135"
"38","VISUAL IMAGERY              "," 50","OBJECT                  "," 133"
"39","SELECTIVE ATTENTION         "," 48","REPRESENTATION          "," 130"
"40","WORKING MEMORY CAPACITY     "," 47","IMPAIRMENT              "," 125"
"41","NEUROPSYCHOLOGY             "," 44","MEDIAL TEMPORAL-LOBE    "," 123"
"42","ATTENTIONAL CAPTURE         "," 39","VISUAL WORKING-MEMORY   "," 120"
"43","CONSCIOUSNESS               "," 39","ORGANIZATION            "," 119"
"44","ERP                         "," 39","ORIENTING ATTENTION     "," 119"
"45","INTERFERENCE                "," 39","PICTURES                "," 119"
"46","SPATIAL WORKING MEMORY      "," 39","GUIDANCE                "," 118"
