"","Sources       ","Articles"
"1","ATTENTION PERCEPTION & PSYCHOPHYSICS                                                     ","197"
"2","NEUROPSYCHOLOGIA                                                                         ","192"
"3","MEMORY & COGNITION                                                                       ","164"
"4","FRONTIERS IN PSYCHOLOGY                                                                  ","157"
"5","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE                      ","156"
"6","VISUAL COGNITION                                                                         ","148"
"7","PSYCHONOMIC BULLETIN & REVIEW                                                            ","141"
"8","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION                         ","136"
"9","JOURNAL OF VISION                                                                        ","122"
"10","MEMORY                                                                                   ","107"
"11","COGNITION                                                                                "," 95"
"12","QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY                                             "," 92"
"13","PSYCHOLOGICAL SCIENCE                                                                    "," 86"
"14","VISION RESEARCH                                                                          "," 80"
"15","ACTA PSYCHOLOGICA                                                                        "," 76"
"16","CORTEX                                                                                   "," 74"
"17","PSYCHOPHYSIOLOGY                                                                         "," 74"
"18","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL                                               "," 66"
"19","JOURNAL OF COGNITIVE NEUROSCIENCE                                                        "," 60"
"20","NEUROBIOLOGY OF LEARNING AND MEMORY                                                      "," 49"
"21","JOURNAL OF NEUROSCIENCE                                                                  "," 48"
"22","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY                                     "," 45"
"23","NEUROIMAGE                                                                               "," 45"
"24","PLOS ONE                                                                                 "," 44"
"25","CONSCIOUSNESS AND COGNITION                                                              "," 41"
"26","CEREBRAL CORTEX                                                                          "," 40"
"27","BRAIN AND COGNITION                                                                      "," 37"
"28","EXPERIMENTAL BRAIN RESEARCH                                                              "," 36"
"29","NEUROPSYCHOLOGY                                                                          "," 33"
"30","SCIENTIFIC REPORTS                                                                       "," 33"
"31","JOURNAL OF MEMORY AND LANGUAGE                                                           "," 32"
"32","JOURNAL OF COGNITIVE PSYCHOLOGY                                                          "," 31"
"33","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY                                                "," 28"
"34","JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY                                                 "," 28"
"35","EXPERIMENTAL PSYCHOLOGY                                                                  "," 27"
"36","PSYCHOLOGY AND AGING                                                                     "," 27"
"37","PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG                                          "," 26"
"38","FRONTIERS IN HUMAN NEUROSCIENCE                                                          "," 25"
"39","PSYCHOLOGICAL REVIEW                                                                     "," 25"
"40","CHILD NEUROPSYCHOLOGY                                                                    "," 24"
"41","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA          "," 24"
"42","BRITISH JOURNAL OF PSYCHOLOGY                                                            "," 23"
"43","PERCEPTION                                                                               "," 23"
"44","PERCEPTUAL AND MOTOR SKILLS                                                              "," 23"
"45","PSYCHIATRY RESEARCH                                                                      "," 23"
"46","SCHIZOPHRENIA RESEARCH                                                                   "," 23"
"47","NEUROREPORT                                                                              "," 22"
"48","PERCEPTION & PSYCHOPHYSICS                                                               "," 22"
