"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","81617","48.15"
"2","UNITED KINGDOM ","24526","40.94"
"3","CANADA         "," 8672","30.97"
"4","GERMANY        "," 8500","23.68"
"5","NETHERLANDS    "," 7272","34.96"
"6","FRANCE         "," 4532","29.24"
"7","ITALY          "," 4402","33.60"
"8","CHINA          "," 4296","13.90"
"9","AUSTRALIA      "," 3680","24.86"
"10","SWITZERLAND    "," 1908","23.27"
"11","JAPAN          "," 1803","13.16"
"12","ISRAEL         "," 1732","16.50"
"13","BELGIUM        "," 1627","26.67"
"14","SWEDEN         "," 1415","40.43"
"15","NORWAY         "," 1262","37.12"
"16","SPAIN          "," 1229","14.13"
"17","FINLAND        "," 1020","26.15"
"18","KOREA          ","  810","18.00"
"19","DENMARK        ","  792","24.75"
"20","ICELAND        ","  595","35.00"
"21","BRAZIL         ","  564","19.45"
"22","HUNGARY        ","  550","34.38"
"23","IRAN           ","  408","34.00"
"24","NEW ZEALAND    ","  367","21.59"
"25","AUSTRIA        ","  268","14.89"
"26","CYPRUS         ","  256","23.27"
"27","TURKEY         ","  223","11.74"
"28","IRELAND        ","  217","13.56"
"29","PORTUGAL       ","  202","10.10"
"30","SINGAPORE      ","  199","19.90"
"31","RUSSIA         ","  192"," 8.00"
"32","ROMANIA        ","  173","34.60"
"33","GREECE         ","  151","15.10"
"34","ARGENTINA      ","  143","13.00"
"35","SOUTH AFRICA   ","  109","27.25"
"36","MEXICO         ","   75"," 8.33"
"37","U ARAB EMIRATES","   75","10.71"
"38","CHILE          ","   73","12.17"
"39","INDIA          ","   73"," 6.08"
"40","POLAND         ","   67"," 5.15"
"41","GEORGIA        ","   45","45.00"
"42","HONG KONG      ","   39","19.50"
"43","CUBA           ","   36","36.00"
"44","CZECH REPUBLIC ","   34"," 3.40"
"45","THAILAND       ","   29","14.50"
"46","SLOVENIA       ","   24"," 6.00"
"47","MALTA          ","   23","23.00"
"48","MALAYSIA       ","   14"," 4.67"
"49","ESTONIA        ","   12"," 4.00"
"50","TANZANIA       ","   12","12.00"
"51","COLOMBIA       ","   10"," 3.33"
"52","BOSNIA         ","    7"," 7.00"
"53","CROATIA        ","    7"," 1.75"
"54","BULGARIA       ","    5"," 2.50"
"55","PHILIPPINES    ","    3"," 3.00"
"56","COSTA RICA     ","    0"," 0.00"
"57","SLOVAKIA       ","    0"," 0.00"
