"Year","Articles","MeanTCperArt","MeanTCperYear"
1966,1,0,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,1,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,2,3.5,0.0714285714285714
1976,0,0,0
1977,1,198,4.21276595744681
1978,1,2,0.0434782608695652
1979,0,0,0
1980,1,0,0
1981,0,0,0
1982,1,38,0.904761904761905
1983,1,79,1.92682926829268
1984,1,166,4.15
1985,1,6,0.153846153846154
1986,1,21,0.552631578947368
1987,0,0,0
1988,3,66.3333333333333,1.84259259259259
1989,1,20,0.571428571428571
1990,1,17,0.5
1991,8,45.75,1.38636363636364
1992,24,67.25,2.1015625
1993,22,48.0909090909091,1.55131964809384
1994,31,44.1935483870968,1.47311827956989
1995,47,79.5531914893617,2.74321349963316
1996,52,73.9423076923077,2.6407967032967
1997,43,106.790697674419,3.95521102497847
1998,67,84.9701492537314,3.26808266360505
1999,45,44.6666666666667,1.78666666666667
2000,60,92.8166666666667,3.86736111111111
2001,53,90.377358490566,3.92945036915504
2002,50,96.7,4.39545454545455
2003,88,86.0568181818181,4.09794372294372
2004,81,103.827160493827,5.19135802469136
2005,100,71.22,3.74842105263158
2006,110,75.1727272727273,4.17626262626263
2007,139,61.9928057553957,3.64663563267033
2008,125,62.264,3.8915
2009,164,51.8780487804878,3.45853658536585
2010,190,41.5789473684211,2.96992481203008
2011,250,46.476,3.57507692307692
2012,185,36.4162162162162,3.03468468468468
2013,250,34.732,3.15745454545455
2014,263,25.1330798479088,2.51330798479088
2015,230,23.9652173913043,2.66280193236715
2016,256,20.29296875,2.53662109375
2017,312,21.1153846153846,3.01648351648352
2018,300,14.19,2.365
2019,324,11.6327160493827,2.32654320987654
2020,317,9.07255520504732,2.26813880126183
2021,281,7.06049822064057,2.35349940688019
2022,231,3.9047619047619,1.95238095238095
2023,242,1.08677685950413,1.08677685950413
