"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",1,"USA            ",81617,48.15,1695,1488,207,0.122
"2",41,"GEORGIA        ",45,45,1,1,0,0
"3",2,"UNITED KINGDOM ",24526,40.94,599,435,164,0.274
"4",14,"SWEDEN         ",1415,40.43,35,22,13,0.371
"5",15,"NORWAY         ",1262,37.12,34,21,13,0.382
"6",43,"CUBA           ",36,36,1,0,1,1
"7",20,"ICELAND        ",595,35,17,3,14,0.824
"8",5,"NETHERLANDS    ",7272,34.96,208,136,72,0.346
"9",32,"ROMANIA        ",173,34.6,5,4,1,0.2
"10",22,"HUNGARY        ",550,34.38,16,10,6,0.375
"11",23,"IRAN           ",408,34,12,7,5,0.417
"12",7,"ITALY          ",4402,33.6,131,80,51,0.389
"13",3,"CANADA         ",8672,30.97,280,205,75,0.268
"14",6,"FRANCE         ",4532,29.24,155,114,41,0.265
"15",35,"SOUTH AFRICA   ",109,27.25,4,4,0,0
"16",13,"BELGIUM        ",1627,26.67,61,33,28,0.459
"17",17,"FINLAND        ",1020,26.15,39,28,11,0.282
"18",9,"AUSTRALIA      ",3680,24.86,148,104,44,0.297
"19",19,"DENMARK        ",792,24.75,32,26,6,0.188
"20",4,"GERMANY        ",8500,23.68,359,267,92,0.256
"21",10,"SWITZERLAND    ",1908,23.27,82,56,26,0.317
"22",26,"CYPRUS         ",256,23.27,11,2,9,0.818
"23",47,"MALTA          ",23,23,1,0,1,1
"24",24,"NEW ZEALAND    ",367,21.59,17,12,5,0.294
"25",30,"SINGAPORE      ",199,19.9,10,5,5,0.5
"26",42,"HONG KONG      ",39,19.5,2,2,0,0
"27",21,"BRAZIL         ",564,19.45,29,17,12,0.414
"28",18,"KOREA          ",810,18,45,33,12,0.267
"29",12,"ISRAEL         ",1732,16.5,105,78,27,0.257
"30",33,"GREECE         ",151,15.1,10,8,2,0.2
"31",25,"AUSTRIA        ",268,14.89,18,11,7,0.389
"32",45,"THAILAND       ",29,14.5,2,0,2,1
"33",16,"SPAIN          ",1229,14.13,87,58,29,0.333
"34",8,"CHINA          ",4296,13.9,309,220,89,0.288
"35",28,"IRELAND        ",217,13.56,16,12,4,0.25
"36",11,"JAPAN          ",1803,13.16,137,118,19,0.139
"37",34,"ARGENTINA      ",143,13,11,7,4,0.364
"38",38,"CHILE          ",73,12.17,6,5,1,0.167
"39",50,"TANZANIA       ",12,12,1,1,0,0
"40",27,"TURKEY         ",223,11.74,19,14,5,0.263
"41",37,"U ARAB EMIRATES",75,10.71,7,3,4,0.571
"42",29,"PORTUGAL       ",202,10.1,20,9,11,0.55
"43",36,"MEXICO         ",75,8.33,9,6,3,0.333
"44",31,"RUSSIA         ",192,8,24,13,11,0.458
"45",52,"BOSNIA         ",7,7,1,1,0,0
"46",39,"INDIA          ",73,6.08,12,10,2,0.167
"47",46,"SLOVENIA       ",24,6,4,3,1,0.25
"48",40,"POLAND         ",67,5.15,13,7,6,0.462
"49",48,"MALAYSIA       ",14,4.67,3,2,1,0.333
"50",49,"ESTONIA        ",12,4,3,3,0,0
"51",44,"CZECH REPUBLIC ",34,3.4,10,10,0,0
"52",51,"COLOMBIA       ",10,3.33,3,1,2,0.667
"53",55,"PHILIPPINES    ",3,3,1,0,1,1
"54",54,"BULGARIA       ",5,2.5,2,2,0,0
"55",53,"CROATIA        ",7,1.75,4,2,2,0.5
"56",56,"COSTA RICA     ",0,0,1,1,0,0
"57",57,"SLOVAKIA       ",0,0,2,2,0,0
