"","Year   ","Articles"
"1","1973",1
"2","1977",1
"3","1978",1
"4","1980",1
"5","1985",1
"6","1988",2
"7","1989",2
"8","1990",2
"9","1991",5
"10","1992",13
"11","1993",10
"12","1994",9
"13","1995",16
"14","1996",20
"15","1997",21
"16","1998",25
"17","1999",19
"18","2000",20
"19","2001",15
"20","2002",18
"21","2003",38
"22","2004",28
"23","2005",34
"24","2006",37
"25","2007",43
"26","2008",34
"27","2009",41
"28","2010",42
"29","2011",44
"30","2012",56
"31","2013",59
"32","2014",60
"33","2015",56
"34","2016",60
"35","2017",81
"36","2018",90
"37","2019",74
"38","2020",75
"39","2021",86
"40","2022",68
"41","2023",37
