"","Paper         ","DOI","TC","TCperYear","NTC"
"1","MARTÍNEZ-ARÁN A, 2004, AM J PSYCHIAT         ","10.1176/appi.ajp.161.2.262            ","858","40.86"," 9.16"
"2","BORA E, 2009, J AFFECT DISORDERS             ","10.1016/j.jad.2008.06.009             ","746","46.62","10.71"
"3","GUALTIERI CT, 2006, ARCH CLIN NEUROPSYCH     ","10.1016/j.acn.2006.05.007             ","565","29.74"," 7.08"
"4","FUSAR-POLI P, 2012, ARCH GEN PSYCHIAT        ","10.1001/archgenpsychiatry.2011.1592   ","533","41.00"," 8.42"
"5","ARTS B, 2008, PSYCHOL MED                    ","10.1017/S0033291707001675             ","519","30.53"," 6.33"
"6","CASTANEDA AE, 2008, J AFFECT DISORDERS       ","10.1016/j.jad.2007.06.006             ","487","28.65"," 5.94"
"7","SCHATZ P, 2006, ARCH CLIN NEUROPSYCH         ","10.1016/j.acn.2005.08.001             ","405","21.32"," 5.07"
"8","STAVRO K, 2013, ADDICT BIOL                  ","10.1111/j.1369-1600.2011.00418.x      ","392","32.67"," 8.07"
"9","GAZZALEY A, 2008, P NATL ACAD SCI USA        ","10.1073/pnas.0806074105               ","335","19.71"," 4.08"
"10","SCOTT JC, 2015, PSYCHOL BULL                 ","10.1037/a0038039                      ","331","33.10","10.00"
"11","COVASSIN T, 2012, AM J SPORT MED             ","10.1177/0363546512444554              ","319","24.54"," 5.04"
"12","SHAPIRO AM, 1999, CLIN NEUROPSYCHOL          ","10.1076/clin.13.3.348.1749            ","315","12.12"," 3.92"
"13","FIRTH J, 2017, SCHIZOPHRENIA BULL            ","10.1093/schbul/sbw115                 ","309","38.62","10.52"
"14","MOFFAT SD, 2002, J CLIN ENDOCR METAB         ","10.1210/jc.2002-020419                ","309","13.43"," 4.04"
"15","HICKIE I, 2005, BRIT J PSYCHIAT              ","10.1192/bjp.186.3.197                 ","306","15.30"," 4.08"
"16","O'BRIEN JT, 2004, AM J PSYCHIAT              ","10.1176/appi.ajp.161.11.2081          ","298","14.19"," 3.18"
"17","SIMONS DJ, 1996, PSYCHOL SCI                 ","10.1111/j.1467-9280.1996.tb00378.x    ","294","10.14"," 4.93"
"18","JIM HSL, 2012, J CLIN ONCOL                  ","10.1200/JCO.2011.39.5640              ","285","21.92"," 4.50"
"19","PONSFORD J, 2012, NEUROPSYCHOLOGY            ","10.1037/a0027888                      ","280","21.54"," 4.42"
"20","POLLAK SD, 2010, CHILD DEV                   ","10.1111/j.1467-8624.2009.01391.x      ","253","16.87"," 4.59"
