"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","COVASSIN T         ","17","LARRABEE GJ         ","4.78"
"2","ELBIN RJ           ","13","COVASSIN T          ","4.23"
"3","VIETA E            ","13","SCHATZ P            ","3.67"
"4","SCHATZ P           ","12","BORA E              ","3.56"
"5","LARRABEE GJ        ","11","ELBIN RJ            ","2.73"
"6","WANG Y             ","11","BROOKS BL           ","2.50"
"7","COLLINS MW         ","10","NINIO J             ","2.50"
"8","KONTOS AP          ","10","COLLINS MW          ","2.27"
"9","LOVELL MR          ","10","LOVELL MR           ","2.23"
"10","ZONDERMAN AB       "," 9","MAGNUSSEN S         ","2.00"
"11","BORA E             "," 8","MOREY CC            ","2.00"
"12","CHAN RCK           "," 7","WRIGHT AA           ","2.00"
"13","IVERSON GL         "," 7","VIETA E             ","1.95"
"14","LANGENECKER SA     "," 7","KONTOS AP           ","1.90"
"15","MUR M              "," 7","BRADY TF            ","1.83"
"16","PORTELLA MJ        "," 7","ZONDERMAN AB        ","1.82"
"17","BALANZÁ-MARTÍNEZ V "," 6","MERCER T            ","1.75"
"18","BRADY TF           "," 6","DONDERS J           ","1.67"
"19","BROGLIO SP         "," 6","BARTOS A            ","1.50"
"20","MARTÍNEZ-ARÁN A    "," 6","HENRY GK            ","1.50"
"21","MARUFF P           "," 6","WANG Y              ","1.43"
"22","MCINNIS MG         "," 6","ENDRESS AD          ","1.33"
"23","SOBLE JR           "," 6","GAUDET CE           ","1.33"
"24","YU X               "," 6","SHEPHERDSON P       ","1.33"
"25","BROOKS BL          "," 5","SIMS CR             ","1.33"
"26","DARTIGUES JF       "," 5","SNOW JH             ","1.33"
"27","MARSHALL DF        "," 5","TULSKY DS           ","1.33"
"28","MCALLISTER T       "," 5","SOLOMON GS          ","1.32"
"29","OJEDA N            "," 5","MUR M               ","1.31"
"30","PANTELIS C         "," 5","PORTELLA MJ         ","1.31"
"31","PEÑA J             "," 5","IVERSON GL          ","1.26"
"32","RESCH ZJ           "," 5","WILSON JTL          ","1.25"
"33","RYAN KA            "," 5","SHERMAN EMS         ","1.21"
"34","SAHAKIAN BJ        "," 5","GIOIA GA            ","1.20"
"35","SHENTON ME         "," 5","BARR WB             ","1.17"
"36","SOLOMON GS         "," 5","CUESTA MJ           ","1.17"
"37","STERN RA           "," 5","LEPACH AC           ","1.17"
"38","STIP E             "," 5","MAKOVSKI T          ","1.17"
"39","YUNG AR            "," 5","PERALTA V           ","1.17"
"40","ALOSCO ML          "," 4","PETERMANN F         ","1.17"
"41","AYESA-ARRIOLA R    "," 4","MARUFF P            ","1.09"
"42","BANDEEN-ROCHE K    "," 4","CURTISS G           ","1.08"
"43","BARTFAI G          "," 4","HENRY LC            ","1.08"
"44","BERK M             "," 4","SMYTH MM            ","1.08"
"45","BOWDEN SC          "," 4","ANSTEY KJ           ","1.03"
"46","CASANUEVA FF       "," 4","LUKAVSKY J          ","1.03"
"47","CLARK L            "," 4","PANTELIS C          ","1.02"
"48","CRESPO-FACORRO B   "," 4","ADDINGTON D         ","1.00"
"49","DONDERS J          "," 4","ADDINGTON J         ","1.00"
"50","FORTI G            "," 4","ALT M               ","1.00"
"51","GIWERCMAN A        "," 4","BROESTERHUIZEN MLHM ","1.00"
"52","GLASS TA           "," 4","BUSEY TA            ","1.00"
"53","GOLDBERG TE        "," 4","CARROLL JL          ","1.00"
"54","GRANT I            "," 4","CAVANAGH P          ","1.00"
"55","GUR RC             "," 4","CHEN CM             ","1.00"
"56","HAN TS             "," 4","COTÉ CA             ","1.00"
"57","HEATON RK          "," 4","DRASCHKOW D         ","1.00"
"58","HILL SK            "," 4","ECKER W             ","1.00"
"59","HOOPER SR          "," 4","ELIOT J             ","1.00"
"60","HUHTANIEMI IT      "," 4","ERDELYI MH          ","1.00"
"61","KONTOS A           "," 4","FISCHER B           ","1.00"
"62","LEAN MEJ           "," 4","FLETCHER-FLINN CM   ","1.00"
"63","LEE DM             "," 4","GEGENFURTNER KR     ","1.00"
"64","LI T               "," 4","GIRGIS F            ","1.00"
"65","MARTIN RC          "," 4","HADAD BS            ","1.00"
"66","MCCREA M           "," 4","HOLLINGWORTH A      ","1.00"
"67","MIHALIK JP         "," 4","HORTON HK           ","1.00"
"68","MORAN R            "," 4","JIANG YHV           ","1.00"
"69","MOREY CC           "," 4","KAWAKAMI A          ","1.00"
"70","O'NEILL TW         "," 4","LACERT P            ","1.00"
"71","OVSIEW GP          "," 4","LE PELLEY ME        ","1.00"
"72","PENDLETON N        "," 4","LESLIE AM           ","1.00"
"73","POTVIN S           "," 4","LOFTUS GR           ","1.00"
"74","PROCTOR SP         "," 4","MECKLINGER A        ","1.00"
"75","PUNAB M            "," 4","MELCHER D           ","1.00"
"76","RESNICK SM         "," 4","MOREY RD            ","1.00"
"77","SALAMERO M         "," 4","MOYE J              ","1.00"
"78","SCHWARTZ BS        "," 4","NOSOFSKY RM         ","1.00"
"79","SHERMAN EMS        "," 4","O'LEARY KM          ","1.00"
"80","STUBBS B           "," 4","OGDEN JA            ","1.00"
"81","TABARÉS-SEISDEDOS R"," 4","PARR WV             ","1.00"
"82","TRIPODIS Y         "," 4","PERNET C            ","1.00"
"83","VANDERSCHUEREN D   "," 4","PHELPS LA           ","1.00"
"84","WU FCW             "," 4","SAKAI K             ","1.00"
"85","ALLEN DN           "," 3","SHERWIN BB          ","1.00"
"86","AMIEVA H           "," 3","SIEDLECKI KL        ","1.00"
"87","ANCELIN ML         "," 3","SILVERSTEIN SM      ","1.00"
"88","ANDERSSON S        "," 3","SIMONS DJ           ","1.00"
"89","ANSTEY KJ          "," 3","SISKIND JM          ","1.00"
"90","BAUGH CM           "," 3","SOPRANO AM          ","1.00"
