"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA           ","532","0.407663","468","64","0.1203"
"2","UNITED KINGDOM","106","0.081226"," 65","41","0.3868"
"3","AUSTRALIA     "," 77","0.059004"," 52","25","0.3247"
"4","SPAIN         "," 74","0.056705"," 56","18","0.2432"
"5","CHINA         "," 65","0.049808"," 42","23","0.3538"
"6","CANADA        "," 55","0.042146"," 43","12","0.2182"
"7","GERMANY       "," 47","0.036015"," 39"," 8","0.1702"
"8","NETHERLANDS   "," 32","0.024521"," 20","12","0.3750"
"9","FRANCE        "," 26","0.019923"," 17"," 9","0.3462"
"10","ITALY         "," 26","0.019923"," 17"," 9","0.3462"
"11","KOREA         "," 21","0.016092"," 14"," 7","0.3333"
"12","BRAZIL        "," 20","0.015326"," 13"," 7","0.3500"
"13","ISRAEL        "," 20","0.015326"," 14"," 6","0.3000"
"14","FINLAND       "," 17","0.013027","  9"," 8","0.4706"
"15","TURKEY        "," 17","0.013027"," 12"," 5","0.2941"
"16","NORWAY        "," 16","0.012261"," 14"," 2","0.1250"
"17","JAPAN         "," 15","0.011494"," 14"," 1","0.0667"
"18","BELGIUM       "," 12","0.009195","  8"," 4","0.3333"
"19","CZECH REPUBLIC"," 11","0.008429"," 10"," 1","0.0909"
"20","INDIA         "," 10","0.007663"," 10"," 0","0.0000"
"21","SWITZERLAND   "," 10","0.007663","  3"," 7","0.7000"
"22","GREECE        ","  8","0.006130","  6"," 2","0.2500"
"23","IRELAND       ","  7","0.005364","  5"," 2","0.2857"
"24","MEXICO        ","  7","0.005364","  4"," 3","0.4286"
"25","DENMARK       ","  6","0.004598","  3"," 3","0.5000"
"26","EGYPT         ","  6","0.004598","  5"," 1","0.1667"
"27","SWEDEN        ","  6","0.004598","  5"," 1","0.1667"
"28","IRAN          ","  5","0.003831","  3"," 2","0.4000"
"29","NEW ZEALAND   ","  5","0.003831","  4"," 1","0.2000"
"30","PORTUGAL      ","  5","0.003831","  3"," 2","0.4000"
"31","SOUTH AFRICA  ","  5","0.003831","  3"," 2","0.4000"
"32","AUSTRIA       ","  4","0.003065","  4"," 0","0.0000"
"33","POLAND        ","  4","0.003065","  4"," 0","0.0000"
"34","RUSSIA        ","  4","0.003065","  2"," 2","0.5000"
"35","CYPRUS        ","  3","0.002299","  2"," 1","0.3333"
"36","ICELAND       ","  3","0.002299","  0"," 3","1.0000"
"37","MALAYSIA      ","  3","0.002299","  1"," 2","0.6667"
"38","SINGAPORE     ","  3","0.002299","  2"," 1","0.3333"
"39","SERBIA        ","  2","0.001533","  2"," 0","0.0000"
"40","ARGENTINA     ","  1","0.000766","  0"," 1","1.0000"
"41","BANGLADESH    ","  1","0.000766","  1"," 0","0.0000"
"42","HUNGARY       ","  1","0.000766","  1"," 0","0.0000"
"43","INDONESIA     ","  1","0.000766","  1"," 0","0.0000"
"44","LEBANON       ","  1","0.000766","  1"," 0","0.0000"
"45","LITHUANIA     ","  1","0.000766","  1"," 0","0.0000"
"46","SAUDI ARABIA  ","  1","0.000766","  0"," 1","1.0000"
"47","SLOVAKIA      ","  1","0.000766","  1"," 0","0.0000"
"48","THAILAND      ","  1","0.000766","  0"," 1","1.0000"
"49","TUNISIA       ","  1","0.000766","  1"," 0","0.0000"
