"","Sources       ","Articles"
"1","SCHIZOPHRENIA RESEARCH                                                   ","38"
"2","ARCHIVES OF CLINICAL NEUROPSYCHOLOGY                                     ","37"
"3","JOURNAL OF AFFECTIVE DISORDERS                                           ","37"
"4","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY                     ","37"
"5","PLOS ONE                                                                 ","27"
"6","CLINICAL NEUROPSYCHOLOGIST                                               ","25"
"7","NEUROPSYCHOLOGIA                                                         ","21"
"8","PSYCHIATRY RESEARCH                                                      ","21"
"9","BRAIN INJURY                                                             ","17"
"10","FRONTIERS IN PSYCHOLOGY                                                  ","17"
"11","JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY                  ","16"
"12","PSYCHOLOGICAL MEDICINE                                                   ","16"
"13","NEUROPSYCHOLOGY                                                          ","15"
"14","PERCEPTUAL AND MOTOR SKILLS                                              ","15"
"15","SCHIZOPHRENIA BULLETIN                                                   ","15"
"16","AMERICAN JOURNAL OF SPORTS MEDICINE                                      ","13"
"17","EPILEPSY & BEHAVIOR                                                      ","11"
"18","JOURNAL OF ALZHEIMERS DISEASE                                            ","11"
"19","JOURNAL OF VISION                                                        ","11"
"20","PSYCHOLOGICAL ASSESSMENT                                                 ","11"
"21","PSYCHOLOGICAL SCIENCE                                                    ","11"
"22","ACTA PSYCHIATRICA SCANDINAVICA                                           ","10"
"23","AMERICAN JOURNAL OF PSYCHIATRY                                           "," 9"
"24","APPLIED NEUROPSYCHOLOGY-CHILD                                            "," 9"
"25","ATTENTION PERCEPTION & PSYCHOPHYSICS                                     "," 9"
"26","RESEARCH IN DEVELOPMENTAL DISABILITIES                                   "," 9"
"27","VISUAL COGNITION                                                         "," 9"
"28","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE      "," 8"
"29","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION         "," 8"
"30","JOURNAL OF HEAD TRAUMA REHABILITATION                                    "," 8"
"31","JOURNAL OF PSYCHIATRIC RESEARCH                                          "," 8"
"32","NEUROLOGY                                                                "," 8"
"33","NEUROPSYCHOLOGY REVIEW                                                   "," 8"
"34","NEUROREHABILITATION                                                      "," 8"
"35","PSYCHONOMIC BULLETIN & REVIEW                                            "," 8"
"36","QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY                             "," 8"
"37","ASSESSMENT                                                               "," 7"
"38","INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY                            "," 7"
"39","INTERNATIONAL PSYCHOGERIATRICS                                           "," 7"
"40","NEUROBIOLOGY OF LEARNING AND MEMORY                                      "," 7"
"41","REVISTA DE NEUROLOGIA                                                    "," 7"
"42","SCIENTIFIC REPORTS                                                       "," 7"
"43","APPLIED NEUROPSYCHOLOGY-ADULT                                            "," 6"
"44","BIOLOGICAL PSYCHIATRY                                                    "," 6"
"45","CHILD NEUROPSYCHOLOGY                                                    "," 6"
"46","CLINICAL JOURNAL OF SPORT MEDICINE                                       "," 6"
"47","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH        "," 6"
"48","JOURNAL OF ATHLETIC TRAINING                                             "," 6"
"49","JOURNAL OF CLINICAL PSYCHIATRY                                           "," 6"
"50","JOURNAL OF CLINICAL PSYCHOLOGY                                           "," 6"
"51","JOURNAL OF COGNITIVE NEUROSCIENCE                                        "," 6"
"52","JOURNAL OF NEUROTRAUMA                                                   "," 6"
"53","PERCEPTION                                                               "," 6"
"54","ARCHIVES OF GENERAL PSYCHIATRY                                           "," 5"
"55","CORTEX                                                                   "," 5"
"56","EPILEPSIA                                                                "," 5"
"57","FRONTIERS IN AGING NEUROSCIENCE                                          "," 5"
"58","FRONTIERS IN NEUROLOGY                                                   "," 5"
"59","FRONTIERS IN PSYCHIATRY                                                  "," 5"
"60","INTELLIGENCE                                                             "," 5"
"61","JOURNAL OF LEARNING DISABILITIES                                         "," 5"
"62","JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY                         "," 5"
"63","JOURNAL OF NEUROPSYCHOLOGY                                               "," 5"
"64","MULTIPLE SCLEROSIS AND RELATED DISORDERS                                 "," 5"
"65","VISION RESEARCH                                                          "," 5"
