"","Country     ","Total Citations","Average Article Citations"
"1","USA           ","24255","45.59"
"2","UNITED KINGDOM"," 5956","56.19"
"3","CANADA        "," 3817","69.40"
"4","AUSTRALIA     "," 3710","48.18"
"5","SPAIN         "," 3053","41.26"
"6","NETHERLANDS   "," 1458","45.56"
"7","CHINA         "," 1372","21.11"
"8","GERMANY       "," 1100","23.40"
"9","FINLAND       ","  863","50.76"
"10","KOREA         ","  629","29.95"
"11","ITALY         ","  595","22.88"
"12","FRANCE        ","  564","21.69"
"13","ISRAEL        ","  519","25.95"
"14","NORWAY        ","  484","30.25"
"15","INDIA         ","  439","43.90"
"16","SWITZERLAND   ","  395","39.50"
"17","TURKEY        ","  366","21.53"
"18","BRAZIL        ","  330","16.50"
"19","JAPAN         ","  303","20.20"
"20","BELGIUM       ","  291","24.25"
"21","EGYPT         ","  285","47.50"
"22","NEW ZEALAND   ","  233","46.60"
"23","SWEDEN        ","  173","28.83"
"24","SOUTH AFRICA  ","  139","27.80"
"25","MEXICO        ","  115","16.43"
"26","DENMARK       ","   82","13.67"
"27","AUSTRIA       ","   67","16.75"
"28","CZECH REPUBLIC","   57"," 5.18"
"29","IRELAND       ","   55"," 7.86"
"30","GREECE        ","   49"," 6.12"
"31","PORTUGAL      ","   43"," 8.60"
"32","RUSSIA        ","   41","10.25"
"33","IRAN          ","   40"," 8.00"
"34","SINGAPORE     ","   31","10.33"
"35","SERBIA        ","   27","13.50"
"36","CYPRUS        ","   26"," 8.67"
"37","MALAYSIA      ","   24"," 8.00"
"38","HUNGARY       ","   22","22.00"
"39","ICELAND       ","   21"," 7.00"
"40","POLAND        ","   14"," 3.50"
"41","THAILAND      ","   14","14.00"
"42","LITHUANIA     ","   13","13.00"
"43","ARGENTINA     ","   12","12.00"
"44","BANGLADESH    ","   10","10.00"
"45","INDONESIA     ","   10","10.00"
"46","SAUDI ARABIA  ","    5"," 5.00"
"47","LEBANON       ","    4"," 4.00"
"48","TUNISIA       ","    3"," 3.00"
"49","SLOVAKIA      ","    1"," 1.00"
