"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",3,"CANADA        ",3817,69.4,55,43,12,0.2182
"2",2,"UNITED KINGDOM",5956,56.19,106,65,41,0.3868
"3",9,"FINLAND       ",863,50.76,17,9,8,0.4706
"4",4,"AUSTRALIA     ",3710,48.18,77,52,25,0.3247
"5",21,"EGYPT         ",285,47.5,6,5,1,0.1667
"6",22,"NEW ZEALAND   ",233,46.6,5,4,1,0.2
"7",1,"USA           ",24255,45.59,532,468,64,0.1203
"8",6,"NETHERLANDS   ",1458,45.56,32,20,12,0.375
"9",15,"INDIA         ",439,43.9,10,10,0,0
"10",5,"SPAIN         ",3053,41.26,74,56,18,0.2432
"11",16,"SWITZERLAND   ",395,39.5,10,3,7,0.7
"12",14,"NORWAY        ",484,30.25,16,14,2,0.125
"13",10,"KOREA         ",629,29.95,21,14,7,0.3333
"14",23,"SWEDEN        ",173,28.83,6,5,1,0.1667
"15",24,"SOUTH AFRICA  ",139,27.8,5,3,2,0.4
"16",13,"ISRAEL        ",519,25.95,20,14,6,0.3
"17",20,"BELGIUM       ",291,24.25,12,8,4,0.3333
"18",8,"GERMANY       ",1100,23.4,47,39,8,0.1702
"19",11,"ITALY         ",595,22.88,26,17,9,0.3462
"20",38,"HUNGARY       ",22,22,1,1,0,0
"21",12,"FRANCE        ",564,21.69,26,17,9,0.3462
"22",17,"TURKEY        ",366,21.53,17,12,5,0.2941
"23",7,"CHINA         ",1372,21.11,65,42,23,0.3538
"24",19,"JAPAN         ",303,20.2,15,14,1,0.0667
"25",27,"AUSTRIA       ",67,16.75,4,4,0,0
"26",18,"BRAZIL        ",330,16.5,20,13,7,0.35
"27",25,"MEXICO        ",115,16.43,7,4,3,0.4286
"28",41,"THAILAND      ",14,14,1,0,1,1
"29",26,"DENMARK       ",82,13.67,6,3,3,0.5
"30",35,"SERBIA        ",27,13.5,2,2,0,0
"31",42,"LITHUANIA     ",13,13,1,1,0,0
"32",43,"ARGENTINA     ",12,12,1,0,1,1
"33",34,"SINGAPORE     ",31,10.33,3,2,1,0.3333
"34",32,"RUSSIA        ",41,10.25,4,2,2,0.5
"35",44,"BANGLADESH    ",10,10,1,1,0,0
"36",45,"INDONESIA     ",10,10,1,1,0,0
"37",36,"CYPRUS        ",26,8.67,3,2,1,0.3333
"38",31,"PORTUGAL      ",43,8.6,5,3,2,0.4
"39",33,"IRAN          ",40,8,5,3,2,0.4
"40",37,"MALAYSIA      ",24,8,3,1,2,0.6667
"41",29,"IRELAND       ",55,7.86,7,5,2,0.2857
"42",39,"ICELAND       ",21,7,3,0,3,1
"43",30,"GREECE        ",49,6.12,8,6,2,0.25
"44",28,"CZECH REPUBLIC",57,5.18,11,10,1,0.0909
"45",46,"SAUDI ARABIA  ",5,5,1,0,1,1
"46",47,"LEBANON       ",4,4,1,1,0,0
"47",40,"POLAND        ",14,3.5,4,4,0,0
"48",48,"TUNISIA       ",3,3,1,1,0,0
"49",49,"SLOVAKIA      ",1,1,1,1,0,0
