"","Year   ","Articles"
"1","1957",1
"2","1968",1
"3","1971",3
"4","1974",1
"5","1978",1
"6","1980",2
"7","1981",2
"8","1982",1
"9","1985",6
"10","1986",2
"11","1988",1
"12","1989",6
"13","1990",4
"14","1991",11
"15","1992",22
"16","1993",27
"17","1994",32
"18","1995",32
"19","1996",34
"20","1997",48
"21","1998",45
"22","1999",50
"23","2000",42
"24","2001",65
"25","2002",59
"26","2003",59
"27","2004",83
"28","2005",88
"29","2006",104
"30","2007",112
"31","2008",148
"32","2009",135
"33","2010",159
"34","2011",168
"35","2012",182
"36","2013",236
"37","2014",193
"38","2015",197
"39","2016",218
"40","2017",215
"41","2018",243
"42","2019",337
"43","2020",355
"44","2021",378
"45","2022",421
"46","2023",413
