"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1957:2023"
"3","Sources (Journals, Books, etc)","1862"
"4","Documents","4942"
"5","Annual Growth Rate %","9.56"
"6","Document Average Age","9.99"
"7","Average citations per doc","25.69"
"8","Average citations per year per doc","2.062"
"9","References","116507"
"10","DOCUMENT TYPES",""
"11","article","3862"
"12","article; book chapter","25"
"13","article; data paper","1"
"14","article; early access","585"
"15","article; proceedings paper","80"
"16","book","1"
"17","book review","2"
"18","correction","3"
"19","editorial material","9"
"20","editorial material; early access","5"
"21","letter","1"
"22","letter; early access","1"
"23","meeting abstract","91"
"24","news item","1"
"25","note","8"
"26","proceedings paper","112"
"27","review","122"
"28","review; early access","33"
"29","DOCUMENT CONTENTS",""
"30","Keywords Plus (ID)","6435"
"31","Author's Keywords (DE)","8616"
"32","AUTHORS",""
"33","Authors","17180"
"34","Author Appearances","21779"
"35","Authors of single-authored docs","377"
"36","AUTHORS COLLABORATION",""
"37","Single-authored docs","400"
"38","Documents per Author","0.288"
"39","Co-Authors per Doc","4.41"
"40","International co-authorships %","16.71"
"41","",""
