"","Paper         ","DOI","TC","TCperYear","NTC"
"1","GRABE S, 2008, PSYCHOL BULL                  ","10.1037/0033-2909.134.3.460                                    ","1111","65.35","29.17"
"2","GROESZ LM, 2002, INT J EAT DISORDER          ","10.1002/eat.10005                                              ","1046","45.48","13.50"
"3","MCKINLEY NM, 1996, PSYCHOL WOMEN QUART       ","10.1111/j.1471-6402.1996.tb00467.x                             ","1043","35.97","13.10"
"4","SEGARS WP, 2010, MED PHYS                    ","10.1118/1.3480985                                              "," 867","57.80","19.74"
"5","THOMPSON JK, 2004, INT J EAT DISORDER        ","10.1002/eat.10257                                              "," 720","34.29","10.06"
"6","NEUMARK-SZTAINER D, 2006, J ADOLESCENT HEALTH","10.1016/j.jadohealth.2005.12.001                               "," 654","34.42","11.44"
"7","MENDELSON BK, 2001, J PERS ASSESS            ","10.1207/S15327752JPA7601_6                                     "," 586","24.42"," 8.41"
"8","TYLKA TL, 2015, BODY IMAGE                   ","10.1016/j.bodyim.2015.04.001                                   "," 574","57.40","19.33"
"9","ALFAKIH K, 2003, J MAGN RESON IMAGING        ","10.1002/jmri.10262                                             "," 569","25.86","10.79"
"10","ELLIS KJ, 2000, PHYSIOL REV                  ","10.1152/physrev.2000.80.2.649                                  "," 519","20.76"," 4.92"
"11","LEE RC, 2000, AM J CLIN NUTR                 ","10.1093/ajcn/72.3.796                                          "," 515","20.60"," 4.88"
"12","NAGAOKA T, 2004, PHYS MED BIOL               ","10.1088/0031-9155/49/1/001                                     "," 503","23.95"," 7.03"
"13","COLLINS ME, 1991, INT J EAT DISORDER         ","10.1002/1098-108X(199103)10:2<199::AID-EAT2260100209>3.0.CO;2-D"," 489","14.38"," 6.54"
"14","HUDSMITH LE, 2005, J CARDIOVASC MAGN R       ","10.1080/10976640500295516                                      "," 472","23.60"," 8.45"
"15","PAVLAKOS G, 2019, PROC CVPR IEEE             ","10.1109/CVPR.2019.01123                                        "," 470","78.33","36.36"
"16","THOMPSON MA, 1995, J PERS ASSESS             ","10.1207/s15327752jpa6402_6                                     "," 430","14.33"," 5.10"
"17","MCCABE MP, 2004, J PSYCHOSOM RES             ","10.1016/S0022-3999(03)00129-6                                  "," 416","19.81"," 5.81"
"18","SWAMI V, 2010, PERS SOC PSYCHOL B            ","10.1177/0146167209359702                                       "," 412","27.47"," 9.38"
"19","TIGGEMANN M, 2001, DEV PSYCHOL               ","10.1037//0012-1649.37.2.243                                    "," 404","16.83"," 5.80"
"20","STICE E, 2000, J ABNORM PSYCHOL              ","10.1037/0021-843X.109.3.438                                    "," 388","15.52"," 3.68"
"21","TIGGEMANN M, 2004, J SOC CLIN PSYCHOL        ","10.1521/jscp.23.1.23.26991                                     "," 382","18.19"," 5.34"
"22","TIGGEMANN M, 2015, BODY IMAGE                ","10.1016/j.bodyim.2015.06.003                                   "," 378","37.80","12.73"
"23","GRABE S, 2006, PSYCHOL BULL                  ","10.1037/0033-2909.132.4.622                                    "," 358","18.84"," 6.26"
"24","PAXTON SJ, 1999, J ABNORM PSYCHOL            ","10.1037/0021-843X.108.2.255                                    "," 341","13.12"," 5.30"
"25","BUCCHIANERI MM, 2013, BODY IMAGE             ","10.1016/j.bodyim.2012.09.001                                   "," 336","28.00","12.50"
"26","MYERS A, 1999, INT J OBESITY                 ","10.1038/sj.ijo.0800765                                         "," 333","12.81"," 5.18"
"27","DUMAS R, 2007, J BIOMECH                     ","10.1016/j.jbiomech.2006.02.013                                 "," 331","18.39"," 7.25"
"28","SCHAEFER LM, 2015, PSYCHOL ASSESSMENT        ","10.1037/a0037917                                               "," 330","33.00","11.11"
"29","MEIER EP, 2014, CYBERPSYCH BEH SOC N         ","10.1089/cyber.2013.0305                                        "," 328","29.82","14.13"
"30","VAN DEN BERG P, 2002, J PSYCHOSOM RES        ","10.1016/S0022-3999(02)00499-3                                  "," 316","13.74"," 4.08"
"31","LEVINE MP, 2009, J SOC CLIN PSYCHOL          ","10.1521/jscp.2009.28.1.9                                       "," 314","19.62"," 8.66"
"32","FARDOULY J, 2015, BODY IMAGE                 ","10.1016/j.bodyim.2014.12.002                                   "," 313","31.30","10.54"
"33","THOMPSON CJ, 1995, J CONSUM RES              ","10.1086/209441                                                 "," 313","10.43"," 3.72"
"34","POPE HG, 1999, INT J EAT DISORDER            ","10.1002/(SICI)1098-108X(199907)26:1<65::AID-EAT8>3.0.CO;2-D    "," 305","11.73"," 4.74"
"35","ABATE N, 1994, J LIPID RES                   ","NA                                                             "," 273"," 8.81"," 6.52"
"36","BROWN Z, 2016, BODY IMAGE                    ","10.1016/j.bodyim.2016.08.007                                   "," 264","29.33","10.10"
"37","FARDOULY J, 2015, BODY IMAGE-a               ","10.1016/j.bodyim.2014.10.004                                   "," 263","26.30"," 8.86"
"38","MARKULA P, 1995, SOCIOL SPORT J              ","10.1123/ssj.12.4.424                                           "," 257"," 8.57"," 3.05"
"39","O'DEA JA, 2000, INT J EAT DISORDER           ","10.1002/(SICI)1098-108X(200007)28:1<43::AID-EAT6>3.3.CO;2-4    "," 253","10.12"," 2.40"
"40","SIEGEL JM, 1999, J ADOLESCENT HEALTH         ","10.1016/S1054-139X(98)00160-8                                  "," 249"," 9.58"," 3.87"
"41","KRANE V, 2004, SEX ROLES                     ","10.1023/B:SERS.0000018888.48437.4f                             "," 247","11.76"," 3.45"
"42","STICE E, 2000, INT J EAT DISORDER            ","10.1002/(SICI)1098-108X(200003)27:2<206::AID-EAT9>3.0.CO;2-D   "," 243"," 9.72"," 2.30"
"43","PINGITORE R, 1997, OBES RES                  ","10.1002/j.1550-8528.1997.tb00662.x                             "," 243"," 8.68"," 6.79"
"44","CUSUMANO DL, 1997, SEX ROLES                 ","10.1007/BF02936336                                             "," 242"," 8.64"," 6.77"
"45","PUJOLS Y, 2010, J SEX MED                    ","10.1111/j.1743-6109.2009.01604.x                               "," 237","15.80"," 5.40"
"46","RUCKER CE, 1992, INT J EAT DISORDER          ","10.1002/1098-108X(199211)12:3<291::AID-EAT2260120309>3.0.CO;2-A"," 236"," 7.15"," 3.25"
"47","LAWLER M, 2011, J YOUTH ADOLESCENCE          ","10.1007/s10964-009-9500-2                                      "," 236","16.86"," 8.70"
"48","THOMPSON JK, 1995, INT J EAT DISORDER        ","10.1002/1098-108X(199511)18:3<221::AID-EAT2260180304>3.0.CO;2-D"," 233"," 7.77"," 2.77"
"49","MYERS PN, 1992, J COMMUN                     ","10.1111/j.1460-2466.1992.tb00802.x                             "," 229"," 6.94"," 3.15"
"50","BULIK CM, 2001, INT J OBESITY                ","10.1038/sj.ijo.0801742                                         "," 226"," 9.42"," 3.24"
"51","DAUBENMIER JJ, 2005, PSYCHOL WOMEN QUART     ","10.1111/j.1471-6402.2005.00183.x                               "," 226","11.30"," 4.05"
"52","STORY M, 1995, INT J EAT DISORDER            ","10.1002/1098-108X(199509)18:2<173::AID-EAT2260180210>3.0.CO;2-Q"," 223"," 7.43"," 2.65"
"53","STUMPE KDM, 2000, EUR J NUCL MED             ","10.1007/s002590000277                                          "," 223"," 8.92"," 2.11"
"54","WOERTMAN L, 2012, J SEX RES                  ","10.1080/00224499.2012.658586                                   "," 221","17.00"," 7.46"
