"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","THOMPSON JK         ","45","TIGGEMANN M         ","19.20"
"2","TIGGEMANN M         ","41","THOMPSON JK         ","16.14"
"3","VOCKS S             ","34","MCCABE MP           ","10.00"
"4","MCCABE MP           ","29","SWAMI V             "," 8.90"
"5","RODGERS RF          ","29","FERREIRA C          "," 8.67"
"6","TOVÉE MJ            ","28","PETRIE TA           "," 7.33"
"7","FERREIRA C          ","25","VOCKS S             "," 7.17"
"8","PAXTON SJ           ","24","PAXTON SJ           "," 7.16"
"9","SWAMI V             ","24","TOVÉE MJ            "," 6.73"
"10","RICCIARDELLI LA     ","19","RODGERS RF          "," 6.38"
"11","HEYMSFIELD SB       ","18","CASH TF             "," 6.10"
"12","FERREIRA MEC        ","17","O'DEA JA            "," 5.50"
"13","PETRIE TA           ","17","RICCIARDELLI LA     "," 5.47"
"14","SLATER A            ","17","VARTANIAN LR        "," 5.15"
"15","FURNHAM A           ","16","RIEGER E            "," 4.98"
"16","RIEGER E            ","16","FURNHAM A           "," 4.92"
"17","CASH TF             ","15","SLATER A            "," 4.83"
"18","BELL J              ","14","MILLS JS            "," 4.42"
"19","CORNELISSEN PL      ","14","TRINDADE IA         "," 4.42"
"20","LEGENBAUER T        ","13","TYLKA TL            "," 4.00"
"21","MELLOR D            ","13","FERREIRA MEC        "," 3.85"
"22","NEUMARK-SZTAINER D  ","13","WARREN CS           "," 3.66"
"23","STICE E             ","13","GARDNER RM          "," 3.58"
"24","TRINDADE IA         ","13","FARDOULY J          "," 3.57"
"25","VARTANIAN LR        ","13","WEBB JB             "," 3.49"
"26","FULLER-TYSZKIEWICZ M","12","REEL JJ             "," 3.43"
"27","GRIFFITHS S         ","12","JANKAUSKIENE R      "," 3.25"
"28","MOND J              ","12","LEGENBAUER T        "," 3.18"
"29","WALDORF M           ","12","CORNELISSEN PL      "," 3.14"
"30","CHEN H              ","11","STICE E             "," 3.12"
"31","FARDOULY J          ","11","HALLIWELL E         "," 3.08"
"32","FORTES LD           ","11","LEE M               "," 3.08"
"33","GU BF               ","11","NEUMARK-SZTAINER D  "," 3.04"
"34","HARTMANN AS         ","11","PRICHARD I          "," 3.01"
"35","MITCHISON D         ","11","BALSAM RH           "," 3.00"
"36","REEL JJ             ","11","DANIELS EA          "," 3.00"
"37","SABISTON CM         ","11","JARRY JL            "," 3.00"
"38","TORRES-MCGEHEE TM   ","11","PINTO-GOUVEIA J     "," 3.00"
"39","WEBB JB             ","11","TANTLEFF-DUNN S     "," 3.00"
"40","ALMEIDA SS          ","10","BELL J              "," 2.93"
"41","DONOVAN CL          ","10","DIEDRICHS PC        "," 2.89"
"42","GARDNER RM          ","10","KELLY AC            "," 2.83"
"43","MILLS JS            ","10","PARK J              "," 2.83"
"44","MONSMA EV           ","10","GILLEN MM           "," 2.83"
"45","PRICHARD I          ","10","GU BF               "," 2.82"
"46","DIEDRICHS PC        "," 9","FORTES LD           "," 2.80"
"47","HALLIWELL E         "," 9","BACEVICIENE M       "," 2.75"
"48","HAY P               "," 9","CROWTHER JH         "," 2.75"
"49","KIM J               "," 9","GRILO CM            "," 2.75"
"50","LI Y                "," 9","DONOVAN CL          "," 2.72"
"51","MCLEAN SA           "," 9","ABRAHAM S           "," 2.70"
"52","PARK JS             "," 9","BROWN Z             "," 2.67"
"53","PINTO-GOUVEIA J     "," 9","YAGER Z             "," 2.62"
"54","PROBST M            "," 9","HEYMSFIELD SB       "," 2.61"
"55","RICCA V             "," 9","PRESTON C           "," 2.58"
"56","TYLKA TL            "," 9","HARRISON K          "," 2.58"
"57","WARREN CS           "," 9","LEE C               "," 2.58"
"58","YAGER Z             "," 9","CHEN H              "," 2.58"
"59","BATTAGLIA C         "," 8","MARKEY CN           "," 2.53"
"60","COHEN E             "," 8","SABISTON CM         "," 2.53"
"61","CROWTHER JH         "," 8","COLLISON J          "," 2.50"
"62","DONDZILO L          "," 8","ENGELN-MADDOX R     "," 2.50"
"63","FRANKO DL           "," 8","MACLAREN RD         "," 2.50"
"64","FRIEDERICH HC       "," 8","YOUNG M             "," 2.50"
"65","GRILO CM            "," 8","ALMEIDA SS          "," 2.47"
"66","JANKAUSKIENE R      "," 8","WARSCHBURGER P      "," 2.42"
"67","LEE C               "," 8","MELLOR D            "," 2.35"
"68","LIU GL              "," 8","WALDORF M           "," 2.33"
"69","O'DEA JA            "," 8","LIU GL              "," 2.27"
"70","TOSELLI S           "," 8","MONSMA EV           "," 2.25"
"71","BACEVICIENE M       "," 7","ALTABE M            "," 2.25"
"72","BARDONE-CONE AM     "," 7","GROGAN S            "," 2.25"
"73","BOSY-WESTPHAL A     "," 7","WANT SC             "," 2.25"
"74","BROWN Z             "," 7","HEINBERG LJ         "," 2.25"
"75","CAMPOS JADB         "," 7","HARTMANN AS         "," 2.21"
"76","CHEN J              "," 7","FERRARO FR          "," 2.17"
"77","CLAUSSEN CD         "," 7","GUPTA MA            "," 2.17"
"78","EISENBERG ME        "," 7","BARDONE-CONE AM     "," 2.16"
"79","FORSTING M          "," 7","FULLER-TYSZKIEWICZ M"," 2.16"
"80","GARBER AK           "," 7","TUSCHEN-CAFFIER B   "," 2.14"
"81","HE JB               "," 7","MURRAY K            "," 2.12"
"82","HEINBERG LJ         "," 7","PARK JS             "," 2.10"
"83","KELLY AC            "," 7","SMEETS MAM          "," 2.10"
"84","KREUKELS BPC        "," 7","CHUNG MS            "," 2.09"
"85","LATNER JD           "," 7","WONG YC             "," 2.08"
"86","LEE JH              "," 7","TORRES-MCGEHEE TM   "," 2.06"
"87","MARTIJN C           "," 7","TOSELLI S           "," 2.05"
"88","MUNSCH S            "," 7","KIM H               "," 2.04"
"89","MURRAY K            "," 7","MARKEY PM           "," 2.03"
"90","MURRAY SB           "," 7","PROBST M            "," 2.02"
"91","MÜLLER MJ           "," 7","KAGAWA M            "," 2.02"
"92","NAPOLITANO MA       "," 7","KIM J               "," 2.00"
"93","PHILLIPS KA         "," 7","BOTTA RA            "," 2.00"
"94","RIVA G              "," 7","GOELLNER SV         "," 2.00"
"95","SHAW H              "," 7","KOSCINSKI K         "," 2.00"
"96","SHEPHERD JA         "," 7","KOWNER R            "," 2.00"
"97","STEPHEN ID          "," 7","KUZNETSOVA EV       "," 2.00"
"98","TANTLEFF-DUNN S     "," 7","LEE HH              "," 2.00"
"99","TUSCHEN-CAFFIER B   "," 7","MOORE DC            "," 2.00"
"100","UMUTLU L            "," 7","OGLE JP             "," 2.00"
