"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","1416","0.29735","1278","138","0.0975"
"2","AUSTRALIA      "," 351","0.07371"," 274"," 77","0.2194"
"3","UNITED KINGDOM "," 311","0.06531"," 219"," 92","0.2958"
"4","GERMANY        "," 281","0.05901"," 230"," 51","0.1815"
"5","CHINA          "," 274","0.05754"," 231"," 43","0.1569"
"6","CANADA         "," 229","0.04809"," 188"," 41","0.1790"
"7","BRAZIL         "," 200","0.04200"," 173"," 27","0.1350"
"8","ITALY          "," 164","0.03444"," 133"," 31","0.1890"
"9","SPAIN          "," 127","0.02667","  90"," 37","0.2913"
"10","TURKEY         "," 118","0.02478"," 115","  3","0.0254"
"11","JAPAN          "," 113","0.02373","  99"," 14","0.1239"
"12","KOREA          "," 105","0.02205","  86"," 19","0.1810"
"13","NETHERLANDS    ","  88","0.01848","  69"," 19","0.2159"
"14","FRANCE         ","  77","0.01617","  59"," 18","0.2338"
"15","IRAN           ","  73","0.01533","  60"," 13","0.1781"
"16","PORTUGAL       ","  60","0.01260","  48"," 12","0.2000"
"17","POLAND         ","  54","0.01134","  48","  6","0.1111"
"18","INDIA          ","  50","0.01050","  47","  3","0.0600"
"19","SWEDEN         ","  45","0.00945","  28"," 17","0.3778"
"20","SWITZERLAND    ","  45","0.00945","  27"," 18","0.4000"
"21","BELGIUM        ","  32","0.00672","  18"," 14","0.4375"
"22","MEXICO         ","  32","0.00672","  22"," 10","0.3125"
"23","ISRAEL         ","  30","0.00630","  26","  4","0.1333"
"24","MALAYSIA       ","  29","0.00609","  20","  9","0.3103"
"25","SOUTH AFRICA   ","  29","0.00609","  23","  6","0.2069"
"26","SAUDI ARABIA   ","  27","0.00567","  16"," 11","0.4074"
"27","AUSTRIA        ","  26","0.00546","  19","  7","0.2692"
"28","RUSSIA         ","  22","0.00462","  22","  0","0.0000"
"29","IRELAND        ","  20","0.00420","  16","  4","0.2000"
"30","NORWAY         ","  18","0.00378","  16","  2","0.1111"
"31","DENMARK        ","  17","0.00357","  13","  4","0.2353"
"32","GREECE         ","  17","0.00357","  15","  2","0.1176"
"33","EGYPT          ","  16","0.00336","  15","  1","0.0625"
"34","PAKISTAN       ","  16","0.00336","  13","  3","0.1875"
"35","NEW ZEALAND    ","  14","0.00294","   9","  5","0.3571"
"36","CHILE          ","  13","0.00273","   9","  4","0.3077"
"37","FINLAND        ","  13","0.00273","  12","  1","0.0769"
"38","SINGAPORE      ","  13","0.00273","  10","  3","0.2308"
"39","HUNGARY        ","  12","0.00252","   9","  3","0.2500"
"40","CROATIA        ","  11","0.00231","  10","  1","0.0909"
"41","LITHUANIA      ","  10","0.00210","   9","  1","0.1000"
"42","ROMANIA        ","  10","0.00210","   5","  5","0.5000"
"43","INDONESIA      ","   9","0.00189","   9","  0","0.0000"
"44","LEBANON        ","   8","0.00168","   4","  4","0.5000"
"45","ARGENTINA      ","   7","0.00147","   3","  4","0.5714"
"46","CZECH REPUBLIC ","   7","0.00147","   5","  2","0.2857"
