"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","BODY IMAGE                ","1579","WOMEN                  ","758"
"2","BODY DISSATISFACTION      "," 407","DISSATISFACTION        ","748"
"3","EATING DISORDERS          "," 283","IMAGE                  ","641"
"4","BODY MASS INDEX           "," 191","WEIGHT                 ","549"
"5","OBESITY                   "," 189","VALIDATION             ","399"
"6","ADOLESCENTS               "," 162","PREVALENCE             ","369"
"7","MAGNETIC RESONANCE IMAGING"," 162","EATING-DISORDERS       ","363"
"8","SELF-ESTEEM               "," 153","ATTITUDES              ","338"
"9","ADOLESCENCE               "," 134","OBESITY                ","322"
"10","DISORDERED EATING         "," 132","SATISFACTION           ","317"
"11","GENDER                    "," 126","BODY-IMAGE             ","308"
"12","BODY SATISFACTION         "," 114","SELF-ESTEEM            ","306"
"13","DEPRESSION                "," 108","BEHAVIORS              ","292"
"14","WOMEN                     ","  97","ANOREXIA-NERVOSA       ","281"
"15","PHYSICAL ACTIVITY         ","  94","GENDER                 ","257"
"16","SOCIAL MEDIA              ","  94","RISK-FACTORS           ","253"
"17","BODY COMPOSITION          ","  90","HEALTH                 ","250"
"18","ANOREXIA NERVOSA          ","  89","GIRLS                  ","245"
"19","FEMALE                    ","  76","IMPACT                 ","242"
"20","MEDIA                     ","  76","ADOLESCENT GIRLS       ","223"
"21","QUALITY OF LIFE           ","  75","ADOLESCENTS            ","208"
"22","SOCIAL COMPARISON         ","  72","RISK                   ","208"
"23","BMI                       ","  67","MASS INDEX             ","207"
"24","ADOLESCENT                ","  65","QUALITY-OF-LIFE        ","197"
"25","BODY APPRECIATION         ","  64","CHILDREN               ","196"
"26","BODY IMAGE DISSATISFACTION","  58","PERCEPTIONS            ","181"
"27","ANXIETY                   ","  55","OVERWEIGHT             ","175"
"28","BODY WEIGHT               ","  55","DEPRESSION             ","174"
"29","EATING DISORDER           ","  55","SCALE                  ","167"
"30","GENDER DIFFERENCES        ","  51","MEDIA                  ","166"
"31","SEXUALITY                 ","  49","EXPOSURE               ","162"
"32","BREAST CANCER             ","  45","GENDER-DIFFERENCES     ","156"
"33","BODY                      ","  44","SYMPTOMS               ","150"
"34","INSTAGRAM                 ","  44","PERCEPTION             ","147"
"35","SEXUAL FUNCTION           ","  44","BULIMIA-NERVOSA        ","146"
"36","EXERCISE                  ","  43","DISORDERS              ","134"
"37","BODY DYSMORPHIC DISORDER  ","  41","VALIDITY               ","129"
"38","BODY SIZE                 ","  40","QUESTIONNAIRE          ","126"
"39","DIETING                   ","  40","BEHAVIOR               ","125"
"40","BODY PERCEPTION           ","  39","PHYSICAL-ACTIVITY      ","125"
"41","ETHNICITY                 ","  39","SELF-OBJECTIFICATION   ","123"
"42","POSITIVE BODY IMAGE       ","  39","BOYS                   ","121"
"43","BODY ESTEEM               ","  38","ESTEEM                 ","121"
"44","BODY SHAPE                ","  38","EXERCISE               ","118"
"45","COMPUTED TOMOGRAPHY       ","  38","SIZE                   ","118"
"46","MRI                       ","  38","SELF                   ","112"
"47","BODY IMAGE DISTURBANCE    ","  36","RELIABILITY            ","109"
"48","SELF-OBJECTIFICATION      ","  36","ASSOCIATIONS           ","108"
"49","THIN IDEAL                ","  36","ATTRACTIVENESS         ","108"
"50","WEIGHT LOSS               ","  36","MODEL                  ","108"
"51","ATHLETES                  ","  35","MEN                    ","106"
"52","INTERNALIZATION           ","  35","SEX-DIFFERENCES        ","106"
"53","ULTRASOUND                ","  35","APPEARANCE             ","105"
"54","CHILDREN                  ","  34","SHAPE                  ","100"
"55","MENTAL HEALTH             ","  34","FEMALES                "," 97"
"56","OVERWEIGHT                ","  34","FEMALE                 "," 96"
"57","PREVENTION                ","  33","DISTURBANCE            "," 92"
"58","SELF-COMPASSION           ","  33","PHYSICAL ATTRACTIVENESS"," 90"
"59","ATTRACTIVENESS            ","  31","PREDICTORS             "," 90"
"60","IMAGING                   ","  31","ANXIETY                "," 89"
"61","OBJECTIFICATION           ","  31","INTERNALIZATION        "," 88"
"62","PERCEPTION                ","  31","ASSOCIATION            "," 84"
"63","SEX                       ","  30","PSYCHOMETRIC PROPERTIES"," 83"
