"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","55251","39.019"
"2","AUSTRALIA      ","14467","41.217"
"3","UNITED KINGDOM "," 9101","29.264"
"4","CANADA         "," 7073","30.886"
"5","GERMANY        "," 6571","23.384"
"6","ITALY          "," 3067","18.701"
"7","CHINA          "," 2905","10.602"
"8","NETHERLANDS    "," 2832","32.182"
"9","FRANCE         "," 1842","23.922"
"10","JAPAN          "," 1841","16.292"
"11","SPAIN          "," 1759","13.850"
"12","BRAZIL         "," 1430"," 7.150"
"13","TURKEY         "," 1312","11.119"
"14","KOREA          "," 1298","12.362"
"15","SWITZERLAND    "," 1252","27.822"
"16","PORTUGAL       "," 1008","16.800"
"17","SWEDEN         ","  863","19.178"
"18","IRAN           ","  807","11.055"
"19","NEW ZEALAND    ","  791","56.500"
"20","IRELAND        ","  602","30.100"
"21","BELGIUM        ","  583","18.219"
"22","ISRAEL         ","  570","19.000"
"23","AUSTRIA        ","  558","21.462"
"24","POLAND         ","  531"," 9.833"
"25","FINLAND        ","  392","30.154"
"26","DENMARK        ","  383","22.529"
"27","SOUTH AFRICA   ","  371","12.793"
"28","NORWAY         ","  330","18.333"
"29","SINGAPORE      ","  279","21.462"
"30","MEXICO         ","  271"," 8.469"
"31","GREECE         ","  243","14.294"
"32","U ARAB EMIRATES","  207","29.571"
"33","LEBANON        ","  171","21.375"
"34","MALAYSIA       ","  171"," 5.897"
"35","INDIA          ","  166"," 3.320"
"36","SAUDI ARABIA   ","  164"," 6.074"
"37","ESTONIA        ","  129","43.000"
"38","BAHRAIN        ","  128","25.600"
"39","PAKISTAN       ","  116"," 7.250"
"40","CZECH REPUBLIC ","  102","14.571"
"41","LITHUANIA      ","   94"," 9.400"
"42","GEORGIA        ","   91","30.333"
"43","EGYPT          ","   83"," 5.188"
"44","CYPRUS         ","   80","13.333"
"45","ARGENTINA      ","   71","10.143"
"46","SERBIA         ","   57","11.400"
"47","HUNGARY        ","   55"," 4.583"
"48","NIGERIA        ","   54"," 9.000"
"49","CHILE          ","   51"," 3.923"
"50","ROMANIA        ","   47"," 4.700"
"51","CROATIA        ","   44"," 4.000"
"52","KUWAIT         ","   39"," 9.750"
"53","QATAR          ","   38"," 9.500"
"54","BOSNIA         ","   34","11.333"
"55","ICELAND        ","   34"," 8.500"
"56","JAMAICA        ","   30","15.000"
"57","ECUADOR        ","   29"," 9.667"
"58","VIETNAM        ","   25","25.000"
"59","BANGLADESH     ","   23","11.500"
"60","MOROCCO        ","   21"," 7.000"
"61","THAILAND       ","   19"," 4.750"
"62","TUNISIA        ","   18"," 3.600"
"63","LUXEMBOURG     ","   15","15.000"
"64","VENEZUELA      ","   14","14.000"
"65","COLOMBIA       ","   13"," 2.600"
"66","INDONESIA      ","   13"," 1.444"
"67","BARBADOS       ","   12","12.000"
"68","URUGUAY        ","   11","11.000"
"69","GHANA          ","    8"," 2.667"
"70","LATVIA         ","    8"," 4.000"
"71","MACEDONIA      ","    8"," 8.000"
"72","JORDAN         ","    7"," 1.400"
"73","RUSSIA         ","    6"," 0.273"
"74","SLOVENIA       ","    6"," 3.000"
"75","PERU           ","    5"," 2.500"
"76","ALGERIA        ","    4"," 4.000"
"77","SENEGAL        ","    4"," 4.000"
"78","UGANDA         ","    4"," 4.000"
"79","ALBANIA        ","    3"," 3.000"
"80","ZIMBABWE       ","    3"," 3.000"
"81","GABON          ","    2"," 2.000"
"82","MALTA          ","    2"," 2.000"
"83","NEPAL          ","    2"," 1.000"
"84","CUBA           ","    1"," 0.333"
"85","PHILIPPINES    ","    1"," 0.500"
"86","SOMALIA        ","    1"," 1.000"
"87","SRI LANKA      ","    1"," 0.500"
"88","UKRAINE        ","    1"," 1.000"
"89","UZBEKISTAN     ","    1"," 1.000"
"90","COSTA RICA     ","    0"," 0.000"
"91","ETHIOPIA       ","    0"," 0.000"
"92","IRAQ           ","    0"," 0.000"
"93","KAZAKHSTAN     ","    0"," 0.000"
"94","SUDAN          ","    0"," 0.000"
