"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",19,"NEW ZEALAND    ",791,56.5,14,9,5,0.3571
"2",37,"ESTONIA        ",129,43,3,2,1,0.3333
"3",2,"AUSTRALIA      ",14467,41.217,351,274,77,0.2194
"4",1,"USA            ",55251,39.019,1416,1278,138,0.0975
"5",8,"NETHERLANDS    ",2832,32.182,88,69,19,0.2159
"6",4,"CANADA         ",7073,30.886,229,188,41,0.179
"7",42,"GEORGIA        ",91,30.333,3,3,0,0
"8",25,"FINLAND        ",392,30.154,13,12,1,0.0769
"9",20,"IRELAND        ",602,30.1,20,16,4,0.2
"10",32,"U ARAB EMIRATES",207,29.571,7,4,3,0.4286
"11",3,"UNITED KINGDOM ",9101,29.264,311,219,92,0.2958
"12",15,"SWITZERLAND    ",1252,27.822,45,27,18,0.4
"13",38,"BAHRAIN        ",128,25.6,5,3,2,0.4
"14",58,"VIETNAM        ",25,25,1,1,0,0
"15",9,"FRANCE         ",1842,23.922,77,59,18,0.2338
"16",5,"GERMANY        ",6571,23.384,281,230,51,0.1815
"17",26,"DENMARK        ",383,22.529,17,13,4,0.2353
"18",23,"AUSTRIA        ",558,21.462,26,19,7,0.2692
"19",29,"SINGAPORE      ",279,21.462,13,10,3,0.2308
"20",33,"LEBANON        ",171,21.375,8,4,4,0.5
"21",17,"SWEDEN         ",863,19.178,45,28,17,0.3778
"22",22,"ISRAEL         ",570,19,30,26,4,0.1333
"23",6,"ITALY          ",3067,18.701,164,133,31,0.189
"24",28,"NORWAY         ",330,18.333,18,16,2,0.1111
"25",21,"BELGIUM        ",583,18.219,32,18,14,0.4375
"26",16,"PORTUGAL       ",1008,16.8,60,48,12,0.2
"27",10,"JAPAN          ",1841,16.292,113,99,14,0.1239
"28",56,"JAMAICA        ",30,15,2,1,1,0.5
"29",63,"LUXEMBOURG     ",15,15,1,1,0,0
"30",40,"CZECH REPUBLIC ",102,14.571,7,5,2,0.2857
"31",31,"GREECE         ",243,14.294,17,15,2,0.1176
"32",64,"VENEZUELA      ",14,14,1,1,0,0
"33",11,"SPAIN          ",1759,13.85,127,90,37,0.2913
"34",44,"CYPRUS         ",80,13.333,6,5,1,0.1667
"35",27,"SOUTH AFRICA   ",371,12.793,29,23,6,0.2069
"36",14,"KOREA          ",1298,12.362,105,86,19,0.181
"37",67,"BARBADOS       ",12,12,1,1,0,0
"38",59,"BANGLADESH     ",23,11.5,2,0,2,1
"39",46,"SERBIA         ",57,11.4,5,5,0,0
"40",54,"BOSNIA         ",34,11.333,3,1,2,0.6667
"41",13,"TURKEY         ",1312,11.119,118,115,3,0.0254
"42",18,"IRAN           ",807,11.055,73,60,13,0.1781
"43",68,"URUGUAY        ",11,11,1,1,0,0
"44",7,"CHINA          ",2905,10.602,274,231,43,0.1569
"45",45,"ARGENTINA      ",71,10.143,7,3,4,0.5714
"46",24,"POLAND         ",531,9.833,54,48,6,0.1111
"47",52,"KUWAIT         ",39,9.75,4,3,1,0.25
"48",57,"ECUADOR        ",29,9.667,3,1,2,0.6667
"49",53,"QATAR          ",38,9.5,4,2,2,0.5
"50",41,"LITHUANIA      ",94,9.4,10,9,1,0.1
"51",48,"NIGERIA        ",54,9,6,6,0,0
"52",55,"ICELAND        ",34,8.5,4,2,2,0.5
"53",30,"MEXICO         ",271,8.469,32,22,10,0.3125
"54",71,"MACEDONIA      ",8,8,1,1,0,0
"55",39,"PAKISTAN       ",116,7.25,16,13,3,0.1875
"56",12,"BRAZIL         ",1430,7.15,200,173,27,0.135
"57",60,"MOROCCO        ",21,7,3,2,1,0.3333
"58",36,"SAUDI ARABIA   ",164,6.074,27,16,11,0.4074
"59",34,"MALAYSIA       ",171,5.897,29,20,9,0.3103
"60",43,"EGYPT          ",83,5.188,16,15,1,0.0625
"61",61,"THAILAND       ",19,4.75,4,3,1,0.25
"62",50,"ROMANIA        ",47,4.7,10,5,5,0.5
"63",47,"HUNGARY        ",55,4.583,12,9,3,0.25
"64",51,"CROATIA        ",44,4,11,10,1,0.0909
"65",70,"LATVIA         ",8,4,2,2,0,0
"66",76,"ALGERIA        ",4,4,1,1,0,0
"67",77,"SENEGAL        ",4,4,1,0,1,1
"68",78,"UGANDA         ",4,4,1,0,1,1
"69",49,"CHILE          ",51,3.923,13,9,4,0.3077
"70",62,"TUNISIA        ",18,3.6,5,4,1,0.2
"71",35,"INDIA          ",166,3.32,50,47,3,0.06
"72",74,"SLOVENIA       ",6,3,2,2,0,0
"73",79,"ALBANIA        ",3,3,1,0,1,1
"74",80,"ZIMBABWE       ",3,3,1,1,0,0
"75",69,"GHANA          ",8,2.667,3,2,1,0.3333
"76",65,"COLOMBIA       ",13,2.6,5,3,2,0.4
"77",75,"PERU           ",5,2.5,2,2,0,0
"78",81,"GABON          ",2,2,1,1,0,0
"79",82,"MALTA          ",2,2,1,1,0,0
"80",66,"INDONESIA      ",13,1.444,9,9,0,0
"81",72,"JORDAN         ",7,1.4,5,3,2,0.4
"82",83,"NEPAL          ",2,1,2,2,0,0
"83",86,"SOMALIA        ",1,1,1,1,0,0
"84",88,"UKRAINE        ",1,1,1,1,0,0
"85",89,"UZBEKISTAN     ",1,1,1,0,1,1
"86",85,"PHILIPPINES    ",1,0.5,2,2,0,0
"87",87,"SRI LANKA      ",1,0.5,2,2,0,0
"88",84,"CUBA           ",1,0.333,3,3,0,0
"89",73,"RUSSIA         ",6,0.273,22,22,0,0
"90",90,"COSTA RICA     ",0,0,2,1,1,0.5
"91",91,"ETHIOPIA       ",0,0,1,1,0,0
"92",92,"IRAQ           ",0,0,4,4,0,0
"93",93,"KAZAKHSTAN     ",0,0,2,2,0,0
"94",94,"SUDAN          ",0,0,1,1,0,0
