"","Year   ","Articles"
"1","1975",2
"2","1976",3
"3","1977",4
"4","1978",3
"5","1979",4
"6","1980",3
"7","1981",6
"8","1982",5
"9","1983",10
"10","1984",5
"11","1985",6
"12","1986",5
"13","1987",7
"14","1988",3
"15","1989",9
"16","1990",9
"17","1991",21
"18","1992",11
"19","1993",10
"20","1994",15
"21","1995",27
"22","1996",21
"23","1997",15
"24","1998",21
"25","1999",27
"26","2000",17
"27","2001",11
"28","2002",16
"29","2003",21
"30","2004",20
"31","2005",20
"32","2006",22
"33","2007",45
"34","2008",35
"35","2009",35
"36","2010",44
"37","2011",45
"38","2012",77
"39","2013",63
"40","2014",53
"41","2015",83
"42","2016",101
"43","2017",166
"44","2018",139
"45","2019",297
"46","2020",243
"47","2021",298
"48","2022",318
"49","2023",339
