"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1975:2023"
"3","Sources (Journals, Books, etc)","1098"
"4","Documents","2760"
"5","Annual Growth Rate %","11.29"
"6","Document Average Age","8.65"
"7","Average citations per doc","4.35"
"8","Average citations per year per doc","0.4597"
"9","References","84197"
"10","DOCUMENT TYPES",""
"11","art exhibit review","26"
"12","art exhibit review; early access","1"
"13","article","1478"
"14","article; book chapter","376"
"15","article; data paper; early access","1"
"16","article; early access","339"
"17","article; proceedings paper","22"
"18","biographical-item","1"
"19","biographical-item; early access","1"
"20","book","17"
"21","book review","193"
"22","book review; early access","6"
"23","correction","2"
"24","correction, addition","1"
"25","discussion","2"
"26","editorial material","92"
"27","editorial material; book chapter","57"
"28","editorial material; early access","13"
"29","item about an individual","1"
"30","letter","14"
"31","meeting abstract","1"
"32","news item","2"
"33","note","5"
"34","poetry","1"
"35","poetry; book chapter","1"
"36","proceedings paper","62"
"37","review","37"
"38","review; book chapter","1"
"39","review; early access","5"
"40","theater review","2"
"41","DOCUMENT CONTENTS",""
"42","Keywords Plus (ID)","1047"
"43","Author's Keywords (DE)","5408"
"44","AUTHORS",""
"45","Authors","3291"
"46","Author Appearances","3937"
"47","Authors of single-authored docs","1750"
"48","AUTHORS COLLABORATION",""
"49","Single-authored docs","2116"
"50","Documents per Author","0.839"
"51","Co-Authors per Doc","1.43"
"52","International co-authorships %","8.261"
"53","",""
