"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","SLIWINSKA B      ","16","SLIWINSKA B      ","16.00"
"2","LAMM K           ","15","POLLOCK G        ","15.00"
"3","POLLOCK G        ","15","LAMM K           ","14.50"
"4","RICE C           ","15","RAYMOND C        ","12.50"
"5","RAYMOND C        ","13","SEPÚLVEDA GA     ","12.00"
"6","FOURNIER L       ","12","KOKOLI AM        ","11.00"
"7","SEPÚLVEDA GA     ","12","NA               ","11.00"
"8","KOKOLI AM        ","11","[ANONYMOUS]      ","11.00"
"9","NA               ","11","FOURNIER L       ","10.83"
"10","[ANONYMOUS]      ","11","JOHNSON C        ","10.00"
"11","JOHNSON C        ","10","MORSE NE         "," 9.00"
"12","DASTARLI E       "," 9","BATTISTA K       "," 8.00"
"13","MORSE NE         "," 9","DEEPWELL K       "," 7.00"
"14","BATTISTA K       "," 8","JONES A          "," 7.00"
"15","CIN FM           "," 8","SCHMAHMANN B     "," 7.00"
"16","DEEPWELL K       "," 7","SILVER E         "," 7.00"
"17","HORNE V          "," 7","HORNE V          "," 6.00"
"18","JONES A          "," 7","DIMITRAKAKI A    "," 5.50"
"19","SCHMAHMANN B     "," 7","BOARD ML         "," 5.00"
"20","SILVER E         "," 7","DASTARLI E       "," 5.00"
"21","DIMITRAKAKI A    "," 6","HAMELSCHWULST M  "," 5.00"
"22","HENDERSON M      "," 6","SOUZA E          "," 5.00"
"23","TOBIN A          "," 6","TOBIN A          "," 5.00"
"24","BAILEY KA        "," 5","WITHERS J        "," 5.00"
"25","BOARD ML         "," 5","RICE C           "," 4.60"
"26","HAMELSCHWULST M  "," 5","CHARLESWORTH A   "," 4.00"
"27","HUSS E           "," 5","CIN FM           "," 4.00"
"28","LEU L            "," 5","GRANT C          "," 4.00"
"29","SOUZA E          "," 5","HENDERSON M      "," 4.00"
"30","WILSON S         "," 5","OKSALA J         "," 4.00"
"31","WITHERS J        "," 5","PHIPPARD P       "," 4.00"
"32","CHARLESWORTH A   "," 4","RENTSCHLER C     "," 4.00"
"33","CRIMMINS G       "," 4","SPERBER D        "," 4.00"
"34","DESAI S          "," 4","TAMBOUKOU M      "," 4.00"
"35","FRANGOS MC       "," 4","VISHMIDT M       "," 4.00"
"36","GRANT C          "," 4","WILSON S         "," 3.83"
"37","HAYNES R         "," 4","CRIMMINS G       "," 3.50"
"38","LOVELESS N       "," 4","FRANGOS MC       "," 3.50"
"39","MANDALAKI E      "," 4","RENTSCHLER CA    "," 3.50"
"40","MEAGHER M        "," 4","SPENCER C        "," 3.04"
"41","MESKIMMON M      "," 4","BEST S           "," 3.00"
