"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","753","0.325833","713","40","0.05312"
"2","UNITED KINGDOM ","421","0.182172","372","49","0.11639"
"3","CANADA         ","216","0.093466","203","13","0.06019"
"4","AUSTRALIA      ","150","0.064907","129","21","0.14000"
"5","SPAIN          ","107","0.046300","106"," 1","0.00935"
"6","BRAZIL         "," 45","0.019472"," 39"," 6","0.13333"
"7","CHINA          "," 42","0.018174"," 37"," 5","0.11905"
"8","FINLAND        "," 38","0.016443"," 33"," 5","0.13158"
"9","GERMANY        "," 36","0.015578"," 31"," 5","0.13889"
"10","SWEDEN         "," 35","0.015145"," 26"," 9","0.25714"
"11","SOUTH AFRICA   "," 32","0.013847"," 29"," 3","0.09375"
"12","ARGENTINA      "," 30","0.012981"," 26"," 4","0.13333"
"13","ISRAEL         "," 29","0.012549"," 24"," 5","0.17241"
"14","NETHERLANDS    "," 28","0.012116"," 23"," 5","0.17857"
"15","FRANCE         "," 26","0.011251"," 21"," 5","0.19231"
"16","IRELAND        "," 26","0.011251"," 21"," 5","0.19231"
"17","ITALY          "," 19","0.008222"," 16"," 3","0.15789"
"18","INDIA          "," 18","0.007789"," 17"," 1","0.05556"
"19","NORWAY         "," 18","0.007789"," 15"," 3","0.16667"
"20","AUSTRIA        "," 16","0.006923","  9"," 7","0.43750"
"21","POLAND         "," 16","0.006923"," 16"," 0","0.00000"
"22","NEW ZEALAND    "," 15","0.006491"," 12"," 3","0.20000"
"23","CHILE          "," 14","0.006058"," 13"," 1","0.07143"
"24","MEXICO         "," 14","0.006058"," 11"," 3","0.21429"
"25","PORTUGAL       "," 13","0.005625"," 11"," 2","0.15385"
"26","TURKEY         "," 13","0.005625"," 13"," 0","0.00000"
"27","BELGIUM        "," 11","0.004760","  9"," 2","0.18182"
"28","DENMARK        ","  8","0.003462","  5"," 3","0.37500"
"29","RUSSIA         ","  8","0.003462","  8"," 0","0.00000"
"30","SINGAPORE      ","  8","0.003462","  8"," 0","0.00000"
"31","SWITZERLAND    ","  8","0.003462","  8"," 0","0.00000"
"32","CZECH REPUBLIC ","  7","0.003029","  5"," 2","0.28571"
"33","KOREA          ","  7","0.003029","  7"," 0","0.00000"
"34","UKRAINE        ","  6","0.002596","  6"," 0","0.00000"
"35","COLOMBIA       ","  4","0.001731","  3"," 1","0.25000"
"36","CROATIA        ","  4","0.001731","  4"," 0","0.00000"
"37","JAPAN          ","  4","0.001731","  2"," 2","0.50000"
"38","NIGERIA        ","  4","0.001731","  4"," 0","0.00000"
"39","PHILIPPINES    ","  4","0.001731","  4"," 0","0.00000"
"40","SERBIA         ","  4","0.001731","  3"," 1","0.25000"
"41","BARBADOS       ","  3","0.001298","  1"," 2","0.66667"
"42","CYPRUS         ","  3","0.001298","  2"," 1","0.33333"
"43","EGYPT          ","  3","0.001298","  2"," 1","0.33333"
"44","GREECE         ","  3","0.001298","  2"," 1","0.33333"
"45","IRAN           ","  3","0.001298","  2"," 1","0.33333"
"46","LATVIA         ","  3","0.001298","  3"," 0","0.00000"
"47","SLOVENIA       ","  3","0.001298","  3"," 0","0.00000"
"48","COSTA RICA     ","  2","0.000865","  2"," 0","0.00000"
"49","KAZAKHSTAN     ","  2","0.000865","  2"," 0","0.00000"
"50","ROMANIA        ","  2","0.000865","  2"," 0","0.00000"
"51","SLOVAKIA       ","  2","0.000865","  2"," 0","0.00000"
"52","BELARUS        ","  1","0.000433","  1"," 0","0.00000"
"53","BENIN          ","  1","0.000433","  1"," 0","0.00000"
"54","BOSNIA         ","  1","0.000433","  0"," 1","1.00000"
"55","BULGARIA       ","  1","0.000433","  1"," 0","0.00000"
"56","CAMEROON       ","  1","0.000433","  1"," 0","0.00000"
"57","ECUADOR        ","  1","0.000433","  1"," 0","0.00000"
"58","ESTONIA        ","  1","0.000433","  1"," 0","0.00000"
"59","ETHIOPIA       ","  1","0.000433","  1"," 0","0.00000"
"60","GEORGIA        ","  1","0.000433","  1"," 0","0.00000"
"61","GHANA          ","  1","0.000433","  1"," 0","0.00000"
"62","HUNGARY        ","  1","0.000433","  0"," 1","1.00000"
"63","INDONESIA      ","  1","0.000433","  1"," 0","0.00000"
"64","IRAQ           ","  1","0.000433","  0"," 1","1.00000"
"65","JORDAN         ","  1","0.000433","  1"," 0","0.00000"
"66","KUWAIT         ","  1","0.000433","  1"," 0","0.00000"
"67","LEBANON        ","  1","0.000433","  0"," 1","1.00000"
"68","LITHUANIA      ","  1","0.000433","  1"," 0","0.00000"
"69","MALAYSIA       ","  1","0.000433","  1"," 0","0.00000"
"70","MALTA          ","  1","0.000433","  1"," 0","0.00000"
"71","NEPAL          ","  1","0.000433","  0"," 1","1.00000"
"72","PAKISTAN       ","  1","0.000433","  0"," 1","1.00000"
"73","PERU           ","  1","0.000433","  1"," 0","0.00000"
"74","SAUDI ARABIA   ","  1","0.000433","  1"," 0","0.00000"
"75","SENEGAL        ","  1","0.000433","  1"," 0","0.00000"
"76","U ARAB EMIRATES","  1","0.000433","  1"," 0","0.00000"
