"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","4852"," 6.444"
"2","UNITED KINGDOM ","2323"," 5.518"
"3","CANADA         ","1329"," 6.153"
"4","AUSTRALIA      "," 686"," 4.573"
"5","IRELAND        "," 426","16.385"
"6","FINLAND        "," 338"," 8.895"
"7","GERMANY        "," 218"," 6.056"
"8","NETHERLANDS    "," 197"," 7.036"
"9","SWEDEN         "," 125"," 3.571"
"10","ISRAEL         "," 116"," 4.000"
"11","CHINA          ","  91"," 2.167"
"12","AUSTRIA        ","  88"," 5.500"
"13","NEW ZEALAND    ","  80"," 5.333"
"14","SPAIN          ","  71"," 0.664"
"15","INDIA          ","  63"," 3.500"
"16","ITALY          ","  58"," 3.053"
"17","BRAZIL         ","  52"," 1.156"
"18","FRANCE         ","  50"," 1.923"
"19","NORWAY         ","  47"," 2.611"
"20","SOUTH AFRICA   ","  41"," 1.281"
"21","SINGAPORE      ","  35"," 4.375"
"22","SWITZERLAND    ","  32"," 4.000"
"23","GEORGIA        ","  31","31.000"
"24","BOSNIA         ","  26","26.000"
"25","BELGIUM        ","  23"," 2.091"
"26","EGYPT          ","  21"," 7.000"
"27","KOREA          ","  19"," 2.714"
"28","TURKEY         ","  18"," 1.385"
"29","CHILE          ","  17"," 1.214"
"30","NIGERIA        ","  17"," 4.250"
"31","CYPRUS         ","  12"," 4.000"
"32","PORTUGAL       ","  11"," 0.846"
"33","COLOMBIA       ","   9"," 2.250"
"34","ARGENTINA      ","   8"," 0.267"
"35","DENMARK        ","   8"," 1.000"
"36","GREECE         ","   8"," 2.667"
"37","POLAND         ","   7"," 0.438"
"38","PAKISTAN       ","   6"," 6.000"
"39","PHILIPPINES    ","   6"," 1.500"
"40","BARBADOS       ","   5"," 1.667"
"41","MEXICO         ","   5"," 0.357"
"42","CZECH REPUBLIC ","   4"," 0.571"
"43","JAPAN          ","   4"," 1.000"
"44","HUNGARY        ","   3"," 3.000"
"45","GHANA          ","   2"," 2.000"
"46","KAZAKHSTAN     ","   2"," 1.000"
"47","LITHUANIA      ","   2"," 2.000"
"48","RUSSIA         ","   2"," 0.250"
"49","SLOVENIA       ","   2"," 0.667"
"50","BENIN          ","   1"," 1.000"
"51","CROATIA        ","   1"," 0.250"
"52","ETHIOPIA       ","   1"," 1.000"
"53","IRAQ           ","   1"," 1.000"
"54","LATVIA         ","   1"," 0.333"
"55","LEBANON        ","   1"," 1.000"
"56","MALAYSIA       ","   1"," 1.000"
"57","SLOVAKIA       ","   1"," 0.500"
"58","UKRAINE        ","   1"," 0.167"
"59","BELARUS        ","   0"," 0.000"
"60","BULGARIA       ","   0"," 0.000"
"61","CAMEROON       ","   0"," 0.000"
"62","COSTA RICA     ","   0"," 0.000"
"63","ECUADOR        ","   0"," 0.000"
"64","ESTONIA        ","   0"," 0.000"
"65","INDONESIA      ","   0"," 0.000"
"66","IRAN           ","   0"," 0.000"
"67","JORDAN         ","   0"," 0.000"
"68","KUWAIT         ","   0"," 0.000"
"69","MALTA          ","   0"," 0.000"
"70","NEPAL          ","   0"," 0.000"
"71","PERU           ","   0"," 0.000"
"72","ROMANIA        ","   0"," 0.000"
"73","SAUDI ARABIA   ","   0"," 0.000"
"74","SENEGAL        ","   0"," 0.000"
"75","SERBIA         ","   0"," 0.000"
"76","U ARAB EMIRATES","   0"," 0.000"
