"Year","Articles","MeanTCperArt","MeanTCperYear"
1975,2,0,0
1976,3,0.333333333333333,0.00694444444444444
1977,4,1.5,0.0319148936170213
1978,3,0,0
1979,4,0.25,0.00555555555555556
1980,3,0,0
1981,6,2.16666666666667,0.0503875968992248
1982,5,0.8,0.019047619047619
1983,10,1.1,0.0268292682926829
1984,5,2.2,0.055
1985,6,1.66666666666667,0.0427350427350427
1986,5,2,0.0526315789473684
1987,7,8.85714285714286,0.239382239382239
1988,3,0,0
1989,9,1.22222222222222,0.0349206349206349
1990,9,2.66666666666667,0.0784313725490196
1991,21,1.66666666666667,0.0505050505050505
1992,11,1.45454545454545,0.0454545454545454
1993,10,43.6,1.40645161290323
1994,15,6.93333333333333,0.231111111111111
1995,27,8.03703703703703,0.277139208173691
1996,21,4.28571428571429,0.153061224489796
1997,15,6.53333333333333,0.241975308641975
1998,21,7.0952380952381,0.272893772893773
1999,27,3.77777777777778,0.151111111111111
2000,17,17.9411764705882,0.747549019607843
2001,11,8.54545454545454,0.371541501976285
2002,16,14.375,0.653409090909091
2003,21,10.9047619047619,0.519274376417234
2004,20,12.65,0.6325
2005,20,14.75,0.776315789473684
2006,22,16.5909090909091,0.921717171717172
2007,45,6.95555555555556,0.409150326797386
2008,35,2.54285714285714,0.158928571428571
2009,35,9.28571428571429,0.619047619047619
2010,44,23.3863636363636,1.67045454545455
2011,45,7.53333333333333,0.57948717948718
2012,77,7.67532467532468,0.63961038961039
2013,63,8.82539682539682,0.802308802308802
2014,53,5.92452830188679,0.592452830188679
2015,83,9.71084337349397,1.07898259705489
2016,101,5.94059405940594,0.742574257425743
2017,166,3.15662650602409,0.450946643717727
2018,139,7.83453237410072,1.30575539568345
2019,297,2.94949494949495,0.58989898989899
2020,243,2.1358024691358,0.533950617283951
2021,298,1.5503355704698,0.516778523489933
2022,318,0.867924528301887,0.433962264150943
2023,339,0.345132743362832,0.345132743362832
