"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",23,"GEORGIA        ",31,31,1,1,0,0
"2",24,"BOSNIA         ",26,26,1,0,1,1
"3",5,"IRELAND        ",426,16.385,26,21,5,0.19231
"4",6,"FINLAND        ",338,8.895,38,33,5,0.13158
"5",8,"NETHERLANDS    ",197,7.036,28,23,5,0.17857
"6",26,"EGYPT          ",21,7,3,2,1,0.33333
"7",1,"USA            ",4852,6.444,753,713,40,0.05312
"8",3,"CANADA         ",1329,6.153,216,203,13,0.06019
"9",7,"GERMANY        ",218,6.056,36,31,5,0.13889
"10",38,"PAKISTAN       ",6,6,1,0,1,1
"11",2,"UNITED KINGDOM ",2323,5.518,421,372,49,0.11639
"12",12,"AUSTRIA        ",88,5.5,16,9,7,0.4375
"13",13,"NEW ZEALAND    ",80,5.333,15,12,3,0.2
"14",4,"AUSTRALIA      ",686,4.573,150,129,21,0.14
"15",21,"SINGAPORE      ",35,4.375,8,8,0,0
"16",30,"NIGERIA        ",17,4.25,4,4,0,0
"17",10,"ISRAEL         ",116,4,29,24,5,0.17241
"18",22,"SWITZERLAND    ",32,4,8,8,0,0
"19",31,"CYPRUS         ",12,4,3,2,1,0.33333
"20",9,"SWEDEN         ",125,3.571,35,26,9,0.25714
"21",15,"INDIA          ",63,3.5,18,17,1,0.05556
"22",16,"ITALY          ",58,3.053,19,16,3,0.15789
"23",44,"HUNGARY        ",3,3,1,0,1,1
"24",27,"KOREA          ",19,2.714,7,7,0,0
"25",36,"GREECE         ",8,2.667,3,2,1,0.33333
"26",19,"NORWAY         ",47,2.611,18,15,3,0.16667
"27",33,"COLOMBIA       ",9,2.25,4,3,1,0.25
"28",11,"CHINA          ",91,2.167,42,37,5,0.11905
"29",25,"BELGIUM        ",23,2.091,11,9,2,0.18182
"30",45,"GHANA          ",2,2,1,1,0,0
"31",47,"LITHUANIA      ",2,2,1,1,0,0
"32",18,"FRANCE         ",50,1.923,26,21,5,0.19231
"33",40,"BARBADOS       ",5,1.667,3,1,2,0.66667
"34",39,"PHILIPPINES    ",6,1.5,4,4,0,0
"35",28,"TURKEY         ",18,1.385,13,13,0,0
"36",20,"SOUTH AFRICA   ",41,1.281,32,29,3,0.09375
"37",29,"CHILE          ",17,1.214,14,13,1,0.07143
"38",17,"BRAZIL         ",52,1.156,45,39,6,0.13333
"39",35,"DENMARK        ",8,1,8,5,3,0.375
"40",43,"JAPAN          ",4,1,4,2,2,0.5
"41",46,"KAZAKHSTAN     ",2,1,2,2,0,0
"42",50,"BENIN          ",1,1,1,1,0,0
"43",52,"ETHIOPIA       ",1,1,1,1,0,0
"44",53,"IRAQ           ",1,1,1,0,1,1
"45",55,"LEBANON        ",1,1,1,0,1,1
"46",56,"MALAYSIA       ",1,1,1,1,0,0
"47",32,"PORTUGAL       ",11,0.846,13,11,2,0.15385
"48",49,"SLOVENIA       ",2,0.667,3,3,0,0
"49",14,"SPAIN          ",71,0.664,107,106,1,0.00935
"50",42,"CZECH REPUBLIC ",4,0.571,7,5,2,0.28571
"51",57,"SLOVAKIA       ",1,0.5,2,2,0,0
"52",37,"POLAND         ",7,0.438,16,16,0,0
"53",41,"MEXICO         ",5,0.357,14,11,3,0.21429
"54",54,"LATVIA         ",1,0.333,3,3,0,0
"55",34,"ARGENTINA      ",8,0.267,30,26,4,0.13333
"56",48,"RUSSIA         ",2,0.25,8,8,0,0
"57",51,"CROATIA        ",1,0.25,4,4,0,0
"58",58,"UKRAINE        ",1,0.167,6,6,0,0
"59",59,"BELARUS        ",0,0,1,1,0,0
"60",60,"BULGARIA       ",0,0,1,1,0,0
"61",61,"CAMEROON       ",0,0,1,1,0,0
"62",62,"COSTA RICA     ",0,0,2,2,0,0
"63",63,"ECUADOR        ",0,0,1,1,0,0
"64",64,"ESTONIA        ",0,0,1,1,0,0
"65",65,"INDONESIA      ",0,0,1,1,0,0
"66",66,"IRAN           ",0,0,3,2,1,0.33333
"67",67,"JORDAN         ",0,0,1,1,0,0
"68",68,"KUWAIT         ",0,0,1,1,0,0
"69",69,"MALTA          ",0,0,1,1,0,0
"70",70,"NEPAL          ",0,0,1,0,1,1
"71",71,"PERU           ",0,0,1,1,0,0
"72",72,"ROMANIA        ",0,0,2,2,0,0
"73",73,"SAUDI ARABIA   ",0,0,1,1,0,0
"74",74,"SENEGAL        ",0,0,1,1,0,0
"75",75,"SERBIA         ",0,0,4,3,1,0.25
"76",76,"U ARAB EMIRATES",0,0,1,1,0,0
