"","Year   ","Articles"
"1","1979",1
"2","1982",1
"3","1983",1
"4","1985",2
"5","1986",3
"6","1987",2
"7","1988",2
"8","1989",2
"9","1990",4
"10","1991",6
"11","1992",20
"12","1993",12
"13","1994",26
"14","1995",30
"15","1996",48
"16","1997",56
"17","1998",40
"18","1999",34
"19","2000",45
"20","2001",49
"21","2002",49
"22","2003",60
"23","2004",48
"24","2005",65
"25","2006",60
"26","2007",79
"27","2008",91
"28","2009",100
"29","2010",124
"30","2011",108
"31","2012",130
"32","2013",136
"33","2014",130
"34","2015",187
"35","2016",213
"36","2017",221
"37","2018",276
"38","2019",452
"39","2020",444
"40","2021",492
"41","2022",514
"42","2023",565
