"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1979:2023"
"3","Sources (Journals, Books, etc)","1788"
"4","Documents","4928"
"5","Annual Growth Rate %","15.49"
"6","Document Average Age","8.44"
"7","Average citations per doc","14.09"
"8","Average citations per year per doc","1.247"
"9","References","179494"
"10","DOCUMENT TYPES",""
"11","article","3138"
"12","article; book chapter","258"
"13","article; early access","931"
"14","article; proceedings paper","90"
"15","book","18"
"16","book review","150"
"17","book review; early access","14"
"18","correction","1"
"19","correction; book chapter","1"
"20","correction; early access","1"
"21","discussion","1"
"22","editorial material","91"
"23","editorial material; book chapter","28"
"24","editorial material; early access","11"
"25","letter","1"
"26","meeting abstract","3"
"27","note","3"
"28","poetry","3"
"29","poetry; book chapter","1"
"30","proceedings paper","91"
"31","reprint","1"
"32","review","72"
"33","review; book chapter","1"
"34","review; early access","19"
"35","DOCUMENT CONTENTS",""
"36","Keywords Plus (ID)","3188"
"37","Author's Keywords (DE)","9196"
"38","AUTHORS",""
"39","Authors","6163"
"40","Author Appearances","7501"
"41","Authors of single-authored docs","2964"
"42","AUTHORS COLLABORATION",""
"43","Single-authored docs","3405"
"44","Documents per Author","0.8"
"45","Co-Authors per Doc","1.52"
"46","International co-authorships %","8.584"
"47","",""
