"","Paper         ","DOI","TC","TCperYear","NTC"
"1","ACKER J, 1990, GENDER SOC                                      ","10.1177/089124390004002002                                  ","3692","105.49"," 3.93"
"2","MCKINLEY NM, 1996, PSYCHOL WOMEN QUART                         ","10.1111/j.1471-6402.1996.tb00467.x                          ","1043"," 35.97","28.16"
"3","HEMMINGS C, 2005, CULT STUD                                    ","10.1080/09502380500365473                                   "," 601"," 30.05","13.82"
"4","TYLKA TL, 2015, BODY IMAGE                                     ","10.1016/j.bodyim.2015.04.001                                "," 574"," 57.40","30.38"
"5","ARENDELL T, 2000, J MARRIAGE FAM                               ","10.1111/j.1741-3737.2000.01192.x                            "," 528"," 21.12","16.29"
"6","BENNETT J, 2004, POLIT THEORY                                  ","10.1177/0090591703260853                                    "," 478"," 22.76"," 8.96"
"7","GARLAND-THOMSON R, 2011, HYPATIA                               ","10.1111/j.1527-2001.2011.01206.x                            "," 384"," 27.43"," 9.92"
"8","SLOCUM R, 2007, GEOFORUM                                       ","10.1016/j.geoforum.2006.10.006                              "," 364"," 20.22","10.01"
"9","NIGHTINGALE AJ, 2011, GEOFORUM                                 ","10.1016/j.geoforum.2010.03.004                              "," 352"," 25.14"," 9.09"
"10","SULTANA F, 2011, GEOFORUM                                      ","10.1016/j.geoforum.2010.12.002                              "," 334"," 23.86"," 8.63"
"11","NAST HJ, 1994, PROF GEOGR                                      ","10.1111/j.0033-0124.1994.00054.x                            "," 303","  9.77"," 6.97"
"12","TWIGG J, 2004, J AGING STUD                                    ","10.1016/j.jaging.2003.09.001                                "," 303"," 14.43"," 5.68"
"13","AHMED S, 2008, EUR J WOMENS STUD                               ","10.1177/1350506807084854                                    "," 301"," 17.71","10.75"
"14","EDWARDS KM, 2011, SEX ROLES                                    ","10.1007/s11199-011-9943-2                                   "," 293"," 20.93"," 7.57"
"15","GOODLEY D, 2013, DISABIL SOC                                   ","10.1080/09687599.2012.717884                                "," 272"," 22.67","10.34"
"16","NAGAR R, 2002, ECON GEOGR                                      ","10.2307/4140810                                             "," 264"," 11.48"," 8.47"
"17","TRUELOVE Y, 2011, GEOFORUM                                     ","10.1016/j.geoforum.2011.01.004                              "," 260"," 18.57"," 6.71"
"18","MARKULA P, 1995, SOCIOL SPORT J                                ","10.1123/ssj.12.4.424                                        "," 257","  8.57","13.48"
"19","BAER H, 2016, FEM MEDIA STUD                                   ","10.1080/14680777.2015.1093070                               "," 252"," 28.00","16.78"
"20","KITZINGER C, 2002, SOC SCI MED                                 ","10.1016/S0277-9536(01)00034-X                               "," 248"," 10.78"," 7.96"
"21","KRANE V, 2004, SEX ROLES                                       ","10.1023/B:SERS.0000018888.48437.4f                          "," 247"," 11.76"," 4.63"
"22","ALEXANDER MJ, 1994, FEMINIST REV                               ","10.2307/1395166                                             "," 235","  7.58"," 5.41"
"23","TRETHEWEY A, 1999, ORGAN STUD                                  ","10.1177/0170840699203003                                    "," 234","  9.00"," 9.49"
"24","KOOPMAN S, 2011, GEOFORUM                                      ","10.1016/j.geoforum.2011.01.007                              "," 231"," 16.50"," 5.97"
"25","ROSENTHAL L, 2016, AM PSYCHOL                                  ","10.1037/a0040323                                            "," 228"," 25.33","15.18"
"26","FIKKAN JL, 2012, SEX ROLES                                     ","10.1007/s11199-011-0022-5                                   "," 226"," 17.38","10.17"
"27","MARTIN J, 1998, ADMIN SCI QUART                                ","10.2307/2393858                                             "," 220","  8.15"," 6.93"
"28","MOUNTZ A, 2011, GENDER PLACE CULT                              ","10.1080/0966369X.2011.566370                                "," 217"," 15.50"," 5.60"
"29","MOLLETT S, 2013, GEOFORUM                                      ","10.1016/j.geoforum.2012.10.009                              "," 214"," 17.83"," 8.14"
"30","SULTANA F, 2009, GENDER PLACE CULT                             ","10.1080/09663690903003942                                   "," 198"," 12.38"," 8.00"
"31","HAYES-CONROY A, 2008, GENDER PLACE CULT                        ","10.1080/09663690802300803                                   "," 191"," 11.24"," 6.82"
"32","MOUNTZ A, 2004, POLIT GEOGR                                    ","10.1016/j.polgeo.2003.12.017                                "," 191","  9.10"," 3.58"
"33","GILL R, 2015, AUST FEMINIST STUD                               ","10.1080/08164649.2016.1148001                               "," 179"," 17.90"," 9.47"
"34","FOTAKI M, 2013, ORGAN STUD                                     ","10.1177/0170840613483658                                    "," 177"," 14.75"," 6.73"
"35","FRANKE KM, 1997, STANFORD LAW REV                              ","10.2307/1229336                                             "," 175","  6.25","10.11"
"36","CLARKE LH, 2008, AGEING SOC                                    ","10.1017/S0144686X07007003                                   "," 169","  9.94"," 6.04"
"37","MCKINLEY NM, 1998, SEX ROLES                                   ","10.1023/A:1018834001203                                     "," 168","  6.22"," 5.29"
"38","ANDRIJASEVIC R, 2007, FEMINIST REV                             ","10.1057/palgrave.fr.9400355                                 "," 168","  9.33"," 4.62"
"39","DYCK I, 2005, CAN GEOGR-GEOGR CAN                              ","10.1111/j.0008-3658.2005.00092.x                            "," 167","  8.35"," 3.84"
"40","KREKULA C, 2007, CURR SOCIOL                                   ","10.1177/0011392107073299                                    "," 164","  9.11"," 4.51"
"41","EVANS A, 2010, FEM PSYCHOL                                     ","10.1177/0959353509351854                                    "," 162"," 10.80"," 8.56"
"42","IMPETT EA, 2006, ARCH SEX BEHAV                                ","10.1007/s10508-005-9016-0                                   "," 161","  8.47"," 5.68"
"43","KOTTHOFF H, 2006, J PRAGMATICS                                 ","10.1016/j.pragma.2005.06.003                                "," 158","  8.32"," 5.57"
"44","GELLER J, 2000, INT J EAT DISORDER                             ","10.1002/1098-108X(200007)28:1<8::AID-EAT2>3.3.CO;2-L        "," 157","  6.28"," 4.84"
"45","LOCK M, 2001, MED ANTHROPOL Q                                  ","10.1525/maq.2001.15.4.478                                   "," 154","  6.42"," 3.92"
"46","FOX N, 2005, SOCIOL HEALTH ILL                                 ","10.1111/j.1467-9566.2005.00465.x                            "," 154","  7.70"," 3.54"
"47","DOEZEMA J, 2001, FEMINIST REV                                  ","NA                                                          "," 154","  6.42"," 3.92"
"48","BUZAR S, 2005, PROG HUM GEOG                                   ","10.1191/0309132505ph558oa                                   "," 153","  7.65"," 3.52"
"49","MARKULA P, 2003, SOCIOL SPORT J                                ","10.1123/ssj.20.2.87                                         "," 152","  6.91"," 4.60"
"50","MARTIN KA, 1998, AM SOCIOL REV                                 ","10.2307/2657264                                             "," 148","  5.48"," 4.66"
"51","TAYLOR V, 1999, GENDER SOC                                     ","10.1177/089124399013001002                                  "," 146","  5.62"," 5.92"
"52","SIMONSEN K, 2005, GEOGR ANN B                                  ","10.1111/j.0435-3684.2005.00174.x                            "," 145","  7.25"," 3.34"
"53","HYNDMAN J, 2007, PROF GEOGR                                    ","10.1111/j.1467-9272.2007.00589.x                            "," 145","  8.06"," 3.99"
"54","FARIA C, 2016, GENDER PLACE CULT                               ","10.1080/0966369X.2014.958065                                "," 143"," 15.89"," 9.52"
"55","TOLMAN DL, 2012, SEX ROLES                                     ","10.1007/s11199-012-0122-x                                   "," 141"," 10.85"," 6.34"
"56","SCHMIED V, 2001, SOCIOL HEALTH ILL                             ","10.1111/1467-9566.00249                                     "," 141","  5.88"," 3.59"
"57","DICKENSON DL, 2007, PROPERTY IN THE BODY: FEMINIST PERSPECTIVES","NA                                                          "," 141","  7.83"," 3.88"
"58","KELLER J, 2018, J GENDER STUD                                  ","10.1080/09589236.2016.1211511                               "," 139"," 19.86","11.66"
"59","KANTOLA J, 2006, FEMINISTS THEORIZE THE STATE                  ","10.1057/9780230626324                                       "," 137","  7.21"," 4.83"
"60","HENDERSON KA, 2013, J LEISURE RES                              ","10.18666/jlr-2013-v45-i2-3008                               "," 135"," 11.25"," 5.13"
"61","KANE MJ, 2013, COMMUN SPORT                                    ","10.1177/2167479512473585                                    "," 133"," 11.08"," 5.06"
"62","SILVEY R, 2004, POLIT GEOGR                                    ","10.1016/j.polgeo.2003.12.015                                "," 132","  6.29"," 2.48"
"63","SPELMAN EV, 1982, FEMINIST STUD                                ","10.2307/3177582                                             "," 132","  3.07"," 1.00"
"64","BERRY MJ, 2017, CULT ANTHROPOL                                 ","10.14506/ca32.4.05                                          "," 130"," 16.25","11.70"
"65","BUTLER R, 1997, ENVIRON PLANN D                                ","10.1068/d150411                                             "," 130","  4.64"," 7.51"
"66","FRITH K, 2005, J COMMUN                                        ","10.1093/joc/55.1.56                                         "," 129","  6.45"," 2.97"
"67","AL-SAJI A, 2010, PHILOS SOC CRIT                               ","10.1177/0191453710375589                                    "," 129","  8.60"," 6.82"
"68","SLOCUM R, 2008, SOC CULT GEOGR                                 ","10.1080/14649360802441465                                   "," 129","  7.59"," 4.61"
"69","MARLOW S, 2015, ENTREP THEORY PRACT                            ","10.1111/etap.12062                                          "," 128"," 12.80"," 6.77"
"70","LOVEJOY M, 2001, GENDER SOC                                    ","10.1177/089124301015002005                                  "," 127","  5.29"," 3.23"
"71","PRINGLE R, 2005, J SPORT SOC ISSUES                            ","10.1177/0193723505276228                                    "," 126","  6.30"," 2.90"
"72","LAWS G, 1995, GERONTOLOGIST                                    ","10.1093/geront/35.1.112                                     "," 125","  4.17"," 6.56"
"73","ELLINGSON LL, 2006, QUAL HEALTH RES                            ","10.1177/1049732305281944                                    "," 124","  6.53"," 4.37"
"74","SMITH S, 2012, ANN ASSOC AM GEOGR                              ","10.1080/00045608.2012.660391                                "," 122","  9.38"," 5.49"
"75","WILCOX L, 2017, SECUR DIALOGUE                                 ","10.1177/0967010616657947                                    "," 120"," 15.00","10.80"
"76","WHITE E, 2019, GENDER THEOL SPIRITU                            ","NA                                                          "," 119"," 19.83","16.06"
"77","DIXON DP, 2011, GENDER PLACE CULT                              ","10.1080/0966369X.2011.583401                                "," 118","  8.43"," 3.05"
"78","KATZMAN MA, 1997, INT J EAT DISORDER                           ","10.1002/(SICI)1098-108X(199712)22:4<385::AID-EAT3>3.0.CO;2-I"," 117","  4.18"," 6.76"
"79","MAGUBANE Z, 2001, GENDER SOC                                   ","10.1177/089124301015006003                                  "," 116","  4.83"," 2.95"
"80","JOHNSTON L, 2001, ANN TOURISM RES                              ","10.1016/S0160-7383(00)00012-8                               "," 116","  4.83"," 2.95"
"81","BALL K, 2005, ORGANIZATION                                     ","10.1177/1350508405048578                                    "," 115","  5.75"," 2.65"
