"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","THORPE H           ","28","THORPE H           ","11.73"
"2","RICE C             ","13","LUPTON D           "," 9.50"
"3","CHRISLER JC        ","12","DICKENSON D        "," 9.00"
"4","LUPTON D           ","12","NA                 "," 9.00"
"5","WAITT G            ","12","SLIWINSKA B        "," 9.00"
"6","FOTAKI M           ","11","DAVIS K            "," 7.50"
"7","PAVLIDIS A         ","11","FAHS B             "," 7.50"
"8","FARIA C            ","10","NASH M             "," 7.50"
"9","DICKENSON D        "," 9","CHRISLER JC        "," 7.25"
"10","FAHS B             "," 9","FOTAKI M           "," 6.83"
"11","FRASER S           "," 9","WAITT G            "," 6.50"
"12","FULLAGAR S         "," 9","SMITH S            "," 6.33"
"13","NA                 "," 9","ETTORRE E          "," 6.00"
"14","RILEY S            "," 9","FLURI JL           "," 6.00"
"15","SLIWINSKA B        "," 9","TAMBOUKOU M        "," 6.00"
"16","BALAAM M           "," 8","RICE C             "," 5.79"
"17","COFFEY J           "," 8","HARCOURT W         "," 5.67"
"18","DAVIS K            "," 8","SJOBERG L          "," 5.50"
"19","FLURI JL           "," 8","MARKULA P          "," 5.17"
"20","HARCOURT W         "," 8","COFFEY J           "," 5.08"
"21","NASH M             "," 8","BOST S             "," 5.00"
"22","SMITH S            "," 8","MURRAY J           "," 5.00"
"23","BRICE J            "," 7","SHILDRICK M        "," 5.00"
"24","JOHNSTON-ROBLEDO I "," 7","SULLIVAN N         "," 5.00"
"25","MALSON H           "," 7","NEIMANIS A         "," 4.83"
"26","NEIMANIS A         "," 7","FARIA C            "," 4.62"
"27","PULLEN A           "," 7","LONGHURST R        "," 4.58"
"28","SCHURR C           "," 7","SHABOT SC          "," 4.50"
"29","SJOBERG L          "," 7","PAVLIDIS A         "," 4.32"
"30","USSHER JM          "," 7","FANNIN M           "," 4.25"
"31","ETTORRE E          "," 6","VÄYRYNEN T         "," 4.25"
"32","LONGHURST R        "," 6","OHITO EO           "," 4.12"
"33","MARKULA P          "," 6","TAYLOR CA          "," 4.12"
"34","SHILDRICK M        "," 6","SCHURR C           "," 4.03"
"35","TAMBOUKOU M        "," 6","PULLEN A           "," 4.00"
"36","BAILEY KA          "," 5","RUÉTALO V          "," 4.00"
"37","BOST S             "," 5","SECOMB L           "," 4.00"
"38","CLARK M            "," 5","TIEFER L           "," 4.00"
"39","EVANS A            "," 5","VACHHANI SJ        "," 4.00"
"40","FANNIN M           "," 5","WILCOX L           "," 4.00"
"41","FERNÁNDEZ-MORALES M"," 5","FULLAGAR S         "," 3.92"
"42","GRIFFIN M          "," 5","JOHNSTON L         "," 3.83"
"43","JETTE S            "," 5","MILITZ E           "," 3.83"
"44","JOHNSON S          "," 5","RILEY S            "," 3.79"
"45","JOHNSTON L         "," 5","FRASER S           "," 3.73"
"46","KROLOKKE C         "," 5","BEYNON-JONES SM    "," 3.50"
"47","MANDALAKI E        "," 5","COETZEE A          "," 3.50"
"48","MCCAUGHTRY N       "," 5","DYCK I             "," 3.50"
"49","MILITZ E           "," 5","FERNÁNDEZ-MORALES M"," 3.50"
"50","MURRAY J           "," 5","GRAU BE            "," 3.50"
"51","OHITO EO           "," 5","GUPTA JA           "," 3.50"
"52","OLIVER KL          "," 5","HOLMES S           "," 3.50"
"53","RENOLD E           "," 5","JOHNSTON-ROBLEDO I "," 3.50"
"54","RICH E             "," 5","KARMAKAR G         "," 3.50"
"55","SHABOT SC          "," 5","MANDALAKI E        "," 3.50"
"56","SULLIVAN N         "," 5","MCDONALD MG        "," 3.50"
"57","SWAMI V            "," 5","STEINBERG DL       "," 3.50"
"58","TAYLOR CA          "," 5","USSHER JM          "," 3.42"
"59","VACHHANI SJ        "," 5","MALSON H           "," 3.33"
"60","VÄYRYNEN T         "," 5","SCOTT DN           "," 3.33"
"61","WOYTUK NC          "," 5","WHITE M            "," 3.25"
"62","BARTOS AE          "," 4","KROLOKKE C         "," 3.17"
"63","BEYNON-JONES SM    "," 4","BARTLETT A         "," 3.00"
"64","CLARKE LH          "," 4","CHATTOPADHYAY S    "," 3.00"
"65","COETZEE A          "," 4","DAMOUSI J          "," 3.00"
"66","COLLS R            "," 4","DEVINE C           "," 3.00"
"67","CUOMO D            "," 4","FRANCIS B          "," 3.00"
"68","DASKALAKI M        "," 4","HAMMERS C          "," 3.00"
