"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","1499","0.326437","1432","67","0.0447"
"2","UNITED KINGDOM "," 785","0.170949"," 698","87","0.1108"
"3","AUSTRALIA      "," 405","0.088197"," 349","56","0.1383"
"4","CANADA         "," 396","0.086237"," 364","32","0.0808"
"5","SPAIN          "," 147","0.032012"," 136","11","0.0748"
"6","SWEDEN         "," 103","0.022430","  93","10","0.0971"
"7","BRAZIL         ","  89","0.019382","  84"," 5","0.0562"
"8","NEW ZEALAND    ","  82","0.017857","  62","20","0.2439"
"9","SOUTH AFRICA   ","  80","0.017422","  71"," 9","0.1125"
"10","GERMANY        ","  68","0.014808","  61"," 7","0.1029"
"11","INDIA          ","  66","0.014373","  66"," 0","0.0000"
"12","NETHERLANDS    ","  66","0.014373","  53","13","0.1970"
"13","FINLAND        ","  61","0.013284","  52"," 9","0.1475"
"14","CHINA          ","  56","0.012195","  55"," 1","0.0179"
"15","ISRAEL         ","  52","0.011324","  49"," 3","0.0577"
"16","ITALY          ","  46","0.010017","  41"," 5","0.1087"
"17","ARGENTINA      ","  45","0.009800","  43"," 2","0.0444"
"18","FRANCE         ","  42","0.009146","  37"," 5","0.1190"
"19","DENMARK        ","  40","0.008711","  30","10","0.2500"
"20","CHILE          ","  37","0.008057","  31"," 6","0.1622"
"21","IRELAND        ","  32","0.006969","  30"," 2","0.0625"
"22","MEXICO         ","  28","0.006098","  20"," 8","0.2857"
"23","NORWAY         ","  27","0.005880","  23"," 4","0.1481"
"24","SWITZERLAND    ","  27","0.005880","  21"," 6","0.2222"
"25","BELGIUM        ","  23","0.005009","  17"," 6","0.2609"
"26","KOREA          ","  21","0.004573","  19"," 2","0.0952"
"27","POLAND         ","  20","0.004355","  20"," 0","0.0000"
"28","AUSTRIA        ","  18","0.003920","  12"," 6","0.3333"
"29","COLOMBIA       ","  18","0.003920","  15"," 3","0.1667"
"30","PORTUGAL       ","  15","0.003267","  13"," 2","0.1333"
"31","TURKEY         ","  15","0.003267","  14"," 1","0.0667"
"32","SINGAPORE      ","  12","0.002613","  11"," 1","0.0833"
"33","ROMANIA        ","  11","0.002395","  11"," 0","0.0000"
"34","CZECH REPUBLIC ","   9","0.001960","   9"," 0","0.0000"
"35","PAKISTAN       ","   9","0.001960","   8"," 1","0.1111"
"36","INDONESIA      ","   7","0.001524","   7"," 0","0.0000"
"37","ECUADOR        ","   6","0.001307","   2"," 4","0.6667"
"38","ESTONIA        ","   6","0.001307","   6"," 0","0.0000"
"39","GREECE         ","   6","0.001307","   6"," 0","0.0000"
"40","JAPAN          ","   6","0.001307","   4"," 2","0.3333"
"41","MALAYSIA       ","   6","0.001307","   5"," 1","0.1667"
"42","NIGERIA        ","   6","0.001307","   6"," 0","0.0000"
"43","RUSSIA         ","   6","0.001307","   6"," 0","0.0000"
"44","CYPRUS         ","   5","0.001089","   3"," 2","0.4000"
"45","HUNGARY        ","   5","0.001089","   5"," 0","0.0000"
"46","ICELAND        ","   5","0.001089","   5"," 0","0.0000"
"47","SERBIA         ","   5","0.001089","   5"," 0","0.0000"
"48","SLOVENIA       ","   5","0.001089","   5"," 0","0.0000"
"49","CROATIA        ","   4","0.000871","   4"," 0","0.0000"
"50","PHILIPPINES    ","   4","0.000871","   4"," 0","0.0000"
"51","SAUDI ARABIA   ","   4","0.000871","   4"," 0","0.0000"
"52","URUGUAY        ","   4","0.000871","   3"," 1","0.2500"
"53","BANGLADESH     ","   3","0.000653","   2"," 1","0.3333"
"54","IRAN           ","   3","0.000653","   3"," 0","0.0000"
"55","JAMAICA        ","   3","0.000653","   1"," 2","0.6667"
"56","SLOVAKIA       ","   3","0.000653","   3"," 0","0.0000"
"57","UKRAINE        ","   3","0.000653","   3"," 0","0.0000"
"58","BOSNIA         ","   2","0.000436","   0"," 2","1.0000"
"59","COSTA RICA     ","   2","0.000436","   2"," 0","0.0000"
"60","EGYPT          ","   2","0.000436","   1"," 1","0.5000"
"61","ETHIOPIA       ","   2","0.000436","   2"," 0","0.0000"
"62","GHANA          ","   2","0.000436","   2"," 0","0.0000"
"63","KUWAIT         ","   2","0.000436","   2"," 0","0.0000"
"64","LEBANON        ","   2","0.000436","   1"," 1","0.5000"
"65","PERU           ","   2","0.000436","   2"," 0","0.0000"
"66","THAILAND       ","   2","0.000436","   2"," 0","0.0000"
"67","U ARAB EMIRATES","   2","0.000436","   1"," 1","0.5000"
"68","ALBANIA        ","   1","0.000218","   1"," 0","0.0000"
"69","ALGERIA        ","   1","0.000218","   1"," 0","0.0000"
"70","ARMENIA        ","   1","0.000218","   1"," 0","0.0000"
"71","BELARUS        ","   1","0.000218","   1"," 0","0.0000"
"72","CUBA           ","   1","0.000218","   1"," 0","0.0000"
"73","KAZAKHSTAN     ","   1","0.000218","   1"," 0","0.0000"
"74","LIBERIA        ","   1","0.000218","   0"," 1","1.0000"
"75","MALAWI         ","   1","0.000218","   0"," 1","1.0000"
"76","MALTA          ","   1","0.000218","   1"," 0","0.0000"
"77","MONTENEGRO     ","   1","0.000218","   0"," 1","1.0000"
"78","PARAGUAY       ","   1","0.000218","   1"," 0","0.0000"
"79","SENEGAL        ","   1","0.000218","   1"," 0","0.0000"
"80","SRI LANKA      ","   1","0.000218","   1"," 0","0.0000"
"81","SUDAN          ","   1","0.000218","   0"," 1","1.0000"
"82","UGANDA         ","   1","0.000218","   1"," 0","0.0000"
"83","VIETNAM        ","   1","0.000218","   1"," 0","0.0000"
"84","ZAMBIA         ","   1","0.000218","   1"," 0","0.0000"
