"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","FEMINISM                ","508","GENDER              ","503"
"2","GENDER                  ","500","WOMEN               ","403"
"3","EMBODIMENT              ","252","POLITICS            ","261"
"4","BODY                    ","235","BODY                ","249"
"5","WOMEN                   ","135","BODIES              ","242"
"6","INTERSECTIONALITY       ","132","HEALTH              ","156"
"7","FEMINIST THEORY         ","122","FEMINIST            ","118"
"8","SEXUALITY               ","101","RACE                ","118"
"9","AFFECT                  "," 98","EXPERIENCES         ","107"
"10","BODIES                  "," 92","VIOLENCE            "," 94"
"11","BODY IMAGE              "," 74","IDENTITY            "," 91"
"12","RACE                    "," 72","POWER               "," 91"
"13","AGENCY                  "," 66","BODY-IMAGE          "," 84"
"14","FEMINIST                "," 63","GEOGRAPHIES         "," 84"
"15","IDENTITY                "," 61","WORK                "," 82"
"16","MASCULINITY             "," 58","CARE                "," 79"
"17","NEOLIBERALISM           "," 53","FEMINISM            "," 78"
"18","FEMININITY              "," 51","SEX                 "," 78"
"19","DISABILITY              "," 50","ATTITUDES           "," 75"
"20","SUBJECTIVITY            "," 49","GIRLS               "," 72"
"21","CARE                    "," 46","LIFE                "," 66"
"22","PATRIARCHY              "," 46","CULTURE             "," 61"
"23","PHENOMENOLOGY           "," 46","SELF                "," 59"
"24","SOCIAL MEDIA            "," 45","MEN                 "," 58"
"25","PREGNANCY               "," 43","MEDIA               "," 56"
"26","VIOLENCE                "," 43","OBESITY             "," 56"
"27","RESISTANCE              "," 42","RISK                "," 55"
"28","MOTHERHOOD              "," 41","LABOR               "," 53"
"29","POSTFEMINISM            "," 41","SPACE               "," 53"
"30","QUEER                   "," 41","SPORT               "," 51"
"31","FEMINIST GEOGRAPHY      "," 39","GEOGRAPHY           "," 50"
"32","AUTOETHNOGRAPHY         "," 38","DISCOURSE           "," 47"
"33","ACTIVISM                "," 36","SEXUALITY           "," 47"
"34","HEALTH                  "," 36","EDUCATION           "," 46"
"35","THE BODY                "," 35","MASCULINITY         "," 45"
"36","ABORTION                "," 33","SCIENCE             "," 44"
"37","EMPOWERMENT             "," 33","PERCEPTIONS         "," 42"
"38","NEW MATERIALISM         "," 33","REFLECTIONS         "," 42"
"39","PERFORMATIVITY          "," 33","WAR                 "," 42"
"40","SPACE                   "," 33","AGE                 "," 41"
"41","MATERIALITY             "," 32","CONSTRUCTION        "," 41"
"42","MIGRATION               "," 32","SECURITY            "," 38"
"43","PERFORMANCE             "," 32","ETHICS              "," 37"
"44","ETHNOGRAPHY             "," 31","GEOPOLITICS         "," 37"
