"","Sources       ","Articles"
"1","FEMINIST MEDIA STUDIES                                                      ","120"
"2","GENDER PLACE AND CULTURE                                                    ","117"
"3","AUSTRALIAN FEMINIST STUDIES                                                 ","104"
"4","FEMINIST REVIEW                                                             "," 94"
"5","WOMENS STUDIES INTERNATIONAL FORUM                                          "," 73"
"6","JOURNAL OF GENDER STUDIES                                                   "," 63"
"7","HYPATIA-A JOURNAL OF FEMINIST PHILOSOPHY                                    "," 59"
"8","EUROPEAN JOURNAL OF WOMENS STUDIES                                          "," 58"
"9","FEMINISM & PSYCHOLOGY                                                       "," 58"
"10","FEMINIST THEORY                                                             "," 57"
"11","GENDER WORK AND ORGANIZATION                                                "," 53"
"12","INTERNATIONAL FEMINIST JOURNAL OF POLITICS                                  "," 46"
"13","SEX ROLES                                                                   "," 44"
"14","BODY & SOCIETY                                                              "," 38"
"15","SIGNS                                                                       "," 36"
"16","PSYCHOLOGY OF WOMEN QUARTERLY                                               "," 35"
"17","GENDER & SOCIETY                                                            "," 33"
"18","WOMEN & THERAPY                                                             "," 33"
"19","JOURNAL OF FEMINIST STUDIES IN RELIGION                                     "," 29"
"20","GENDER AND EDUCATION                                                        "," 26"
"21","POLITICAL GEOGRAPHY                                                         "," 25"
"22","SEXUALITIES                                                                 "," 24"
"23","FEMINIST THEOLOGY                                                           "," 22"
"24","QUALITATIVE INQUIRY                                                         "," 22"
"25","SOCIAL & CULTURAL GEOGRAPHY                                                 "," 22"
"26","SOCIOLOGY OF SPORT JOURNAL                                                  "," 22"
"27","SPORT EDUCATION AND SOCIETY                                                 "," 22"
"28","BODY IMAGE                                                                  "," 21"
"29","GEOFORUM                                                                    "," 21"
"30","INTERNATIONAL JOURNAL OF FEMINIST APPROACHES TO BIOETHICS                   "," 21"
"31","FAT STUDIES-AN INTERDISCIPLINARY JOURNAL OF BODY WEIGHT AND SOCIETY         "," 19"
"32","FEMINIST STUDIES                                                            "," 19"
"33","SOCIAL SCIENCE & MEDICINE                                                   "," 19"
"34","FEMINIST LEGAL STUDIES                                                      "," 17"
"35","AFFILIA-FEMINIST INQUIRY IN SOCIAL WORK                                     "," 16"
"36","EMOTION SPACE AND SOCIETY                                                   "," 16"
"37","AGENDA-EMPOWERING WOMEN FOR GENDER EQUITY                                   "," 15"
"38","AREA                                                                        "," 15"
"39","SOCIOLOGICAL REVIEW                                                         "," 15"
