"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","32090","21.408"
"2","UNITED KINGDOM ","15020","19.134"
"3","AUSTRALIA      "," 5396","13.323"
"4","CANADA         "," 5343","13.492"
"5","SWEDEN         "," 1777","17.252"
"6","NEW ZEALAND    "," 1367","16.671"
"7","NETHERLANDS    ","  659"," 9.985"
"8","IRELAND        ","  609","19.031"
"9","FINLAND        ","  527"," 8.639"
"10","ISRAEL         ","  469"," 9.019"
"11","GERMANY        ","  435"," 6.397"
"12","DENMARK        ","  401","10.025"
"13","SPAIN          ","  303"," 2.061"
"14","SINGAPORE      ","  295","24.583"
"15","NORWAY         ","  255"," 9.444"
"16","SOUTH AFRICA   ","  251"," 3.138"
"17","CHINA          ","  248"," 4.429"
"18","SWITZERLAND    ","  241"," 8.926"
"19","BELGIUM        ","  216"," 9.391"
"20","FRANCE         ","  198"," 4.714"
"21","INDIA          ","  166"," 2.515"
"22","ITALY          ","  130"," 2.826"
"23","BRAZIL         ","  121"," 1.360"
"24","KOREA          ","   91"," 4.333"
"25","MEXICO         ","   67"," 2.393"
"26","ECUADOR        ","   62","10.333"
"27","PORTUGAL       ","   61"," 4.067"
"28","ICELAND        ","   59","11.800"
"29","MALAYSIA       ","   52"," 8.667"
"30","CHILE          ","   51"," 1.378"
"31","TURKEY         ","   44"," 2.933"
"32","AUSTRIA        ","   42"," 2.333"
"33","COLOMBIA       ","   37"," 2.056"
"34","ARGENTINA      ","   31"," 0.689"
"35","CZECH REPUBLIC ","   25"," 2.778"
"36","HUNGARY        ","   23"," 4.600"
"37","NIGERIA        ","   21"," 3.500"
"38","JAPAN          ","   20"," 3.333"
"39","POLAND         ","   18"," 0.900"
"40","GREECE         ","   17"," 2.833"
"41","LEBANON        ","   17"," 8.500"
"42","JAMAICA        ","   15"," 5.000"
"43","URUGUAY        ","   13"," 3.250"
"44","PHILIPPINES    ","   10"," 2.500"
"45","ESTONIA        ","    6"," 1.000"
"46","ROMANIA        ","    6"," 0.545"
"47","SAUDI ARABIA   ","    6"," 1.500"
"48","U ARAB EMIRATES","    6"," 3.000"
"49","CYPRUS         ","    4"," 0.800"
"50","ETHIOPIA       ","    4"," 2.000"
"51","MALAWI         ","    4"," 4.000"
"52","MALTA          ","    4"," 4.000"
"53","PAKISTAN       ","    4"," 0.444"
"54","BANGLADESH     ","    3"," 1.000"
"55","CROATIA        ","    3"," 0.750"
"56","IRAN           ","    3"," 1.000"
"57","LIBERIA        ","    3"," 3.000"
"58","SERBIA         ","    3"," 0.600"
"59","EGYPT          ","    2"," 1.000"
"60","SLOVAKIA       ","    2"," 0.667"
"61","SLOVENIA       ","    2"," 0.400"
"62","UGANDA         ","    2"," 2.000"
"63","VIETNAM        ","    2"," 2.000"
"64","COSTA RICA     ","    1"," 0.500"
"65","INDONESIA      ","    1"," 0.143"
"66","MONTENEGRO     ","    1"," 1.000"
"67","ALBANIA        ","    0"," 0.000"
"68","ALGERIA        ","    0"," 0.000"
"69","ARMENIA        ","    0"," 0.000"
"70","BELARUS        ","    0"," 0.000"
"71","BOSNIA         ","    0"," 0.000"
"72","CUBA           ","    0"," 0.000"
"73","GHANA          ","    0"," 0.000"
"74","KAZAKHSTAN     ","    0"," 0.000"
"75","KUWAIT         ","    0"," 0.000"
"76","PARAGUAY       ","    0"," 0.000"
"77","PERU           ","    0"," 0.000"
"78","RUSSIA         ","    0"," 0.000"
"79","SENEGAL        ","    0"," 0.000"
"80","SRI LANKA      ","    0"," 0.000"
"81","SUDAN          ","    0"," 0.000"
"82","THAILAND       ","    0"," 0.000"
"83","UKRAINE        ","    0"," 0.000"
"84","ZAMBIA         ","    0"," 0.000"
