"Year","Articles","MeanTCperArt","MeanTCperYear"
1979,1,0,0
1980,0,0,0
1981,0,0,0
1982,1,132,3.14285714285714
1983,1,0,0
1984,0,0,0
1985,2,17,0.435897435897436
1986,3,2,0.0526315789473684
1987,2,1.5,0.0405405405405405
1988,2,7,0.194444444444444
1989,2,7.5,0.214285714285714
1990,4,940.25,27.6544117647059
1991,6,6.5,0.196969696969697
1992,20,10.85,0.3390625
1993,12,11.9166666666667,0.384408602150538
1994,26,43.4615384615385,1.44871794871795
1995,30,19.0666666666667,0.657471264367816
1996,48,37.0416666666667,1.32291666666667
1997,56,17.3035714285714,0.640873015873016
1998,40,31.75,1.22115384615385
1999,34,24.6470588235294,0.985882352941177
2000,45,32.4222222222222,1.35092592592593
2001,49,39.3061224489796,1.70896184560781
2002,49,31.1632653061225,1.4165120593692
2003,60,33.0333333333333,1.57301587301587
2004,48,53.3333333333333,2.66666666666667
2005,65,43.4769230769231,2.28825910931174
2006,60,28.3666666666667,1.57592592592593
2007,79,36.3544303797468,2.13849590469099
2008,91,28,1.75
2009,100,24.76,1.65066666666667
2010,124,18.9193548387097,1.35138248847926
2011,108,38.7222222222222,2.97863247863248
2012,130,22.2307692307692,1.8525641025641
2013,136,26.2941176470588,2.3903743315508
2014,130,18.3538461538462,1.83538461538462
2015,187,18.8930481283422,2.09922756981581
2016,213,15.018779342723,1.87734741784038
2017,221,11.1085972850679,1.58694246929541
2018,276,11.9166666666667,1.98611111111111
2019,452,7.40929203539823,1.48185840707965
2020,444,5.0045045045045,1.25112612612613
2021,492,3.51422764227642,1.17140921409214
2022,514,2.02334630350195,1.01167315175097
2023,565,0.782300884955752,0.782300884955752
