"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",14,"SINGAPORE      ",295,24.583,12,11,1,0.0833
"2",1,"USA            ",32090,21.408,1499,1432,67,0.0447
"3",2,"UNITED KINGDOM ",15020,19.134,785,698,87,0.1108
"4",8,"IRELAND        ",609,19.031,32,30,2,0.0625
"5",5,"SWEDEN         ",1777,17.252,103,93,10,0.0971
"6",6,"NEW ZEALAND    ",1367,16.671,82,62,20,0.2439
"7",4,"CANADA         ",5343,13.492,396,364,32,0.0808
"8",3,"AUSTRALIA      ",5396,13.323,405,349,56,0.1383
"9",28,"ICELAND        ",59,11.8,5,5,0,0
"10",26,"ECUADOR        ",62,10.333,6,2,4,0.6667
"11",12,"DENMARK        ",401,10.025,40,30,10,0.25
"12",7,"NETHERLANDS    ",659,9.985,66,53,13,0.197
"13",15,"NORWAY         ",255,9.444,27,23,4,0.1481
"14",19,"BELGIUM        ",216,9.391,23,17,6,0.2609
"15",10,"ISRAEL         ",469,9.019,52,49,3,0.0577
"16",18,"SWITZERLAND    ",241,8.926,27,21,6,0.2222
"17",29,"MALAYSIA       ",52,8.667,6,5,1,0.1667
"18",9,"FINLAND        ",527,8.639,61,52,9,0.1475
"19",41,"LEBANON        ",17,8.5,2,1,1,0.5
"20",11,"GERMANY        ",435,6.397,68,61,7,0.1029
"21",42,"JAMAICA        ",15,5,3,1,2,0.6667
"22",20,"FRANCE         ",198,4.714,42,37,5,0.119
"23",36,"HUNGARY        ",23,4.6,5,5,0,0
"24",17,"CHINA          ",248,4.429,56,55,1,0.0179
"25",24,"KOREA          ",91,4.333,21,19,2,0.0952
"26",27,"PORTUGAL       ",61,4.067,15,13,2,0.1333
"27",51,"MALAWI         ",4,4,1,0,1,1
"28",52,"MALTA          ",4,4,1,1,0,0
"29",37,"NIGERIA        ",21,3.5,6,6,0,0
"30",38,"JAPAN          ",20,3.333,6,4,2,0.3333
"31",43,"URUGUAY        ",13,3.25,4,3,1,0.25
"32",16,"SOUTH AFRICA   ",251,3.138,80,71,9,0.1125
"33",48,"U ARAB EMIRATES",6,3,2,1,1,0.5
"34",57,"LIBERIA        ",3,3,1,0,1,1
"35",31,"TURKEY         ",44,2.933,15,14,1,0.0667
"36",40,"GREECE         ",17,2.833,6,6,0,0
"37",22,"ITALY          ",130,2.826,46,41,5,0.1087
"38",35,"CZECH REPUBLIC ",25,2.778,9,9,0,0
"39",21,"INDIA          ",166,2.515,66,66,0,0
"40",44,"PHILIPPINES    ",10,2.5,4,4,0,0
"41",25,"MEXICO         ",67,2.393,28,20,8,0.2857
"42",32,"AUSTRIA        ",42,2.333,18,12,6,0.3333
"43",13,"SPAIN          ",303,2.061,147,136,11,0.0748
"44",33,"COLOMBIA       ",37,2.056,18,15,3,0.1667
"45",50,"ETHIOPIA       ",4,2,2,2,0,0
"46",62,"UGANDA         ",2,2,1,1,0,0
"47",63,"VIETNAM        ",2,2,1,1,0,0
"48",47,"SAUDI ARABIA   ",6,1.5,4,4,0,0
"49",30,"CHILE          ",51,1.378,37,31,6,0.1622
"50",23,"BRAZIL         ",121,1.36,89,84,5,0.0562
"51",45,"ESTONIA        ",6,1,6,6,0,0
"52",54,"BANGLADESH     ",3,1,3,2,1,0.3333
"53",56,"IRAN           ",3,1,3,3,0,0
"54",59,"EGYPT          ",2,1,2,1,1,0.5
"55",66,"MONTENEGRO     ",1,1,1,0,1,1
"56",39,"POLAND         ",18,0.9,20,20,0,0
"57",49,"CYPRUS         ",4,0.8,5,3,2,0.4
"58",55,"CROATIA        ",3,0.75,4,4,0,0
"59",34,"ARGENTINA      ",31,0.689,45,43,2,0.0444
"60",60,"SLOVAKIA       ",2,0.667,3,3,0,0
"61",58,"SERBIA         ",3,0.6,5,5,0,0
"62",46,"ROMANIA        ",6,0.545,11,11,0,0
"63",64,"COSTA RICA     ",1,0.5,2,2,0,0
"64",53,"PAKISTAN       ",4,0.444,9,8,1,0.1111
"65",61,"SLOVENIA       ",2,0.4,5,5,0,0
"66",65,"INDONESIA      ",1,0.143,7,7,0,0
"67",67,"ALBANIA        ",0,0,1,1,0,0
"68",68,"ALGERIA        ",0,0,1,1,0,0
"69",69,"ARMENIA        ",0,0,1,1,0,0
"70",70,"BELARUS        ",0,0,1,1,0,0
"71",71,"BOSNIA         ",0,0,2,0,2,1
"72",72,"CUBA           ",0,0,1,1,0,0
"73",73,"GHANA          ",0,0,2,2,0,0
"74",74,"KAZAKHSTAN     ",0,0,1,1,0,0
"75",75,"KUWAIT         ",0,0,2,2,0,0
"76",76,"PARAGUAY       ",0,0,1,1,0,0
"77",77,"PERU           ",0,0,2,2,0,0
"78",78,"RUSSIA         ",0,0,6,6,0,0
"79",79,"SENEGAL        ",0,0,1,1,0,0
"80",80,"SRI LANKA      ",0,0,1,1,0,0
"81",81,"SUDAN          ",0,0,1,0,1,1
"82",82,"THAILAND       ",0,0,2,2,0,0
"83",83,"UKRAINE        ",0,0,3,3,0,0
"84",84,"ZAMBIA         ",0,0,1,1,0,0
