"","Year   ","Articles"
"1","1978",1
"2","1990",1
"3","1991",2
"4","1992",5
"5","1993",2
"6","1994",6
"7","1995",4
"8","1996",3
"9","1997",6
"10","1998",7
"11","1999",9
"12","2000",10
"13","2001",7
"14","2002",6
"15","2003",5
"16","2004",15
"17","2005",12
"18","2006",15
"19","2007",12
"20","2008",20
"21","2009",37
"22","2010",27
"23","2011",22
"24","2012",43
"25","2013",54
"26","2014",63
"27","2015",58
"28","2016",71
"29","2017",100
"30","2018",94
"31","2019",96
"32","2020",106
"33","2021",143
"34","2022",77
"35","2023",42
