"","Paper         ","DOI","TC","TCperYear","NTC"
"1","BARR DJ, 2013, J MEM LANG                  ","10.1016/j.jml.2012.11.001             ","6235","519.58","38.651"
"2","ABBAFATI C, 2020, LANCET                   ","NA                                    ","2814","562.80","52.515"
"3","TORRALBA A, 2006, PSYCHOL REV              ","10.1037/0033-295X.113.4.766           ","1167"," 61.42"," 6.927"
"4","HENDERSON JM, 2003, TRENDS COGN SCI        ","10.1016/j.tics.2003.09.006            "," 939"," 42.68"," 2.973"
"5","LUNA B, 2004, CHILD DEV                    ","10.1111/j.1467-8624.2004.00745.x      "," 856"," 40.76"," 4.763"
"6","SAFFRAN JR, 1999, COGNITION                ","10.1016/S0010-0277(98)00075-4         "," 831"," 31.96"," 3.959"
"7","JUST MA, 1996, SCIENCE                     ","10.1126/science.274.5284.114          "," 817"," 28.17"," 2.843"
"8","MCRAE K, 2005, BEHAV RES METHODS           ","10.3758/BF03192726                    "," 629"," 31.45"," 5.731"
"9","JACQUEMONT S, 2003, AM J HUM GENET         ","10.1086/374321                        "," 566"," 25.73"," 1.792"
"10","WANG HD, 2020, LANCET                      ","NA                                    "," 550","110.00","10.264"
"11","LUNA B, 2001, NEUROIMAGE                   ","10.1006/nimg.2000.0743                "," 518"," 21.58"," 4.266"
"12","CHRISTOFF K, 2000, PSYCHOBIOLOGY           ","NA                                    "," 514"," 20.56"," 5.433"
"13","JACQUEMONT S, 2004, JAMA-J AM MED ASSOC    ","10.1001/jama.291.4.460                "," 477"," 22.71"," 2.654"
"14","MÜLLER VI, 2018, NEUROSCI BIOBEHAV R       ","10.1016/j.neubiorev.2017.11.012       "," 444"," 63.43","13.368"
"15","BOTVINIK-NEZER R, 2020, NATURE             ","10.1038/s41586-020-2314-9             "," 431"," 86.20"," 8.043"
"16","MARCUS GF, 1992, MONOGR SOC RES CHILD      ","NA                                    "," 428"," 12.97"," 3.452"
"17","THOMPSON-SCHILL SL, 1999, NEURON           ","10.1016/S0896-6273(00)80804-1         "," 403"," 15.50"," 1.920"
