"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","TSCHANZ JT        ","17","ASLIN RN          ","2.917"
"2","NORTON MC         ","16","WOODS SP          ","2.223"
"3","CORCORAN C        ","15","BRADY TF          ","2.083"
"4","WOODS SP          ","15","NORTON MC         ","2.055"
"5","KNOPMAN DS        ","14","TSCHANZ JT        ","1.938"
"6","PETERSEN RC       ","14","BRAINERD CJ       ","1.917"
"7","BENNETT DA        ","13","HAHN U            ","1.833"
"8","MIELKE MM         ","13","THOMPSON-SCHILL SL","1.733"
"9","BOIVIN MJ         ","12","CORCORAN C        ","1.693"
"10","WELSH-BOHMER KA   ","12","GRILL JD          ","1.662"
"11","GRANT I           ","10","BOIVIN MJ         ","1.606"
"12","KRYSCIO RJ        "," 9","GILLEN DL         ","1.537"
"13","BREITNER JCS      "," 8","AHISSAR M         ","1.533"
"14","GRILL JD          "," 8","GREENE MR         ","1.500"
"15","IUDICELLO JE      "," 8","GÓMEZ RL          ","1.500"
"16","LEWIS DA          "," 8","TOWNSEND JT       ","1.500"
"17","LYKETSOS CG       "," 8","HENDERSON JM      ","1.450"
"18","MACHULDA MM       "," 8","LEWIS DA          ","1.386"
"19","NAKASUJJA N       "," 8","KNOPMAN DS        ","1.344"
"20","RIEDEL-HELLER SG  "," 8","GRANT I           ","1.343"
"21","SCHMITT FA        "," 8","LU HJ             ","1.333"
"22","SIKORSKII A       "," 8","SIMS CR           ","1.333"
"23","VILLRINGER A      "," 8","WHITNEY D         ","1.333"
"24","ASLIN RN          "," 7","WELSH-BOHMER KA   ","1.254"
"25","GILLEN DL         "," 7","CHONG SC          ","1.250"
"26","GROSSMAN M        "," 7","ENDRESS AD        ","1.250"
"27","JOHNSON SC        "," 7","MIELKE MM         ","1.239"
"28","MORGAN EE         "," 7","PETERSEN RC       ","1.231"
"29","RUBIN LH          "," 7","KRYSCIO RJ        ","1.229"
"30","SACHDEV PS        "," 7","TENENBAUM JB      ","1.200"
"31","SCHROETER ML      "," 7","CHEN G            ","1.144"
"32","WEBER E           "," 7","LANGE N           ","1.143"
"33","ABNER EL          "," 6","SIKORSKII A       ","1.116"
"34","CIRINO PT         "," 6","BENNETT DA        ","1.091"
"35","GIORDANI B        "," 6","GRIFFITHS TL      ","1.083"
"36","JACK CR           "," 6","OLIVA A           ","1.083"
"37","KREMERS WK        "," 6","SCHEINOST D       ","1.083"
