"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","703","0.599829","559","144","0.205"
"2","UNITED KINGDOM "," 71","0.060580"," 30"," 41","0.577"
"3","GERMANY        "," 61","0.052048"," 32"," 29","0.475"
"4","CHINA          "," 46","0.039249"," 24"," 22","0.478"
"5","CANADA         "," 41","0.034983"," 19"," 22","0.537"
"6","NETHERLANDS    "," 33","0.028157"," 21"," 12","0.364"
"7","AUSTRALIA      "," 24","0.020478"," 10"," 14","0.583"
"8","ITALY          "," 24","0.020478"," 13"," 11","0.458"
"9","FRANCE         "," 16","0.013652","  6"," 10","0.625"
"10","SPAIN          "," 15","0.012799","  5"," 10","0.667"
"11","JAPAN          "," 12","0.010239"," 10","  2","0.167"
"12","SWEDEN         "," 11","0.009386","  3","  8","0.727"
"13","BELGIUM        "," 10","0.008532","  6","  4","0.400"
"14","KOREA          "," 10","0.008532","  7","  3","0.300"
"15","AUSTRIA        ","  9","0.007679","  5","  4","0.444"
"16","ISRAEL         ","  9","0.007679","  5","  4","0.444"
"17","SWITZERLAND    ","  6","0.005119","  1","  5","0.833"
"18","INDIA          ","  5","0.004266","  4","  1","0.200"
"19","HUNGARY        ","  4","0.003413","  2","  2","0.500"
"20","IRAN           ","  4","0.003413","  3","  1","0.250"
"21","IRELAND        ","  4","0.003413","  2","  2","0.500"
"22","PORTUGAL       ","  4","0.003413","  4","  0","0.000"
"23","SOUTH AFRICA   ","  4","0.003413","  0","  4","1.000"
"24","ARGENTINA      ","  3","0.002560","  1","  2","0.667"
"25","CROATIA        ","  3","0.002560","  3","  0","0.000"
"26","FINLAND        ","  3","0.002560","  3","  0","0.000"
"27","ICELAND        ","  3","0.002560","  0","  3","1.000"
"28","POLAND         ","  3","0.002560","  0","  3","1.000"
"29","BRAZIL         ","  2","0.001706","  0","  2","1.000"
"30","DENMARK        ","  2","0.001706","  1","  1","0.500"
"31","GREECE         ","  2","0.001706","  0","  2","1.000"
"32","NEW ZEALAND    ","  2","0.001706","  1","  1","0.500"
"33","NIGERIA        ","  2","0.001706","  0","  2","1.000"
"34","NORWAY         ","  2","0.001706","  2","  0","0.000"
"35","SINGAPORE      ","  2","0.001706","  0","  2","1.000"
"36","UGANDA         ","  2","0.001706","  0","  2","1.000"
"37","CHILE          ","  1","0.000853","  1","  0","0.000"
"38","CUBA           ","  1","0.000853","  1","  0","0.000"
"39","CZECH REPUBLIC ","  1","0.000853","  0","  1","1.000"
"40","ESTONIA        ","  1","0.000853","  1","  0","0.000"
"41","ETHIOPIA       ","  1","0.000853","  1","  0","0.000"
"42","KENYA          ","  1","0.000853","  0","  1","1.000"
"43","LITHUANIA      ","  1","0.000853","  0","  1","1.000"
"44","MALAYSIA       ","  1","0.000853","  1","  0","0.000"
"45","PERU           ","  1","0.000853","  0","  1","1.000"
"46","RUSSIA         ","  1","0.000853","  0","  1","1.000"
"47","SAUDI ARABIA   ","  1","0.000853","  1","  0","0.000"
"48","TUNISIA        ","  1","0.000853","  0","  1","1.000"
"49","TURKEY         ","  1","0.000853","  1","  0","0.000"
"50","U ARAB EMIRATES","  1","0.000853","  0","  1","1.000"
"51","URUGUAY        ","  1","0.000853","  0","  1","1.000"
