"","Sources       ","Articles"
"1","NEUROIMAGE                                                                     ","35"
"2","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE            ","25"
"3","FRONTIERS IN PSYCHOLOGY                                                        ","24"
"4","JOURNAL OF NEUROSCIENCE                                                        ","21"
"5","FRONTIERS IN HUMAN NEUROSCIENCE                                                ","20"
"6","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION               ","19"
"7","PLOS ONE                                                                       ","19"
"8","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY                                     ","18"
"9","JOURNAL OF ALZHEIMERS DISEASE                                                  ","16"
"10","SCIENTIFIC REPORTS                                                             ","16"
"11","HUMAN BRAIN MAPPING                                                            ","15"
"12","JOURNAL OF COGNITIVE NEUROSCIENCE                                              ","14"
"13","NEUROPSYCHOLOGIA                                                               ","14"
"14","JOURNAL OF MEMORY AND LANGUAGE                                                 ","13"
"15","ALZHEIMERS & DEMENTIA                                                          ","12"
"16","COGNITION                                                                      ","12"
"17","JOURNAL OF VISION                                                              ","12"
"18","JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES    ","12"
"19","NEUROPSYCHOLOGY                                                                ","12"
"20","AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY                                       ","11"
"21","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","11"
"22","PSYCHOLOGICAL REVIEW                                                           ","11"
"23","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL                                     ","10"
"24","PSYCHOLOGY AND AGING                                                           ","10"
"25","INTERNATIONAL PSYCHOGERIATRICS                                                 "," 9"
"26","JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES      "," 9"
"27","AMERICAN JOURNAL OF PSYCHIATRY                                                 "," 8"
"28","COGNITIVE SCIENCE                                                              "," 8"
"29","INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY                                  "," 8"
