"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","37977"," 54.02"
"2","UNITED KINGDOM "," 8800","123.94"
"3","GERMANY        "," 2670"," 43.77"
"4","CANADA         "," 1778"," 43.37"
"5","AUSTRALIA      ","  988"," 41.17"
"6","CHINA          ","  840"," 18.26"
"7","NETHERLANDS    ","  671"," 20.33"
"8","ITALY          ","  646"," 26.92"
"9","FRANCE         ","  610"," 38.12"
"10","SPAIN          ","  464"," 30.93"
"11","BELGIUM        ","  438"," 43.80"
"12","SWITZERLAND    ","  359"," 59.83"
"13","AUSTRIA        ","  341"," 37.89"
"14","SWEDEN         ","  304"," 27.64"
"15","JAPAN          ","  215"," 17.92"
"16","SINGAPORE      ","  214","107.00"
"17","KOREA          ","  167"," 16.70"
"18","IRELAND        ","  128"," 32.00"
"19","NORWAY         ","  128"," 64.00"
"20","FINLAND        ","  126"," 42.00"
"21","GREECE         ","  114"," 57.00"
"22","BRAZIL         ","  106"," 53.00"
"23","ISRAEL         ","   99"," 11.00"
"24","POLAND         ","   80"," 26.67"
"25","UGANDA         ","   62"," 31.00"
"26","ESTONIA        ","   51"," 51.00"
"27","INDIA          ","   51"," 10.20"
"28","IRAN           ","   48"," 12.00"
"29","DENMARK        ","   43"," 21.50"
"30","HUNGARY        ","   42"," 10.50"
"31","NEW ZEALAND    ","   42"," 21.00"
"32","ICELAND        ","   41"," 13.67"
"33","TURKEY         ","   41"," 41.00"
"34","ARGENTINA      ","   30"," 10.00"
"35","LITHUANIA      ","   26"," 26.00"
"36","SOUTH AFRICA   ","   25","  6.25"
"37","RUSSIA         ","   22"," 22.00"
"38","NIGERIA        ","   14","  7.00"
"39","CROATIA        ","   13","  4.33"
"40","PORTUGAL       ","   10","  2.50"
"41","PERU           ","    4","  4.00"
"42","SAUDI ARABIA   ","    4","  4.00"
"43","U ARAB EMIRATES","    4","  4.00"
"44","ETHIOPIA       ","    3","  3.00"
"45","CHILE          ","    1","  1.00"
"46","CUBA           ","    1","  1.00"
"47","MALAYSIA       ","    1","  1.00"
"48","TUNISIA        ","    1","  1.00"
"49","CZECH REPUBLIC ","    0","  0.00"
"50","KENYA          ","    0","  0.00"
"51","URUGUAY        ","    0","  0.00"
