"Year","Articles","MeanTCperArt","MeanTCperYear"
1978,1,22,0.478260869565217
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,1,12,0.352941176470588
1991,2,43.5,1.31818181818182
1992,5,124,3.875
1993,2,77.5,2.5
1994,6,28.3333333333333,0.944444444444445
1995,4,45.5,1.56896551724138
1996,3,287.333333333333,10.2619047619048
1997,6,23.5,0.87037037037037
1998,7,63,2.42307692307692
1999,9,209.888888888889,8.39555555555556
2000,10,94.6,3.94166666666667
2001,7,121.428571428571,5.27950310559006
2002,6,97.3333333333333,4.42424242424242
2003,5,315.8,15.0380952380952
2004,15,179.733333333333,8.98666666666667
2005,12,109.75,5.77631578947368
2006,15,168.466666666667,9.35925925925926
2007,12,50.0833333333333,2.94607843137255
2008,20,72.65,4.540625
2009,37,77.4054054054054,5.16036036036036
2010,27,79.7407407407407,5.6957671957672
2011,22,60.4545454545455,4.65034965034965
2012,43,49.6279069767442,4.13565891472868
2013,54,161.314814814815,14.6649831649832
2014,63,40.6031746031746,4.06031746031746
2015,58,34.8793103448276,3.87547892720307
2016,71,27.8732394366197,3.48415492957747
2017,100,47.2,6.74285714285714
2018,94,33.2127659574468,5.5354609929078
2019,96,26.4791666666667,5.29583333333333
2020,106,53.5849056603773,13.3962264150943
2021,143,12.3006993006993,4.1002331002331
2022,77,5.1038961038961,2.55194805194805
2023,42,1.47619047619048,1.47619047619048
