"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",2,"UNITED KINGDOM ",8800,123.94,71,30,41,0.577
"2",16,"SINGAPORE      ",214,107,2,0,2,1
"3",19,"NORWAY         ",128,64,2,2,0,0
"4",12,"SWITZERLAND    ",359,59.83,6,1,5,0.833
"5",21,"GREECE         ",114,57,2,0,2,1
"6",1,"USA            ",37977,54.02,703,559,144,0.205
"7",22,"BRAZIL         ",106,53,2,0,2,1
"8",26,"ESTONIA        ",51,51,1,1,0,0
"9",11,"BELGIUM        ",438,43.8,10,6,4,0.4
"10",3,"GERMANY        ",2670,43.77,61,32,29,0.475
"11",4,"CANADA         ",1778,43.37,41,19,22,0.537
"12",20,"FINLAND        ",126,42,3,3,0,0
"13",5,"AUSTRALIA      ",988,41.17,24,10,14,0.583
"14",33,"TURKEY         ",41,41,1,1,0,0
"15",9,"FRANCE         ",610,38.12,16,6,10,0.625
"16",13,"AUSTRIA        ",341,37.89,9,5,4,0.444
"17",18,"IRELAND        ",128,32,4,2,2,0.5
"18",25,"UGANDA         ",62,31,2,0,2,1
"19",10,"SPAIN          ",464,30.93,15,5,10,0.667
"20",14,"SWEDEN         ",304,27.64,11,3,8,0.727
"21",8,"ITALY          ",646,26.92,24,13,11,0.458
"22",24,"POLAND         ",80,26.67,3,0,3,1
"23",35,"LITHUANIA      ",26,26,1,0,1,1
"24",37,"RUSSIA         ",22,22,1,0,1,1
"25",29,"DENMARK        ",43,21.5,2,1,1,0.5
"26",31,"NEW ZEALAND    ",42,21,2,1,1,0.5
"27",7,"NETHERLANDS    ",671,20.33,33,21,12,0.364
"28",6,"CHINA          ",840,18.26,46,24,22,0.478
"29",15,"JAPAN          ",215,17.92,12,10,2,0.167
"30",17,"KOREA          ",167,16.7,10,7,3,0.3
"31",32,"ICELAND        ",41,13.67,3,0,3,1
"32",28,"IRAN           ",48,12,4,3,1,0.25
"33",23,"ISRAEL         ",99,11,9,5,4,0.444
"34",30,"HUNGARY        ",42,10.5,4,2,2,0.5
"35",27,"INDIA          ",51,10.2,5,4,1,0.2
"36",34,"ARGENTINA      ",30,10,3,1,2,0.667
"37",38,"NIGERIA        ",14,7,2,0,2,1
"38",36,"SOUTH AFRICA   ",25,6.25,4,0,4,1
"39",39,"CROATIA        ",13,4.33,3,3,0,0
"40",41,"PERU           ",4,4,1,0,1,1
"41",42,"SAUDI ARABIA   ",4,4,1,1,0,0
"42",43,"U ARAB EMIRATES",4,4,1,0,1,1
"43",44,"ETHIOPIA       ",3,3,1,1,0,0
"44",40,"PORTUGAL       ",10,2.5,4,4,0,0
"45",45,"CHILE          ",1,1,1,1,0,0
"46",46,"CUBA           ",1,1,1,1,0,0
"47",47,"MALAYSIA       ",1,1,1,1,0,0
"48",48,"TUNISIA        ",1,1,1,0,1,1
"49",49,"CZECH REPUBLIC ",0,0,1,0,1,1
"50",50,"KENYA          ",0,0,1,0,1,1
"51",51,"URUGUAY        ",0,0,1,0,1,1
