"","Paper         ","DOI","TC","TCperYear","NTC"
"1","CHEN HC, 2012, MIS QUART                     ","NA                              ","2692","207.08","5.2015"
"2","MCAFEE A, 2012, HARVARD BUS REV              ","NA                              ","2299","176.85","4.4421"
"3","DAVENPORT TH, 2012, MIT SLOAN MANAGE REV     ","NA                              "," 350"," 26.92","0.6763"
"4","WONG J, 2019, INT J HUM-COMPUT INT           ","10.1080/10447318.2018.1543084   "," 208"," 34.67","7.6979"
"5","GORDON NP, 2016, J MED INTERNET RES          ","10.2196/jmir.5105               "," 208"," 23.11","4.8941"
"6","FUCHS M, 2014, J DESTIN MARK MANAGE          ","10.1016/j.jdmm.2014.08.002      "," 178"," 16.18","4.0920"
"7","GHANI NA, 2019, COMPUT HUM BEHAV             ","10.1016/j.chb.2018.08.039       "," 170"," 28.33","6.2915"
"8","BURNAP P, 2016, EPJ DATA SCI                 ","10.1140/epjds/s13688-016-0072-6 "," 164"," 18.22","3.8588"
"9","MANESH MF, 2021, IEEE T ENG MANAGE           ","10.1109/TEM.2019.2963489        "," 158"," 39.50","9.5565"
"10","ZACHARIS NZ, 2015, INTERNET HIGH EDUC        ","10.1016/j.iheduc.2015.05.002    "," 155"," 15.50","4.3662"
"11","DE MAURO A, 2018, INFORM PROCESS MANAG       ","10.1016/j.ipm.2017.05.004       "," 149"," 21.29","6.2768"
"12","MUNIM ZH, 2020, MARIT POLICY MANAG           ","10.1080/03088839.2020.1788731   "," 125"," 25.00","6.7466"
"13","MUSEN MA, 2012, J AM MED INFORM ASSN         ","10.1136/amiajnl-2011-000523     "," 125","  9.62","0.2415"
"14","ALI L, 2012, COMPUT EDUC                     ","10.1016/j.compedu.2011.08.030   "," 124","  9.54","0.2396"
"15","MA J, 2015, INTERNET HIGH EDUC               ","10.1016/j.iheduc.2014.09.005    "," 124"," 12.40","3.4930"
"16","KUO MS, 2016, COMPUT HUM BEHAV               ","10.1016/j.chb.2015.08.025       "," 121"," 13.44","2.8471"
"17","BARBADO R, 2019, INFORM PROCESS MANAG        ","10.1016/j.ipm.2019.03.002       "," 120"," 20.00","4.4411"
"18","SHEN CW, 2020, COMPUT HUM BEHAV              ","10.1016/j.chb.2019.106177       "," 114"," 22.80","6.1529"
"19","LAU RYK, 2014, DECIS SUPPORT SYST            ","10.1016/j.dss.2014.05.005       "," 105","  9.55","2.4138"
"20","BASHIR MF, 2021, ENVIRON SCI POLLUT R        ","10.1007/s11356-020-12123-x      "," 104"," 26.00","6.2903"
"21","NAMOUN A, 2021, APPL SCI-BASEL               ","10.3390/app11010237             ","  95"," 23.75","5.7460"
