"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","GASEVIC D           ","4","XING WL             ","1.450"
"2","LI Y                ","4","ZHANG M             ","1.333"
"3","XIE HR              ","4","COHEN A             ","1.250"
"4","ARLITSCH K          ","3","HUBER J             ","1.250"
"5","CHEN HC             ","3","STUCKENSCHMIDT H    ","1.250"
"6","CHEN XL             ","3","GASEVIC D           ","1.033"
"7","EBNER M             ","3","ALI MF              ","1.000"
"8","FONSECA D           ","3","BANDERA C           ","1.000"
"9","GARCÍA-PEÑALVO FJ   ","3","BINICI K            ","1.000"
"10","HUBER J             ","3","BLANCHETT N         ","1.000"
"11","KIM Y               ","3","CALMA A             ","1.000"
"12","KLOOS CD            ","3","CHEN CM             ","1.000"
"13","LI J                ","3","CHEN HC             ","1.000"
"14","MOSTAFAVI A         ","3","COOK DA             ","1.000"
"15","SAMTANI S           ","3","DAOUDI I            ","1.000"
"16","STUCKENSCHMIDT H    ","3","DAVIES M            ","1.000"
"17","XING WL             ","3","DELGATY L           ","1.000"
"18","YANG Y              ","3","DOTY P              ","1.000"
"19","ZHANG C             ","3","ECONOMIDES AA       ","1.000"
"20","ZHANG Y             ","3","GAROUFALLOU E       ","1.000"
"21","AGGARWAL S          ","2","HERODOTOU C         ","1.000"
"22","AHMAD S             ","2","KOÇ M               ","1.000"
"23","ALARIO-HOYOS C      ","2","LI Z                ","1.000"
"24","AMO D               ","2","LIETZ H             ","1.000"
"25","BULL S              ","2","LODZIKOWSKI K       ","1.000"
"26","BURGOS D            ","2","LUPTON D            ","1.000"
"27","BURNAP P            ","2","MAIER U             ","1.000"
"28","CALMA A             ","2","MANOVICH L          ","1.000"
"29","CHAI YD             ","2","MCELROY BP          ","1.000"
"30","CHANG LLH           ","2","MOZAHEM NA          ","1.000"
"31","CHEN H              ","2","NEHELI NB           ","1.000"
"32","CHENG G             ","2","OLASCOAGA C         ","1.000"
"33","COHEN A             ","2","PERIFANOU M         ","1.000"
"34","CONDE MA            ","2","SERRANO-COBOS J     ","1.000"
"35","CRUTZEN R           ","2","SHEIKH A            ","1.000"
"36","DABIC M             ","2","SNICKARS P          ","1.000"
