"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA           ","112","0.24454","89","23","0.205"
"2","CHINA         "," 61","0.13319","42","19","0.311"
"3","SPAIN         "," 36","0.07860","28"," 8","0.222"
"4","UNITED KINGDOM"," 30","0.06550","16","14","0.467"
"5","AUSTRALIA     "," 27","0.05895","22"," 5","0.185"
"6","CANADA        "," 25","0.05459","12","13","0.520"
"7","GERMANY       "," 14","0.03057","12"," 2","0.143"
"8","INDIA         "," 12","0.02620"," 7"," 5","0.417"
"9","ITALY         "," 11","0.02402"," 8"," 3","0.273"
"10","NETHERLANDS   "," 11","0.02402"," 9"," 2","0.182"
"11","BRAZIL        ","  8","0.01747"," 7"," 1","0.125"
"12","GREECE        ","  8","0.01747"," 7"," 1","0.125"
"13","KOREA         ","  7","0.01528"," 3"," 4","0.571"
"14","SWEDEN        ","  6","0.01310"," 1"," 5","0.833"
"15","TURKEY        ","  6","0.01310"," 5"," 1","0.167"
"16","ROMANIA       ","  5","0.01092"," 3"," 2","0.400"
"17","SAUDI ARABIA  ","  5","0.01092"," 3"," 2","0.400"
"18","SINGAPORE     ","  5","0.01092"," 2"," 3","0.600"
"19","ISRAEL        ","  4","0.00873"," 3"," 1","0.250"
"20","NORWAY        ","  4","0.00873"," 1"," 3","0.750"
"21","POLAND        ","  4","0.00873"," 2"," 2","0.500"
"22","SLOVAKIA      ","  4","0.00873"," 1"," 3","0.750"
"23","AUSTRIA       ","  3","0.00655"," 2"," 1","0.333"
"24","COLOMBIA      ","  3","0.00655"," 0"," 3","1.000"
"25","ESTONIA       ","  3","0.00655"," 1"," 2","0.667"
"26","MALAYSIA      ","  3","0.00655"," 2"," 1","0.333"
"27","ALGERIA       ","  2","0.00437"," 1"," 1","0.500"
"28","CROATIA       ","  2","0.00437"," 0"," 2","1.000"
"29","DENMARK       ","  2","0.00437"," 0"," 2","1.000"
"30","FINLAND       ","  2","0.00437"," 0"," 2","1.000"
"31","IRAN          ","  2","0.00437"," 1"," 1","0.500"
"32","IRELAND       ","  2","0.00437"," 1"," 1","0.500"
"33","JAPAN         ","  2","0.00437"," 0"," 2","1.000"
"34","MEXICO        ","  2","0.00437"," 1"," 1","0.500"
"35","PAKISTAN      ","  2","0.00437"," 2"," 0","0.000"
"36","PORTUGAL      ","  2","0.00437"," 2"," 0","0.000"
"37","THAILAND      ","  2","0.00437"," 1"," 1","0.500"
"38","BELGIUM       ","  1","0.00218"," 0"," 1","1.000"
"39","CHILE         ","  1","0.00218"," 1"," 0","0.000"
"40","CZECH REPUBLIC","  1","0.00218"," 1"," 0","0.000"
"41","ECUADOR       ","  1","0.00218"," 0"," 1","1.000"
"42","EGYPT         ","  1","0.00218"," 1"," 0","0.000"
"43","FRANCE        ","  1","0.00218"," 0"," 1","1.000"
"44","GUATEMALA     ","  1","0.00218"," 0"," 1","1.000"
"45","JORDAN        ","  1","0.00218"," 0"," 1","1.000"
"46","NEW ZEALAND   ","  1","0.00218"," 1"," 0","0.000"
"47","PERU          ","  1","0.00218"," 0"," 1","1.000"
"48","QATAR         ","  1","0.00218"," 1"," 0","0.000"
"49","RUSSIA        ","  1","0.00218"," 1"," 0","0.000"
"50","SERBIA        ","  1","0.00218"," 1"," 0","0.000"
"51","SLOVENIA      ","  1","0.00218"," 1"," 0","0.000"
"52","SOUTH AFRICA  ","  1","0.00218"," 1"," 0","0.000"
"53","SRI LANKA     ","  1","0.00218"," 1"," 0","0.000"
"54","SWITZERLAND   ","  1","0.00218"," 1"," 0","0.000"
"55","TUNISIA       ","  1","0.00218"," 1"," 0","0.000"
"56","VENEZUELA     ","  1","0.00218"," 0"," 1","1.000"
