"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","MACHINE LEARNING             ","58","ANALYTICS              ","37"
"2","LEARNING ANALYTICS           ","54","WEB                    ","35"
"3","BIG DATA                     ","36","PERFORMANCE            ","33"
"4","SOCIAL MEDIA                 ","23","IMPACT                 ","30"
"5","BIBLIOMETRICS                ","18","SCIENCE                ","26"
"6","ARTIFICIAL INTELLIGENCE      ","14","MODEL                  ","25"
"7","WEB ANALYTICS                ","14","STUDENTS               ","25"
"8","DATA MINING                  ","13","BIG DATA               ","24"
"9","DEEP LEARNING                ","13","FRAMEWORK              ","23"
"10","SYSTEMATIC REVIEW            ","13","MANAGEMENT             ","22"
"11","COVID-19                     ","12","ONLINE                 ","21"
"12","EDUCATION                    ","12","INTERNET               ","20"
"13","ONLINE LEARNING              ","10","PATTERNS               ","20"
"14","BIG DATA ANALYTICS           "," 9","INFORMATION            ","19"
"15","DATA ANALYTICS               "," 9","EDUCATION              ","18"
"16","EDUCATIONAL DATA MINING      "," 9","KNOWLEDGE              ","18"
"17","INTERNET                     "," 9","TECHNOLOGY             ","18"
"18","VISUAL ANALYTICS             "," 9","PREDICTION             ","15"
"19","BIBLIOMETRIC ANALYSIS        "," 8","SYSTEMS                ","15"
"20","DATA SCIENCE                 "," 8","TRENDS                 ","14"
"21","E-LEARNING                   "," 8","DESIGN                 ","13"
"22","HIGHER EDUCATION             "," 8","IMPLEMENTATION         ","13"
"23","INTERNET OF THINGS           "," 8","MEDIA                  ","13"
"24","MOOC                         "," 8","RISK                   ","13"
"25","SOCIAL NETWORK ANALYSIS      "," 8","CHALLENGES             ","12"
"26","TEXT MINING                  "," 8","CLASSIFICATION         ","12"
"27","PUBLIC HEALTH                "," 7","LEARNING ANALYTICS     ","12"
"28","SEMANTIC WEB                 "," 7","SOCIAL MEDIA           ","12"
"29","TOOLS                        "," 7","ACHIEVEMENT            ","11"
"30","ANALYTICS                    "," 6","PARTICIPATION          ","11"
"31","EDUCATIONAL TECHNOLOGY       "," 6","WEB ANALYTICS          ","11"
"32","LEARNING                     "," 6","BEHAVIOR               ","10"
"33","LEARNING MANAGEMENT SYSTEMS  "," 6","CARE                   ","10"
"34","LITERATURE REVIEW            "," 6","ENGAGEMENT             ","10"
"35","SENTIMENT ANALYSIS           "," 6","INNOVATION             ","10"
"36","SOCIAL MEDIA ANALYTICS       "," 6","MODELS                 ","10"
"37","TOPIC MODELING               "," 6","QUALITY                ","10"
"38","TWITTER                      "," 6","SYSTEM                 ","10"
"39","MOBILE PHONE                 "," 5","TOOL                   ","10"
"40","NETWORK ANALYSIS             "," 5","INTERVENTION           "," 9"
"41","ONTOLOGY                     "," 5","NETWORKS               "," 9"
"42","PARENTS                      "," 5","SUPPORT                "," 9"
"43","PREDICTIVE ANALYTICS         "," 5","FACEBOOK               "," 8"
"44","VISUALIZATION                "," 5","SENTIMENT ANALYSIS     "," 8"
"45","WEB OF SCIENCE               "," 5","TEXT                   "," 8"
"46","AUDIENCE                     "," 4","EVOLUTION              "," 7"
"47","CITATION ANALYSIS            "," 4","HEALTH                 "," 7"
"48","CLOUD COMPUTING              "," 4","HIGHER-EDUCATION       "," 7"
"49","DATA ANALYSIS                "," 4","PEOPLE                 "," 7"
"50","DIGITAL HEALTH               "," 4","PERCEPTIONS            "," 7"
"51","GAMIFICATION                 "," 4","TEACHERS               "," 7"
"52","GOOGLE ANALYTICS             "," 4","VISUALIZATION          "," 7"
"53","JOURNALISM                   "," 4","WEB 2 0                "," 7"
"54","SURVEILLANCE                 "," 4","ADOLESCENTS            "," 6"
"55","SYSTEMATIC LITERATURE REVIEW "," 4","ATTITUDES              "," 6"
"56","224                          "," 3","BIG DATA ANALYTICS     "," 6"
"57","900                          "," 3","COMMUNICATION          "," 6"
"58","ALGORITHMS                   "," 3","IDENTIFICATION         "," 6"
"59","ASSESSMENT                   "," 3","METHODOLOGY            "," 6"
"60","BIBLIOMETRIC                 "," 3","NETWORK                "," 6"
"61","BUSINESS INTELLIGENCE        "," 3","SKILLS                 "," 6"
"62","COLLABORATION                "," 3","STRATEGIES             "," 6"
