"","Sources       ","Articles"
"1","SUSTAINABILITY                                                          ","16"
"2","COMPUTERS IN HUMAN BEHAVIOR                                             ","12"
"3","SCIENTOMETRICS                                                          ","12"
"4","IEEE ACCESS                                                             ","11"
"5","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH       "," 9"
"6","JOURNAL OF MEDICAL INTERNET RESEARCH                                    "," 9"
"7","EDUCATION AND INFORMATION TECHNOLOGIES                                  "," 8"
"8","JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION                 "," 7"
"9","APPLIED SCIENCES-BASEL                                                  "," 6"
"10","ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE             "," 6"
"11","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT                   "," 6"
"12","PATIENT EDUCATION AND COUNSELING                                        "," 6"
"13","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY                          "," 5"
"14","DECISION SUPPORT SYSTEMS                                                "," 5"
"15","EDUCATIONAL TECHNOLOGY & SOCIETY                                        "," 5"
"16","IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES                              "," 5"
"17","INFORMATION PROCESSING & MANAGEMENT                                     "," 5"
"18","UNIVERSAL ACCESS IN THE INFORMATION SOCIETY                             "," 5"
"19","BMC MEDICAL EDUCATION                                                   "," 4"
"20","COMPUTERS & EDUCATION                                                   "," 4"
"21","DIGITAL JOURNALISM                                                      "," 4"
"22","FRONTIERS IN PSYCHOLOGY                                                 "," 4"
"23","INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING       "," 4"
"24","ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION                          "," 4"
"25","JMIR PUBLIC HEALTH AND SURVEILLANCE                                     "," 4"
"26","MIS QUARTERLY                                                           "," 4"
"27","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY                               "," 3"
"28","DIGITAL HEALTH                                                          "," 3"
"29","FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE"," 3"
"30","IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT                             "," 3"
"31","INTERACTIVE LEARNING ENVIRONMENTS                                       "," 3"
"32","INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT                         "," 3"
"33","JOURNAL OF COMPUTER ASSISTED LEARNING                                   "," 3"
"34","JOURNAL OF UNIVERSAL COMPUTER SCIENCE                                   "," 3"
"35","ONLINE INFORMATION REVIEW                                               "," 3"
"36","PLOS ONE                                                                "," 3"
"37","SENSORS                                                                 "," 3"
"38","ACADEMIC MEDICINE                                                       "," 2"
"39","ACM TRANSACTIONS ON THE WEB                                             "," 2"
"40","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION                            "," 2"
"41","APPLIED CLINICAL INFORMATICS                                            "," 2"
"42","BEHAVIOUR & INFORMATION TECHNOLOGY                                      "," 2"
