"","Country     ","Total Citations","Average Article Citations"
"1","USA           ","7117","63.5"
"2","CHINA         ","1245","20.4"
"3","UNITED KINGDOM"," 737","24.6"
"4","CANADA        "," 631","25.2"
"5","SPAIN         "," 536","14.9"
"6","NETHERLANDS   "," 389","35.4"
"7","INDIA         "," 352","29.3"
"8","ITALY         "," 346","31.5"
"9","AUSTRALIA     "," 303","11.2"
"10","SWEDEN        "," 271","45.2"
"11","GERMANY       "," 270","19.3"
"12","NORWAY        "," 216","54.0"
"13","GREECE        "," 213","26.6"
"14","CROATIA       "," 197","98.5"
"15","MALAYSIA      "," 172","57.3"
"16","SAUDI ARABIA  "," 148","29.6"
"17","BRAZIL        "," 132","16.5"
"18","ROMANIA       ","  98","19.6"
"19","KOREA         ","  95","13.6"
"20","AUSTRIA       ","  87","29.0"
"21","ISRAEL        ","  82","20.5"
"22","POLAND        ","  73","18.2"
"23","TURKEY        ","  63","10.5"
"24","SLOVAKIA      ","  55","13.8"
"25","IRELAND       ","  50","25.0"
"26","SINGAPORE     ","  48"," 9.6"
"27","DENMARK       ","  39","19.5"
"28","ESTONIA       ","  35","11.7"
"29","CHILE         ","  34","34.0"
"30","COLOMBIA      ","  34","11.3"
"31","PORTUGAL      ","  24","12.0"
"32","VENEZUELA     ","  23","23.0"
"33","JAPAN         ","  21","10.5"
"34","SWITZERLAND   ","  21","21.0"
"35","FINLAND       ","  18"," 9.0"
"36","MEXICO        ","  18"," 9.0"
"37","RUSSIA        ","  10","10.0"
"38","CZECH REPUBLIC","   9"," 9.0"
"39","BELGIUM       ","   8"," 8.0"
"40","JORDAN        ","   8"," 8.0"
"41","TUNISIA       ","   8"," 8.0"
"42","THAILAND      ","   7"," 3.5"
"43","PAKISTAN      ","   5"," 2.5"
"44","QATAR         ","   5"," 5.0"
"45","ALGERIA       ","   4"," 2.0"
"46","FRANCE        ","   4"," 4.0"
"47","GUATEMALA     ","   4"," 4.0"
"48","IRAN          ","   4"," 2.0"
"49","ECUADOR       ","   3"," 3.0"
"50","EGYPT         ","   3"," 3.0"
"51","PERU          ","   3"," 3.0"
"52","SERBIA        ","   3"," 3.0"
"53","SOUTH AFRICA  ","   2"," 2.0"
"54","NEW ZEALAND   ","   0"," 0.0"
"55","SLOVENIA      ","   0"," 0.0"
"56","SRI LANKA     ","   0"," 0.0"
