"Year","Articles","MeanTCperArt","MeanTCperYear"
2005,1,88,4.63157894736842
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,1,1,0.0666666666666667
2010,1,6,0.428571428571429
2011,5,23.4,1.8
2012,11,517.545454545455,43.1287878787879
2013,5,21.4,1.94545454545455
2014,10,43.5,4.35
2015,16,35.5,3.94444444444444
2016,20,42.5,5.3125
2017,28,25.2142857142857,3.60204081632653
2018,42,23.7380952380952,3.95634920634921
2019,49,27.0204081632653,5.40408163265306
2020,72,18.5277777777778,4.63194444444444
2021,90,16.5333333333333,5.51111111111111
2022,59,8.15254237288136,4.07627118644068
2023,50,2.32,2.32
