"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",14,"CROATIA       ",197,98.5,2,0,2,1
"2",1,"USA           ",7117,63.5,112,89,23,0.205
"3",15,"MALAYSIA      ",172,57.3,3,2,1,0.333
"4",12,"NORWAY        ",216,54,4,1,3,0.75
"5",10,"SWEDEN        ",271,45.2,6,1,5,0.833
"6",6,"NETHERLANDS   ",389,35.4,11,9,2,0.182
"7",29,"CHILE         ",34,34,1,1,0,0
"8",8,"ITALY         ",346,31.5,11,8,3,0.273
"9",16,"SAUDI ARABIA  ",148,29.6,5,3,2,0.4
"10",7,"INDIA         ",352,29.3,12,7,5,0.417
"11",20,"AUSTRIA       ",87,29,3,2,1,0.333
"12",13,"GREECE        ",213,26.6,8,7,1,0.125
"13",4,"CANADA        ",631,25.2,25,12,13,0.52
"14",25,"IRELAND       ",50,25,2,1,1,0.5
"15",3,"UNITED KINGDOM",737,24.6,30,16,14,0.467
"16",32,"VENEZUELA     ",23,23,1,0,1,1
"17",34,"SWITZERLAND   ",21,21,1,1,0,0
"18",21,"ISRAEL        ",82,20.5,4,3,1,0.25
"19",2,"CHINA         ",1245,20.4,61,42,19,0.311
"20",18,"ROMANIA       ",98,19.6,5,3,2,0.4
"21",27,"DENMARK       ",39,19.5,2,0,2,1
"22",11,"GERMANY       ",270,19.3,14,12,2,0.143
"23",22,"POLAND        ",73,18.2,4,2,2,0.5
"24",17,"BRAZIL        ",132,16.5,8,7,1,0.125
"25",5,"SPAIN         ",536,14.9,36,28,8,0.222
"26",24,"SLOVAKIA      ",55,13.8,4,1,3,0.75
"27",19,"KOREA         ",95,13.6,7,3,4,0.571
"28",31,"PORTUGAL      ",24,12,2,2,0,0
"29",28,"ESTONIA       ",35,11.7,3,1,2,0.667
"30",30,"COLOMBIA      ",34,11.3,3,0,3,1
"31",9,"AUSTRALIA     ",303,11.2,27,22,5,0.185
"32",23,"TURKEY        ",63,10.5,6,5,1,0.167
"33",33,"JAPAN         ",21,10.5,2,0,2,1
"34",37,"RUSSIA        ",10,10,1,1,0,0
"35",26,"SINGAPORE     ",48,9.6,5,2,3,0.6
"36",35,"FINLAND       ",18,9,2,0,2,1
"37",36,"MEXICO        ",18,9,2,1,1,0.5
"38",38,"CZECH REPUBLIC",9,9,1,1,0,0
"39",39,"BELGIUM       ",8,8,1,0,1,1
"40",40,"JORDAN        ",8,8,1,0,1,1
"41",41,"TUNISIA       ",8,8,1,1,0,0
"42",44,"QATAR         ",5,5,1,1,0,0
"43",46,"FRANCE        ",4,4,1,0,1,1
"44",47,"GUATEMALA     ",4,4,1,0,1,1
"45",42,"THAILAND      ",7,3.5,2,1,1,0.5
"46",49,"ECUADOR       ",3,3,1,0,1,1
"47",50,"EGYPT         ",3,3,1,1,0,0
"48",51,"PERU          ",3,3,1,0,1,1
"49",52,"SERBIA        ",3,3,1,1,0,0
"50",43,"PAKISTAN      ",5,2.5,2,2,0,0
"51",45,"ALGERIA       ",4,2,2,1,1,0.5
"52",48,"IRAN          ",4,2,2,1,1,0.5
"53",53,"SOUTH AFRICA  ",2,2,1,1,0,0
"54",54,"NEW ZEALAND   ",0,0,1,1,0,0
"55",55,"SLOVENIA      ",0,0,1,1,0,0
"56",56,"SRI LANKA     ",0,0,1,1,0,0
