"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","2002:2023"
"3","Sources (Journals, Books, etc)","534"
"4","Documents","1232"
"5","Annual Growth Rate %","26.13"
"6","Document Average Age","5.05"
"7","Average citations per doc","26.95"
"8","Average citations per year per doc","3.943"
"9","References","66329"
"10","DOCUMENT TYPES",""
"11","article","1002"
"12","article; early access","21"
"13","article; proceedings paper","19"
"14","book review","5"
"15","editorial material","4"
"16","letter","5"
"17","meeting abstract","2"
"18","review","168"
"19","review; early access","6"
"20","DOCUMENT CONTENTS",""
"21","Keywords Plus (ID)","2536"
"22","Author's Keywords (DE)","4204"
"23","AUTHORS",""
"24","Authors","4378"
"25","Author Appearances","4857"
"26","Authors of single-authored docs","121"
"27","AUTHORS COLLABORATION",""
"28","Single-authored docs","129"
"29","Documents per Author","0.281"
"30","Co-Authors per Doc","3.94"
"31","International co-authorships %","31.82"
"32","",""
