"","Paper         ","DOI","TC","TCperYear","NTC"
"1","CHEN HC, 2012, MIS QUART                  ","NA                                 ","2692","207.08","10.747"
"2","MCAFEE A, 2012, HARVARD BUS REV           ","NA                                 ","2299","176.85"," 9.178"
"3","LI JJ, 2018, TOURISM MANAGE               ","10.1016/j.tourman.2018.03.009      "," 459"," 65.57","11.061"
"4","GERLITZ C, 2013, NEW MEDIA SOC            ","10.1177/1461444812472322           "," 454"," 37.83"," 7.750"
"5","WU LF, 2019, NATURE                       ","10.1038/s41586-019-0941-9          "," 383"," 63.83","12.836"
"6","GROVER V, 2018, J MANAGE INFORM SYST      ","10.1080/07421222.2018.1451951      "," 377"," 53.86"," 9.085"
"7","DAVENPORT TH, 2012, MIT SLOAN MANAGE REV  ","NA                                 "," 350"," 26.92"," 1.397"
"8","POWERS RP, 2019, NAT CLIM CHANGE          ","10.1038/s41558-019-0406-z          "," 305"," 50.83","10.222"
"9","CERON A, 2014, NEW MEDIA SOC              ","10.1177/1461444813480466           "," 285"," 25.91"," 6.573"
"10","LI K, 2018, SCIENTOMETRICS                ","10.1007/s11192-017-2622-5          "," 271"," 38.71"," 6.531"
"11","BIJMOLT THA, 2010, J SERV RES-US          ","10.1177/1094670510375603           "," 247"," 16.47"," 6.500"
"12","TANDOC EC, 2014, NEW MEDIA SOC            ","10.1177/1461444814530541           "," 240"," 21.82"," 5.535"
"13","LEE I, 2017, BUS HORIZONS                 ","10.1016/j.bushor.2017.01.004       "," 235"," 29.38"," 9.124"
"14","TAWFIK DS, 2019, ANN INTERN MED           ","10.7326/M19-1152                   "," 224"," 37.33"," 7.507"
"15","BOULOS MNK, 2011, INT J HEALTH GEOGR-a    ","10.1186/1476-072X-10-67            "," 216"," 15.43"," 5.429"
"16","WONG J, 2019, INT J HUM-COMPUT INT        ","10.1080/10447318.2018.1543084      "," 208"," 34.67"," 6.971"
"17","GORDON NP, 2016, J MED INTERNET RES       ","10.2196/jmir.5105                  "," 208"," 23.11"," 6.409"
"18","GHOSE A, 2014, MANAGE SCI                 ","10.1287/mnsc.2014.1945             "," 192"," 17.45"," 4.428"
"19","FUCHS M, 2014, J DESTIN MARK MANAGE       ","10.1016/j.jdmm.2014.08.002         "," 178"," 16.18"," 4.105"
"20","ELAZHARY H, 2019, J NETW COMPUT APPL      ","10.1016/j.jnca.2018.10.021         "," 174"," 29.00"," 5.832"
"21","MARIANI M, 2018, INT J CONTEMP HOSP M     ","10.1108/IJCHM-07-2017-0461         "," 174"," 24.86"," 4.193"
"22","GHANI NA, 2019, COMPUT HUM BEHAV          ","10.1016/j.chb.2018.08.039          "," 170"," 28.33"," 5.698"
"23","BURNAP P, 2016, EPJ DATA SCI              ","10.1140/epjds/s13688-016-0072-6    "," 164"," 18.22"," 5.053"
"24","MAVRAGANI A, 2018, J MED INTERNET RES     ","10.2196/jmir.9366                  "," 163"," 23.29"," 3.928"
"25","MANESH MF, 2021, IEEE T ENG MANAGE        ","10.1109/TEM.2019.2963489           "," 158"," 39.50","10.082"
"26","ZACHARIS NZ, 2015, INTERNET HIGH EDUC     ","10.1016/j.iheduc.2015.05.002       "," 155"," 15.50"," 4.011"
"27","POELMANS J, 2013, EXPERT SYST APPL        ","10.1016/j.eswa.2013.05.009         "," 152"," 12.67"," 2.595"
"28","DE MAURO A, 2018, INFORM PROCESS MANAG    ","10.1016/j.ipm.2017.05.004          "," 149"," 21.29"," 3.591"
"29","FERRER-CONILL R, 2018, DIGIT JOURNAL      ","10.1080/21670811.2018.1440972      "," 147"," 21.00"," 3.543"
"30","GUPTA S, 2018, INT J INFORM MANAGE        ","10.1016/j.ijinfomgt.2018.06.005    "," 134"," 19.14"," 3.229"
"31","JÄRVINEN J, 2015, IND MARKET MANAG        ","10.1016/j.indmarman.2015.04.009    "," 126"," 12.60"," 3.260"
"32","MUNIM ZH, 2020, MARIT POLICY MANAG        ","10.1080/03088839.2020.1788731      "," 125"," 25.00"," 6.783"
"33","MUSEN MA, 2012, J AM MED INFORM ASSN      ","10.1136/amiajnl-2011-000523        "," 125","  9.62"," 0.499"
"34","ALI L, 2012, COMPUT EDUC                  ","10.1016/j.compedu.2011.08.030      "," 124","  9.54"," 0.495"
"35","MA J, 2015, INTERNET HIGH EDUC            ","10.1016/j.iheduc.2014.09.005       "," 124"," 12.40"," 3.209"
"36","HACKER J, 2020, EUR J INFORM SYST         ","10.1080/0960085X.2020.1814680      "," 123"," 24.60"," 6.674"
"37","KUO MS, 2016, COMPUT HUM BEHAV            ","10.1016/j.chb.2015.08.025          "," 121"," 13.44"," 3.728"
"38","BARBADO R, 2019, INFORM PROCESS MANAG     ","10.1016/j.ipm.2019.03.002          "," 120"," 20.00"," 4.022"
"39","MILNE-IVES M, 2020, J MED INTERNET RES    ","10.2196/20346                      "," 120"," 24.00"," 6.512"
"40","LEE EJ, 2017, HUM COMMUN RES              ","10.1111/hcre.12123                 "," 119"," 14.88"," 4.620"
"41","PAYNE TH, 2015, J AM MED INFORM ASSN      ","10.1093/jamia/ocv011               "," 118"," 11.80"," 3.053"
"42","TANDOC EC, 2015, DIGIT JOURNAL            ","10.1080/21670811.2014.909122       "," 117"," 11.70"," 3.028"
"43","PLAZA B, 2011, TOURISM MANAGE             ","10.1016/j.tourman.2010.03.015      "," 117","  8.36"," 2.941"
"44","RIALTI R, 2019, MANAGE DECIS              ","10.1108/MD-07-2018-0821            "," 117"," 19.50"," 3.921"
"45","BELAIR-GAGNON V, 2018, DIGIT JOURNAL      ","10.1080/21670811.2018.1445001      "," 115"," 16.43"," 2.771"
"46","ALBAHRI OS, 2018, J MED SYST              ","10.1007/s10916-018-0943-4          "," 115"," 16.43"," 2.771"
"47","SHEN CW, 2020, COMPUT HUM BEHAV           ","10.1016/j.chb.2019.106177          "," 114"," 22.80"," 6.186"
"48","SIVARAJAH U, 2020, IND MARKET MANAG       ","10.1016/j.indmarman.2019.04.005    "," 110"," 22.00"," 5.969"
"49","KALAMPOKIS E, 2013, INTERNET RES          ","10.1108/IntR-06-2012-0114          "," 108","  9.00"," 1.844"
"50","GIANNAKIS M, 2016, J ENTERP INF MANAG     ","10.1108/JEIM-06-2015-0050          "," 108"," 12.00"," 3.328"
"51","CHARLES-SMITH LE, 2015, PLOS ONE          ","10.1371/journal.pone.0139701       "," 108"," 10.80"," 2.795"
"52","DUBEY R, 2021, INT J PROD RES             ","10.1080/00207543.2020.1865583      "," 106"," 26.50"," 6.764"
"53","LAU RYK, 2014, DECIS SUPPORT SYST         ","10.1016/j.dss.2014.05.005          "," 105","  9.55"," 2.422"
"54","BASHIR MF, 2021, ENVIRON SCI POLLUT R     ","10.1007/s11356-020-12123-x         "," 104"," 26.00"," 6.636"
"55","BELLUCCI M, 2017, ACCOUNT AUDIT ACCOUN    ","10.1108/AAAJ-07-2015-2122          "," 104"," 13.00"," 4.038"
"56","EL-GAYAR O, 2013, INT J MED INFORM        ","10.1016/j.ijmedinf.2013.05.006     ","  99","  8.25"," 1.690"
"57","GUNTER U, 2016, ANN TOURISM RES           ","10.1016/j.annals.2016.10.007       ","  97"," 10.78"," 2.989"
"58","NAMOUN A, 2021, APPL SCI-BASEL            ","10.3390/app11010237                ","  95"," 23.75"," 6.062"
"59","EL-DIRABY T, 2017, AUTOMAT CONSTR         ","10.1016/j.autcon.2017.06.004       ","  95"," 11.88"," 3.688"
"60","ZAMITH R, 2018, DIGIT JOURNAL             ","10.1080/21670811.2018.1444999      ","  94"," 13.43"," 2.265"
"61","HOLTON AE, 2018, MEDIA COMMUN-LISBON      ","10.17645/mac.v6i4.1490             ","  94"," 13.43"," 2.265"
"62","BORNMANN L, 2021, HUM SOC SCI COMMUN      ","10.1057/s41599-021-00903-w         ","  93"," 23.25"," 5.934"
"63","ZHU C, 2019, REV FINANC STUD              ","10.1093/rfs/hhy081                 ","  93"," 15.50"," 3.117"
"64","GAO S, 2017, COMPUT ENVIRON URBAN         ","10.1016/j.compenvurbsys.2014.02.004","  92"," 11.50"," 3.572"
"65","DWIVEDI YK, 2017, INFORM SYST FRONT       ","10.1007/s10796-016-9675-5          ","  92"," 11.50"," 3.572"
"66","SILVA FN, 2016, J INFORMETR               ","10.1016/j.joi.2016.03.008          ","  91"," 10.11"," 2.804"
"67","SAMTANI S, 2017, J MANAGE INFORM SYST     ","10.1080/07421222.2017.1394049      ","  91"," 11.38"," 3.533"
"68","WILLIAMSON B, 2021, CRIT STUD EDUC        ","10.1080/17508487.2020.1737556      ","  90"," 22.50"," 5.743"
"69","MAHESHWARI S, 2021, INT J PROD RES        ","10.1080/00207543.2020.1793011      ","  89"," 22.25"," 5.679"
"70","KITCHENS B, 2020, MIS QUART               ","10.25300/MISQ/2020/16371           ","  89"," 17.80"," 4.829"
"71","COOK DA, 2005, ACAD MED                   ","10.1097/00001888-200503000-00012   ","  88","  4.40"," 1.000"
"72","TAO DD, 2020, COMPR REV FOOD SCI F        ","10.1111/1541-4337.12540            ","  88"," 17.60"," 4.775"
"73","RAO YH, 2016, INFORM MANAGE-AMSTER        ","10.1016/j.im.2016.04.005           ","  88","  9.78"," 2.711"
"74","CONDE MA, 2018, TELEMAT INFORM            ","10.1016/j.tele.2017.02.001         ","  87"," 12.43"," 2.097"
"75","KEENAN PB, 2019, DECIS SUPPORT SYST       ","10.1016/j.dss.2018.10.010          ","  84"," 14.00"," 2.815"
"76","PIO CSD, 2019, COCHRANE DB SYST REV       ","10.1002/14651858.CD007131.pub4     ","  81"," 13.50"," 2.715"
"77","MILOJEVIC S, 2018, P NATL ACAD SCI USA    ","10.1073/pnas.1800478115            ","  79"," 11.29"," 1.904"
"78","HANUSCH F, 2017, INFORM COMMUN SOC        ","10.1080/1369118X.2016.1241294      ","  78","  9.75"," 3.028"
"79","HUANG Y, 2015, SCIENTOMETRICS             ","10.1007/s11192-015-1638-y          ","  78","  7.80"," 2.018"
"80","RUIVO P, 2014, INT J ACCOUNT INF SY       ","10.1016/j.accinf.2014.01.002       ","  77","  7.00"," 1.776"
"81","LIU WS, 2019, SCIENTOMETRICS              ","10.1007/s11192-019-03238-1         ","  75"," 12.50"," 2.514"
"82","COHEN NS, 2019, DIGIT JOURNAL             ","10.1080/21670811.2017.1419821      ","  75"," 12.50"," 2.514"
"83","DA SILVA JTA, 2021, SCIENTOMETRICS        ","10.1007/s11192-020-03675-3         ","  75"," 18.75"," 4.786"
"84","WANG ZJ, 2021, IEEE T VIS COMPUT GR       ","10.1109/TVCG.2020.3030418          ","  75"," 18.75"," 4.786"
"85","KUMAR A, 2020, CONCURR COMP-PRACT E       ","10.1002/cpe.5107                   ","  75"," 15.00"," 4.070"
"86","DANNA A, 2002, J BUS ETHICS               ","10.1023/A:1020845814009            ","  75","  3.26"," 1.000"
"87","CHATZIMPARMPAS A, 2020, COMPUT GRAPH FORUM","10.1111/cgf.14034                  ","  74"," 14.80"," 4.016"
"88","WINDHAGER F, 2019, IEEE T VIS COMPUT GR   ","10.1109/TVCG.2018.2830759          ","  73"," 12.17"," 2.447"
"89","CRUTZEN R, 2013, HEALTH PROMOT INT        ","10.1093/heapro/das008              ","  72","  6.00"," 1.229"
"90","ALDASORO I, 2018, J FINANC STABIL         ","10.1016/j.jfs.2016.12.008          ","  71"," 10.14"," 1.711"
"91","GARVELINK MM, 2019, MED DECIS MAKING      ","10.1177/0272989X19851345           ","  70"," 11.67"," 2.346"
"92","GROVER P, 2018, INT J INFORM MANAGE       ","10.1016/j.ijinfomgt.2018.07.003    ","  69","  9.86"," 1.663"
"93","PETRE C, 2018, DIGIT JOURNAL              ","10.1080/21670811.2018.1444998      ","  68","  9.71"," 1.639"
"94","USMAN M, 2020, J ENVIRON MANAGE           ","10.1016/j.jenvman.2020.110886      ","  68"," 13.60"," 3.690"
"95","GROVER P, 2020, J RETAIL CONSUM SERV      ","10.1016/j.jretconser.2018.12.002   ","  68"," 13.60"," 3.690"
"96","TANDOC EC, 2015, JOURNALISM STUD          ","10.1080/1461670X.2014.946309       ","  66","  6.60"," 1.708"
"97","BEAL CD, 2015, UTIL POLICY                ","10.1016/j.jup.2014.12.006          ","  66","  6.60"," 1.708"
"98","HANUSCH F, 2019, JOURNALISM               ","10.1177/1464884917720305           ","  65"," 10.83"," 2.178"
"99","BAJIC B, 2021, IEEE SYST J                ","10.1109/JSYST.2020.3023041         ","  65"," 16.25"," 4.148"
"100","ZAVATTARO SM, 2015, TOURISM MANAGE        ","10.1016/j.tourman.2014.08.018      ","  65","  6.50"," 1.682"
