"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","TANDOC EC        ","13","TANDOC EC        ","7.00"
"2","LI J             "," 8","DA SILVA JAT     ","3.33"
"3","SAKAS DP         "," 7","PLAZA B          ","3.25"
"4","BELAIR-GAGNON V  "," 6","BELAIR-GAGNON V  ","3.17"
"5","DA SILVA JAT     "," 6","COATES M         ","3.00"
"6","HO YS            "," 6","ZAMITH R         ","2.67"
"7","ZHANG Y          "," 6","SAKAS DP         ","2.23"
"8","BORNMANN L       "," 5","BLANCHETT N      ","2.03"
"9","DAMAR M          "," 5","BORNMANN L       ","2.00"
"10","GUL S            "," 5","HANUSCH F        ","2.00"
"11","LI Y             "," 5","LAMOT K          ","2.00"
"12","MACEACHREN AM    "," 5","SERRANO-COBOS J  ","2.00"
"13","REKLITIS DP      "," 5","GONG KL          ","1.90"
"14","AHMAD S          "," 4","LI J             ","1.87"
"15","ARLITSCH K       "," 4","HOLTON AE        ","1.83"
"16","BILIK O          "," 4","HO YS            ","1.81"
"17","BOULOS MNK       "," 4","ZHANG Y          ","1.68"
"18","DAMAR HT         "," 4","HAUNSCHILD R     ","1.67"
"19","GASEVIC D        "," 4","JANSEN BJ        ","1.58"
"20","GIANNAKOPOULOS NT"," 4","KOYLU C          ","1.58"
"21","GONG KL          "," 4","MILOJEVIC S      ","1.58"
"22","HAUNSCHILD R     "," 4","FERRUCCI P       ","1.50"
"23","HOLTON AE        "," 4","RIGGS W          ","1.50"
"24","JANKOWSKI P      "," 4","XING WL          ","1.45"
"25","JANSEN BJ        "," 4","KAR AK           ","1.42"
"26","KAR AK           "," 4","REKLITIS DP      ","1.39"
"27","KUMAR A          "," 4","CHEN CM          ","1.33"
"28","OZDAGOGLU A      "," 4","ONYANCHA OB      ","1.33"
"29","OZDAGOGLU G      "," 4","ZHANG M          ","1.33"
"30","PLAZA B          "," 4","GUL S            ","1.31"
"31","SIMSEK S         "," 4","JANKOWSKI P      ","1.28"
"32","WANG SY          "," 4","COHEN A          ","1.25"
"33","XIE HR           "," 4","HUBER J          ","1.25"
"34","YANG Y           "," 4","STUCKENSCHMIDT H ","1.25"
"35","ZAMITH R         "," 4","TRILLING D       ","1.25"
"36","ZHANG C          "," 4","ZHOU YL          ","1.25"
"37","ABBASI A         "," 3","MACEACHREN AM    ","1.23"
"38","ALDANA-MONTES JF "," 3","KUMAR A          ","1.20"
"39","ALLAM Z          "," 3","THELWALL M       ","1.20"
"40","BLANCHETT N      "," 3","KAMMER A         ","1.17"
"41","CHEN H           "," 3","SHARMA S         ","1.17"
"42","CHEN HC          "," 3","GIANNAKOPOULOS NT","1.14"
"43","CHEN XL          "," 3","WANG Q           ","1.11"
"44","CHEN Y           "," 3","DAMAR M          ","1.10"
"45","CHENG Y          "," 3","PARK HW          ","1.08"
"46","COATES M         "," 3","SUN Y            ","1.08"
"47","CRUTZEN R        "," 3","GASEVIC D        ","1.03"
"48","DAG A            "," 3","LI WW            ","1.03"
"49","DUFFY A          "," 3","AHMED T          ","1.00"
"50","DWIVEDI YK       "," 3","ALI MF           ","1.00"
"51","EBNER M          "," 3","ALPERSTEIN NM    ","1.00"
"52","FONSECA D        "," 3","APPELGREN E      ","1.00"
"53","FUCHS M          "," 3","BANDERA C        ","1.00"
"54","GARCÍA-PEÑALVO FJ"," 3","BAUR AW          ","1.00"
"55","GOH M            "," 3","BHATNAGAR A      ","1.00"
"56","GUPTA S          "," 3","BINICI K         ","1.00"
"57","HANUSCH F        "," 3","BODO B           ","1.00"
"58","HE W             "," 3","BOTA-AVRAM C     ","1.00"
"59","HUANG Y          "," 3","BUCHER S         ","1.00"
"60","HUBER J          "," 3","BYRNE T          ","1.00"
"61","KERREN A         "," 3","CALMA A          ","1.00"
"62","KET JCF          "," 3","CARLSON M        ","1.00"
"63","KIM Y            "," 3","CHEN HC          ","1.00"
"64","KLOOS CD         "," 3","CHEN XY          ","1.00"
"65","KOYLU C          "," 3","CLARKE R         ","1.00"
"66","KUCHER K         "," 3","COHEN NS         ","1.00"
"67","LAMOT K          "," 3","COOK DA          ","1.00"
"68","LAW R            "," 3","DAOUDI I         ","1.00"
"69","LAZAROIU G       "," 3","DARADKEH MK      ","1.00"
"70","LI JJ            "," 3","DAVIES M         ","1.00"
"71","LI WW            "," 3","DELGATY L        ","1.00"
"72","LI X             "," 3","DOBRÁNSZKI J     ","1.00"
"73","LIU J            "," 3","DOTY P           ","1.00"
"74","LIU YX           "," 3","DURÁNTEZ-STOLLE P","1.00"
"75","MA J             "," 3","ECONOMIDES AA    ","1.00"
"76","MERIGÓ JM        "," 3","ELAZHARY H       ","1.00"
"77","MILOJEVIC S      "," 3","FAGAN JC         ","1.00"
"78","MOSTAFAVI A      "," 3","FARNEY TA        ","1.00"
"79","OLIVEIRA T       "," 3","FREDERICO GF     ","1.00"
"80","PARK HW          "," 3","FÜRST S          ","1.00"
"81","PARK J           "," 3","GAROUFALLOU E    ","1.00"
"82","PEZANOWSKI S     "," 3","GOODING P        ","1.00"
"83","PORTER AL        "," 3","GREEN HE         ","1.00"
"84","RANA NP          "," 3","HERODOTOU C      ","1.00"
"85","ROTH RE          "," 3","HERRERA G        ","1.00"
"86","RUIVO P          "," 3","JONES C          ","1.00"
"87","SAMTANI S        "," 3","KAUR V           ","1.00"
"88","SHARIFI A        "," 3","KHAWAJA P        ","1.00"
"89","SHARMA S         "," 3","KOÇ M            ","1.00"
"90","STUCKENSCHMIDT H "," 3","KRISTENSEN LM    ","1.00"
"91","SUN Y            "," 3","LAW R            ","1.00"
"92","TRILLING D       "," 3","LEE I            ","1.00"
"93","WANG F           "," 3","LEJANO RP        ","1.00"
"94","WANG J           "," 3","LI Z             ","1.00"
"95","WHEELER J        "," 3","LIETZ H          ","1.00"
"96","XING WL          "," 3","LIN TTC          ","1.00"
"97","ZHAO X           "," 3","LIU WS           ","1.00"
"98","ZHOU YL          "," 3","LODZIKOWSKI K    ","1.00"
