"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","336","0.274286","273","63","0.188"
"2","CHINA          ","136","0.111020"," 86","50","0.368"
"3","UNITED KINGDOM "," 83","0.067755"," 44","39","0.470"
"4","SPAIN          "," 79","0.064490"," 66","13","0.165"
"5","CANADA         "," 56","0.045714"," 29","27","0.482"
"6","AUSTRALIA      "," 48","0.039184"," 38","10","0.208"
"7","GERMANY        "," 41","0.033469"," 29","12","0.293"
"8","INDIA          "," 38","0.031020"," 24","14","0.368"
"9","ITALY          "," 28","0.022857"," 20"," 8","0.286"
"10","NETHERLANDS    "," 27","0.022041"," 21"," 6","0.222"
"11","GREECE         "," 25","0.020408"," 20"," 5","0.200"
"12","KOREA          "," 23","0.018776"," 13","10","0.435"
"13","BRAZIL         "," 21","0.017143"," 16"," 5","0.238"
"14","SWEDEN         "," 17","0.013878","  7","10","0.588"
"15","SINGAPORE      "," 16","0.013061"," 10"," 6","0.375"
"16","TURKEY         "," 14","0.011429"," 12"," 2","0.143"
"17","BELGIUM        "," 13","0.010612","  6"," 7","0.538"
"18","FRANCE         "," 13","0.010612","  3","10","0.769"
"19","ROMANIA        "," 12","0.009796"," 10"," 2","0.167"
"20","FINLAND        "," 11","0.008980","  7"," 4","0.364"
"21","IRELAND        "," 11","0.008980","  6"," 5","0.455"
"22","AUSTRIA        ","  9","0.007347","  6"," 3","0.333"
"23","JAPAN          ","  9","0.007347","  1"," 8","0.889"
"24","IRAN           ","  8","0.006531","  6"," 2","0.250"
"25","ISRAEL         ","  8","0.006531","  7"," 1","0.125"
"26","POLAND         ","  8","0.006531","  5"," 3","0.375"
"27","CHILE          ","  7","0.005714","  1"," 6","0.857"
"28","MALAYSIA       ","  7","0.005714","  3"," 4","0.571"
"29","NORWAY         ","  7","0.005714","  4"," 3","0.429"
"30","SAUDI ARABIA   ","  7","0.005714","  4"," 3","0.429"
"31","SLOVAKIA       ","  7","0.005714","  3"," 4","0.571"
"32","SWITZERLAND    ","  7","0.005714","  3"," 4","0.571"
"33","DENMARK        ","  6","0.004898","  3"," 3","0.500"
"34","PORTUGAL       ","  6","0.004898","  6"," 0","0.000"
"35","CZECH REPUBLIC ","  5","0.004082","  3"," 2","0.400"
"36","SOUTH AFRICA   ","  5","0.004082","  2"," 3","0.600"
"37","COLOMBIA       ","  4","0.003265","  1"," 3","0.750"
"38","ESTONIA        ","  4","0.003265","  2"," 2","0.500"
"39","MEXICO         ","  4","0.003265","  2"," 2","0.500"
"40","PAKISTAN       ","  4","0.003265","  2"," 2","0.500"
"41","RUSSIA         ","  4","0.003265","  3"," 1","0.250"
"42","SERBIA         ","  4","0.003265","  2"," 2","0.500"
"43","NEW ZEALAND    ","  3","0.002449","  3"," 0","0.000"
"44","QATAR          ","  3","0.002449","  2"," 1","0.333"
"45","THAILAND       ","  3","0.002449","  2"," 1","0.333"
"46","ALGERIA        ","  2","0.001633","  1"," 1","0.500"
"47","ARGENTINA      ","  2","0.001633","  0"," 2","1.000"
"48","CROATIA        ","  2","0.001633","  0"," 2","1.000"
"49","ECUADOR        ","  2","0.001633","  0"," 2","1.000"
"50","EGYPT          ","  2","0.001633","  1"," 1","0.500"
"51","ICELAND        ","  2","0.001633","  1"," 1","0.500"
"52","IRAQ           ","  2","0.001633","  0"," 2","1.000"
"53","JORDAN         ","  2","0.001633","  1"," 1","0.500"
"54","LIECHTENSTEIN  ","  2","0.001633","  2"," 0","0.000"
"55","LITHUANIA      ","  2","0.001633","  1"," 1","0.500"
"56","NIGERIA        ","  2","0.001633","  2"," 0","0.000"
"57","PERU           ","  2","0.001633","  1"," 1","0.500"
"58","SLOVENIA       ","  2","0.001633","  2"," 0","0.000"
"59","CYPRUS         ","  1","0.000816","  1"," 0","0.000"
"60","GUATEMALA      ","  1","0.000816","  0"," 1","1.000"
"61","HUNGARY        ","  1","0.000816","  1"," 0","0.000"
"62","KENYA          ","  1","0.000816","  0"," 1","1.000"
"63","KUWAIT         ","  1","0.000816","  1"," 0","0.000"
"64","NAMIBIA        ","  1","0.000816","  0"," 1","1.000"
"65","OMAN           ","  1","0.000816","  0"," 1","1.000"
"66","SRI LANKA      ","  1","0.000816","  1"," 0","0.000"
"67","TUNISIA        ","  1","0.000816","  1"," 0","0.000"
"68","U ARAB EMIRATES","  1","0.000816","  0"," 1","1.000"
"69","VENEZUELA      ","  1","0.000816","  0"," 1","1.000"
"70","VIETNAM        ","  1","0.000816","  0"," 1","1.000"
