"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","BIG DATA                    ","98","WEB                    ","112"
"2","SOCIAL MEDIA                ","68","IMPACT                 ","109"
"3","WEB ANALYTICS               ","65","ANALYTICS              "," 93"
"4","MACHINE LEARNING            ","58","MANAGEMENT             "," 83"
"5","LEARNING ANALYTICS          ","54","MODEL                  "," 73"
"6","BIBLIOMETRICS               ","42","SCIENCE                "," 73"
"7","DATA ANALYTICS              ","35","INFORMATION            "," 72"
"8","ANALYTICS                   ","33","PERFORMANCE            "," 72"
"9","BIBLIOMETRIC ANALYSIS       ","33","SOCIAL MEDIA           "," 67"
"10","JOURNALISM                  ","32","WEB ANALYTICS          "," 65"
"11","BIG DATA ANALYTICS          ","30","BIG DATA               "," 60"
"12","VISUAL ANALYTICS            ","30","FRAMEWORK              "," 60"
"13","DATA MINING                 ","27","INTERNET               "," 54"
"14","TEXT MINING                 ","27","MEDIA                  "," 51"
"15","WEB OF SCIENCE              ","27","CHALLENGES             "," 41"
"16","COVID-19                    ","25","KNOWLEDGE              "," 41"
"17","ARTIFICIAL INTELLIGENCE     ","24","ONLINE                 "," 41"
"18","INTERNET                    ","23","PATTERNS               "," 41"
"19","TWITTER                     ","23","SYSTEMS                "," 40"
"20","SENTIMENT ANALYSIS          ","21","DESIGN                 "," 35"
"21","GOOGLE ANALYTICS            ","20","TECHNOLOGY             "," 34"
"22","SYSTEMATIC REVIEW           ","19","SYSTEM                 "," 33"
"23","METRICS                     ","18","BIG DATA ANALYTICS     "," 32"
"24","SOCIAL NETWORK ANALYSIS     ","18","METRICS                "," 32"
"25","INTERNET OF THINGS          ","17","BEHAVIOR               "," 30"
"26","SOCIAL MEDIA ANALYTICS      ","17","INNOVATION             "," 29"
"27","SUSTAINABILITY              ","17","QUALITY                "," 27"
"28","TEXT ANALYTICS              ","17","STUDENTS               "," 27"
"29","LITERATURE REVIEW           ","16","IMPLEMENTATION         "," 25"
"30","SEMANTIC WEB                ","16","RISK                   "," 25"
"31","SYSTEMATIC LITERATURE REVIEW","15","TRENDS                 "," 25"
"32","BIBLIOMETRIC                ","14","VISUALIZATION          "," 25"
"33","DATA SCIENCE                ","14","COMMUNICATION          "," 24"
"34","SCIENTOMETRICS              ","14","DATA ANALYTICS         "," 24"
"35","0                           ","13","JOURNALISM             "," 24"
"36","AUDIENCE                    ","13","TWITTER                "," 24"
"37","DEEP LEARNING               ","13","AUDIENCE               "," 22"
"38","INNOVATION                  ","13","CARE                   "," 22"
"39","PUBLIC HEALTH               ","13","HEALTH                 "," 22"
"40","VISUALIZATION               ","13","MODELS                 "," 22"
"41","BUSINESS INTELLIGENCE       ","12","NETWORKS               "," 21"
"42","EDUCATION                   ","12","FUTURE                 "," 20"
"43","PREDICTIVE ANALYTICS        ","12","ENGAGEMENT             "," 19"
"44","CITATION ANALYSIS           ","11","PREDICTION             "," 19"
"45","EHEALTH                     ","11","SUPPORT                "," 19"
"46","FACEBOOK                    ","11","EDUCATION              "," 18"
