"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","12917","38.44"
"2","CHINA          "," 3071","22.58"
"3","UNITED KINGDOM "," 2768","33.35"
"4","CANADA         "," 1376","24.57"
"5","NETHERLANDS    "," 1356","50.22"
"6","SPAIN          "," 1121","14.19"
"7","ITALY          "," 1057","37.75"
"8","INDIA          ","  942","24.79"
"9","GERMANY        ","  719","17.54"
"10","AUSTRALIA      ","  609","12.69"
"11","SINGAPORE      ","  600","37.50"
"12","SWEDEN         ","  549","32.29"
"13","GREECE         ","  475","19.00"
"14","BELGIUM        ","  430","33.08"
"15","AUSTRIA        ","  395","43.89"
"16","BRAZIL         ","  383","18.24"
"17","KOREA          ","  365","15.87"
"18","FINLAND        ","  344","31.27"
"19","SAUDI ARABIA   ","  337","48.14"
"20","MALAYSIA       ","  319","45.57"
"21","IRELAND        ","  276","25.09"
"22","NORWAY         ","  217","31.00"
"23","FRANCE         ","  207","15.92"
"24","CROATIA        ","  197","98.50"
"25","SWITZERLAND    ","  160","22.86"
"26","ROMANIA        ","  158","13.17"
"27","PORTUGAL       ","  156","26.00"
"28","POLAND         ","  136","17.00"
"29","LIECHTENSTEIN  ","  128","64.00"
"30","JAPAN          ","  123","13.67"
"31","TURKEY         ","  116"," 8.29"
"32","ISRAEL         ","  104","13.00"
"33","CHILE          ","   98","14.00"
"34","SLOVAKIA       ","   80","11.43"
"35","SERBIA         ","   76","19.00"
"36","CZECH REPUBLIC ","   72","14.40"
"37","OMAN           ","   68","68.00"
"38","DENMARK        ","   65","10.83"
"39","QATAR          ","   61","20.33"
"40","ESTONIA        ","   54","13.50"
"41","IRAN           ","   46"," 5.75"
"42","SOUTH AFRICA   ","   46"," 9.20"
"43","COLOMBIA       ","   42","10.50"
"44","NAMIBIA        ","   42","42.00"
"45","RUSSIA         ","   37"," 9.25"
"46","U ARAB EMIRATES","   30","30.00"
"47","JORDAN         ","   29","14.50"
"48","MEXICO         ","   25"," 6.25"
"49","PAKISTAN       ","   24"," 6.00"
"50","VENEZUELA      ","   23","23.00"
"51","PERU           ","   19"," 9.50"
"52","ICELAND        ","   13"," 6.50"
"53","LITHUANIA      ","   12"," 6.00"
"54","ECUADOR        ","   11"," 5.50"
"55","IRAQ           ","   11"," 5.50"
"56","NEW ZEALAND    ","    9"," 3.00"
"57","TUNISIA        ","    8"," 8.00"
"58","SLOVENIA       ","    7"," 3.50"
"59","THAILAND       ","    7"," 2.33"
"60","EGYPT          ","    5"," 2.50"
"61","HUNGARY        ","    5"," 5.00"
"62","KENYA          ","    5"," 5.00"
"63","KUWAIT         ","    5"," 5.00"
"64","NIGERIA        ","    5"," 2.50"
"65","VIETNAM        ","    5"," 5.00"
"66","ALGERIA        ","    4"," 2.00"
"67","GUATEMALA      ","    4"," 4.00"
"68","CYPRUS         ","    2"," 2.00"
"69","ARGENTINA      ","    1"," 0.50"
"70","SRI LANKA      ","    0"," 0.00"
