"Year","Articles","MeanTCperArt","MeanTCperYear"
2002,1,75,3.40909090909091
2003,1,1,0.0476190476190476
2004,0,0,0
2005,1,88,4.63157894736842
2006,1,22,1.22222222222222
2007,3,6.33333333333333,0.372549019607843
2008,2,14,0.875
2009,9,9.88888888888889,0.659259259259259
2010,15,38,2.71428571428571
2011,14,39.7857142857143,3.06043956043956
2012,24,250.5,20.875
2013,19,58.5789473684211,5.32535885167464
2014,39,43.3589743589744,4.33589743589744
2015,45,38.6444444444444,4.29382716049383
2016,57,32.4561403508772,4.05701754385965
2017,86,25.7558139534884,3.67940199335548
2018,109,41.4954128440367,6.91590214067278
2019,160,29.8375,5.9675
2020,182,18.4285714285714,4.60714285714286
2021,204,15.671568627451,5.22385620915033
2022,129,7.25581395348837,3.62790697674419
2023,131,2.64885496183206,2.64885496183206
